PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
1,4096,4096,1,0,126.82,0.0
1,4096,4096,1,1,74.77,9.920566
1,4096,4096,2,0,124.64,0.0
1,4096,4096,2,1,76.21000000000001,9.531632
1,4096,4096,4,0,124.67,0.0
1,4096,4096,4,1,76.77,7.978229
1,4096,131072,1,0,62.83,0.0
1,4096,131072,1,1,42.65,1.144199
1,4096,131072,2,0,56.92,0.0
1,4096,131072,2,1,43.42,1.238347
1,4096,131072,4,0,58.82,0.0
1,4096,131072,4,1,46.37,1.381639
1,4096,524288,1,0,50.95,0.0
1,4096,524288,1,1,42.87,0.72325
1,4096,524288,2,0,48.81,0.0
1,4096,524288,2,1,40.87,0.786626
1,4096,524288,4,0,46.57,0.0
1,4096,524288,4,1,41.05,0.816353
1,4096,1048576,1,0,46.25,0.0
1,4096,1048576,1,1,41.44,0.494872
1,4096,1048576,2,0,43.63,0.0
1,4096,1048576,2,1,40.6,0.51784
1,4096,1048576,4,0,44.36,0.0
1,4096,1048576,4,1,43.38,0.522538
1,4096,4194304,1,0,40.72,0.0
1,4096,4194304,1,1,42.18,0.002436
1,4096,4194304,2,0,41.18,0.0
1,4096,4194304,2,1,42.68,0.002482
1,4096,4194304,4,0,42.13,0.0
1,4096,4194304,4,1,43.11,0.002463
1,4096,16777216,1,0,43.05,0.0
1,4096,16777216,1,1,39.65,0.060333
1,4096,16777216,2,0,40.78,0.0
1,4096,16777216,2,1,42.11,0.059958
1,4096,16777216,4,0,41.54,0.0
1,4096,16777216,4,1,42.59,0.060781
1,8192,4096,1,0,513.4,0.0
1,8192,4096,1,1,303.27,38.727627
1,8192,4096,2,0,517.26,0.0
1,8192,4096,2,1,317.43,39.571846
1,8192,4096,4,0,508.56,0.0
1,8192,4096,4,1,320.11,32.925389
1,8192,131072,1,0,242.37,0.0
1,8192,131072,1,1,176.92000000000002,28.534132
1,8192,131072,2,0,248.73,0.0
1,8192,131072,2,1,178.85,24.005869
1,8192,131072,4,0,248.99,0.0
1,8192,131072,4,1,182.91,16.597877
1,8192,524288,1,0,193.42,0.0
1,8192,524288,1,1,166.51,3.055311
1,8192,524288,2,0,196.68,0.0
1,8192,524288,2,1,165.26,3.471279
1,8192,524288,4,0,197.97,0.0
1,8192,524288,4,1,170.61,3.627896
1,8192,1048576,1,0,185.25,0.0
1,8192,1048576,1,1,162.06,2.511408
1,8192,1048576,2,0,181.03,0.0
1,8192,1048576,2,1,164.71,2.588413
1,8192,1048576,4,0,189.74,0.0
1,8192,1048576,4,1,163.57,2.55732
1,8192,4194304,1,0,163.98,0.0
1,8192,4194304,1,1,170.75,0.8219
1,8192,4194304,2,0,168.91,0.0
1,8192,4194304,2,1,166.78,0.808677
1,8192,4194304,4,0,165.86,0.0
1,8192,4194304,4,1,169.95,0.831711
1,8192,16777216,1,0,177.98,0.0
1,8192,16777216,1,1,163.76,0.001429
1,8192,16777216,2,0,170.36,0.0
1,8192,16777216,2,1,166.39,0.001419
1,8192,16777216,4,0,165.23,0.0
1,8192,16777216,4,1,164.69,0.001346
1,16384,4096,1,0,54.88,0.0
1,16384,4096,1,1,59.25,0.0
1,16384,4096,2,0,55.71,0.0
1,16384,4096,2,1,56.89,0.0
1,16384,4096,4,0,59.02,0.0
1,16384,4096,4,1,57.77,0.0
1,16384,131072,1,0,57.72,0.0
1,16384,131072,1,1,57.57,0.0
1,16384,131072,2,0,55.18,0.0
1,16384,131072,2,1,56.31,0.0
1,16384,131072,4,0,58.0,0.0
1,16384,131072,4,1,55.99,0.0
1,16384,524288,1,0,54.59,0.0
1,16384,524288,1,1,59.31,0.0
1,16384,524288,2,0,54.78,0.0
1,16384,524288,2,1,55.66,0.0
1,16384,524288,4,0,58.09,0.0
1,16384,524288,4,1,55.47,0.0
1,16384,1048576,1,0,56.43,0.0
1,16384,1048576,1,1,55.47,0.0
1,16384,1048576,2,0,56.12,0.0
1,16384,1048576,2,1,55.94,0.0
1,16384,1048576,4,0,57.72,0.0
1,16384,1048576,4,1,56.51,0.0
1,16384,4194304,1,0,55.44,0.0
1,16384,4194304,1,1,56.09,0.0
1,16384,4194304,2,0,54.62,0.0
1,16384,4194304,2,1,56.21,0.0
1,16384,4194304,4,0,59.52,0.0
1,16384,4194304,4,1,56.92,0.0
1,16384,16777216,1,0,55.12,0.0
