RASIZE,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
32,335.36,338.57,341.42,338.61,339.45,340.12
64,340.39,343.18,344.68,344.63,345.55,346.30
128,337.21,340.56,342.59,335.47,341.27,343.09
256,349.43,354.92,358.91,354.37,355.02,355.54
512,362.98,366.75,376.22,362.08,363.54,365.19
1024,359.08,362.01,365.17,361.86,363.57,365.87
2048,363.20,367.19,376.96,366.18,366.94,367.84
4096,358.70,360.62,362.82,360.09,361.42,363.34
8192,359.67,363.69,367.83,360.63,361.62,363.38
16384,361.54,363.62,366.66,356.00,359.97,361.72
32768,358.91,361.34,363.35,359.87,361.26,364.44
65536,357.57,361.27,365.94,363.64,364.14,365.13
131072,363.63,365.68,367.83,361.25,365.43,367.46
262144,254.59,264.48,273.23,251.55,285.19,328.24
524288,205.93,210.08,220.02,207.06,212.50,216.05
268435455,92.59,109.54,133.01,110.18,129.25,158.31
