PROC,PRED,LOAD,READSIZE,TIMESPFETCH,FUTUREPREFETCH,RASIZE,Elapsed
1,0,4096,1048576,1,1,2560,52.94
1,0,4096,1048576,1,1,4096,53.74
1,0,4096,1048576,1,1,8192,54.1
1,0,4096,1048576,1,1,16384,52.02
1,0,4096,4194304,1,1,2560,62.53
1,0,4096,4194304,1,1,4096,66.59
1,0,4096,4194304,1,1,8192,56.29
1,0,4096,4194304,1,1,16384,51.67
1,0,8192,1048576,1,1,2560,255.88
1,0,8192,1048576,1,1,4096,230.59
1,0,8192,1048576,1,1,8192,218.55
1,0,8192,1048576,1,1,16384,226.06
1,0,8192,4194304,1,1,2560,224.89
1,0,8192,4194304,1,1,4096,217.74
1,0,8192,4194304,1,1,8192,219.3
1,0,8192,4194304,1,1,16384,223.02
1,1,4096,1048576,1,1,2560,52.64
1,1,4096,1048576,1,1,4096,54.87
1,1,4096,1048576,1,1,8192,55.77
1,1,4096,1048576,1,1,16384,54.2
1,1,4096,1048576,1,4,2560,55.07
1,1,4096,1048576,1,4,4096,54.53
1,1,4096,1048576,1,4,8192,57.77
1,1,4096,1048576,1,4,16384,53.09
1,1,4096,1048576,2,1,2560,53.9
1,1,4096,1048576,2,1,4096,52.45
1,1,4096,1048576,2,1,8192,54.42
1,1,4096,1048576,2,1,16384,52.86
1,1,4096,1048576,2,4,2560,56.43
1,1,4096,1048576,2,4,4096,55.25
1,1,4096,1048576,2,4,8192,55.48
1,1,4096,1048576,2,4,16384,54.38
1,1,4096,4194304,1,1,2560,52.59
1,1,4096,4194304,1,1,4096,50.95
1,1,4096,4194304,1,1,8192,53.45
1,1,4096,4194304,1,1,16384,49.08
1,1,4096,4194304,1,4,2560,53.51
1,1,4096,4194304,1,4,4096,52.1
1,1,4096,4194304,1,4,8192,54.26
1,1,4096,4194304,1,4,16384,47.98
1,1,4096,4194304,2,1,2560,52.98
1,1,4096,4194304,2,1,4096,52.65
1,1,4096,4194304,2,1,8192,54.75
1,1,4096,4194304,2,1,16384,49.69
1,1,4096,4194304,2,4,2560,53.37
1,1,4096,4194304,2,4,4096,53.35
1,1,4096,4194304,2,4,8192,54.46
1,1,4096,4194304,2,4,16384,50.6
1,1,8192,1048576,1,1,2560,218.87
1,1,8192,1048576,1,1,4096,216.75
1,1,8192,1048576,1,1,8192,219.48
1,1,8192,1048576,1,1,16384,235.16
1,1,8192,1048576,1,4,2560,226.28
1,1,8192,1048576,1,4,4096,228.4
1,1,8192,1048576,1,4,8192,224.2
1,1,8192,1048576,1,4,16384,221.97
1,1,8192,1048576,2,1,2560,232.24
1,1,8192,1048576,2,1,4096,216.19
1,1,8192,1048576,2,1,8192,219.16
1,1,8192,1048576,2,1,16384,216.79
1,1,8192,1048576,2,4,2560,221.57999999999998
1,1,8192,1048576,2,4,4096,217.32999999999998
1,1,8192,1048576,2,4,8192,221.55
1,1,8192,1048576,2,4,16384,223.34
1,1,8192,4194304,1,1,2560,246.4
1,1,8192,4194304,1,1,4096,229.87
1,1,8192,4194304,1,1,8192,217.16
1,1,8192,4194304,1,1,16384,211.9
1,1,8192,4194304,1,4,2560,228.29
1,1,8192,4194304,1,4,4096,224.52
1,1,8192,4194304,1,4,8192,223.41
1,1,8192,4194304,1,4,16384,213.8
1,1,8192,4194304,2,1,2560,229.52
1,1,8192,4194304,2,1,4096,235.68
1,1,8192,4194304,2,1,8192,228.23
1,1,8192,4194304,2,1,16384,217.12
1,1,8192,4194304,2,4,2560,232.59
1,1,8192,4194304,2,4,4096,229.75
1,1,8192,4194304,2,4,8192,235.32
1,1,8192,4194304,2,4,16384,214.12
4,0,4096,1048576,1,1,2560,46.12
4,0,4096,1048576,1,1,4096,47.86
4,0,4096,1048576,1,1,8192,48.91
4,0,4096,1048576,1,1,16384,50.14
4,0,4096,4194304,1,1,2560,47.71
4,0,4096,4194304,1,1,4096,47.12
4,0,4096,4194304,1,1,8192,47.96
4,0,4096,4194304,1,1,16384,49.72
4,0,8192,1048576,1,1,2560,200.42000000000002
4,0,8192,1048576,1,1,4096,193.47
4,0,8192,1048576,1,1,8192,195.85
4,0,8192,1048576,1,1,16384,203.31
4,0,8192,4194304,1,1,2560,198.96
4,0,8192,4194304,1,1,4096,198.62
4,0,8192,4194304,1,1,8192,190.64
4,0,8192,4194304,1,1,16384,190.76
4,1,4096,1048576,1,1,2560,47.23
4,1,4096,1048576,1,1,4096,46.16
4,1,4096,1048576,1,1,8192,51.33
4,1,4096,1048576,1,1,16384,52.27
4,1,4096,1048576,1,4,2560,47.71
4,1,4096,1048576,1,4,4096,47.44
4,1,4096,1048576,1,4,8192,51.23
4,1,4096,1048576,1,4,16384,51.96
4,1,4096,1048576,2,1,2560,48.19
4,1,4096,1048576,2,1,4096,53.0
4,1,4096,1048576,2,1,8192,50.52
4,1,4096,1048576,2,1,16384,52.09
4,1,4096,1048576,2,4,2560,47.36
4,1,4096,1048576,2,4,4096,49.17
4,1,4096,1048576,2,4,8192,51.2
4,1,4096,1048576,2,4,16384,50.74
4,1,4096,4194304,1,1,2560,48.5
4,1,4096,4194304,1,1,4096,48.52
4,1,4096,4194304,1,1,8192,50.45
4,1,4096,4194304,1,1,16384,50.47
4,1,4096,4194304,1,4,2560,46.62
4,1,4096,4194304,1,4,4096,50.06
4,1,4096,4194304,1,4,8192,50.0
4,1,4096,4194304,1,4,16384,50.01
4,1,4096,4194304,2,1,2560,46.49
4,1,4096,4194304,2,1,4096,50.42
4,1,4096,4194304,2,1,8192,50.76
4,1,4096,4194304,2,1,16384,50.4
4,1,4096,4194304,2,4,2560,48.6
4,1,4096,4194304,2,4,4096,50.23
4,1,4096,4194304,2,4,8192,50.3
4,1,4096,4194304,2,4,16384,50.3
4,1,8192,1048576,1,1,2560,203.76
4,1,8192,1048576,1,1,4096,204.89
4,1,8192,1048576,1,1,8192,204.53
4,1,8192,1048576,1,1,16384,201.45
4,1,8192,1048576,1,4,2560,206.63
4,1,8192,1048576,1,4,4096,206.56
4,1,8192,1048576,1,4,8192,200.18
4,1,8192,1048576,1,4,16384,199.37
4,1,8192,1048576,2,1,2560,199.02
4,1,8192,1048576,2,1,4096,206.48
4,1,8192,1048576,2,1,8192,204.59
4,1,8192,1048576,2,1,16384,199.53
4,1,8192,1048576,2,4,2560,207.21
4,1,8192,1048576,2,4,4096,208.74
4,1,8192,1048576,2,4,8192,207.3
4,1,8192,1048576,2,4,16384,207.1
4,1,8192,4194304,1,1,2560,193.36
4,1,8192,4194304,1,1,4096,199.51
4,1,8192,4194304,1,1,8192,208.63
4,1,8192,4194304,1,1,16384,191.83
4,1,8192,4194304,1,4,2560,194.73
4,1,8192,4194304,1,4,4096,199.99
4,1,8192,4194304,1,4,8192,200.14
4,1,8192,4194304,1,4,16384,191.98
4,1,8192,4194304,2,1,2560,194.49
4,1,8192,4194304,2,1,4096,198.23
4,1,8192,4194304,2,1,8192,193.6
4,1,8192,4194304,2,1,16384,191.98
4,1,8192,4194304,2,4,2560,195.62
4,1,8192,4194304,2,4,4096,193.36
4,1,8192,4194304,2,4,8192,198.98
4,1,8192,4194304,2,4,16384,198.51
