PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
1,4096,4096,1,0,130.8,0.0
1,4096,4096,1,1,75.19,9.858815
1,4096,4096,2,0,131.1,0.0
1,4096,4096,2,1,78.73,9.4654
1,4096,4096,4,0,133.51,0.0
1,4096,4096,4,1,79.73,7.794073

1,4096,131072,1,0,57.89,0.0
1,4096,131072,1,1,42.52,1.14018
1,4096,131072,2,0,62.07,0.0
1,4096,131072,2,1,44.89,1.192963
1,4096,131072,4,0,58.02,0.0
1,4096,131072,4,1,43.89,1.262169

1,4096,524288,1,0,47.73,0.0
1,4096,524288,1,1,42.38,0.663712
1,4096,524288,2,0,48.08,0.0
1,4096,524288,2,1,40.48,0.737738
1,4096,524288,4,0,47.24,0.0
1,4096,524288,4,1,40.5,0.742875

1,4096,1048576,1,0,45.95,0.0
1,4096,1048576,1,1,41.29,0.451994
1,4096,1048576,2,0,43.83,0.0
1,4096,1048576,2,1,40.29,0.471406
1,4096,1048576,4,0,44.39,0.0
1,4096,1048576,4,1,42.55,0.469388

1,4096,4194304,1,0,39.06,0.0
1,4096,4194304,1,1,39.04,0.002758
1,4096,4194304,2,0,39.16,0.0
1,4096,4194304,2,1,39.51,0.002655
1,4096,4194304,4,0,41.36,0.0
1,4096,4194304,4,1,40.32,0.002873

1,4096,16777216,1,0,40.0,0.0
1,4096,16777216,1,1,39.61,0.055361
1,4096,16777216,2,0,42.64,0.0
1,4096,16777216,2,1,41.83,0.056645
1,4096,16777216,4,0,39.98,0.0
1,4096,16777216,4,1,39.7,0.056594



1,8192,4096,1,0,536.35,0.0
1,8192,4096,1,1,308.45,38.928832
1,8192,4096,2,0,532.76,0.0
1,8192,4096,2,1,320.97,38.041646
1,8192,4096,4,0,533.64,0.0
1,8192,4096,4,1,324.36,32.289138

1,8192,131072,1,0,236.99,0.0
1,8192,131072,1,1,174.39,29.567236
1,8192,131072,2,0,233.45,0.0
1,8192,131072,2,1,180.5,24.843042
1,8192,131072,4,0,240.0,0.0
