amplxe: Using result path `/mnt/vtune_nvm/nvm/dirmaker-cpu'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000				100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	65.457159	60.853667	75.075988	59.489982				100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.628566	0	97.791343	0.0	89.083572	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  worker	62.814232	57.858520	74.886018	56.225865				100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.329456	0	98.332557	0.0	88.180962	0.0	dirmaker	worker	[Unknown]	0x400e30
   create_dir	62.626500	57.645768	74.886018	55.992714				100.000000		0.081195	0.081195	0.0	0.081195	0.0	0.0	0.0	0.0	0.0	56.099087	15600000	98.462275	14.333333	88.199784	1.061728	dirmaker	create_dir	[Unknown]	0x400db0
    mkdir	47.930539	54.318197	74.088146	52.422587				0.0		0.030072	0.030072	0.003007	0.027065	0.0	0.0	0.0	0.0	0.0	45.598817	13000000	90.247355	5.800000	85.857007	0.966667	libc-2.23.so	mkdir	syscall-template.S	0xf6fd0
     entry_SYSCALL_64_after_hwframe	47.842539	54.218470	73.974164	52.324226				0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.584597	0	90.078219	0.0	85.826952	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
      do_syscall_64	47.842539	54.218470	73.974164	52.324226				0.0		0.031075	0.031075	0.0	0.031075	0.0	0.0	0.0	0.0	0.0	45.584597	72800000	90.078219	1.321429	85.826952	1.193548	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
       do_mkdirat	47.660673	54.012366	73.974164	52.098361				0.0		0.023055	0.023055	0.0	0.023055	0.0	0.0	0.0	0.0	0.0	45.473678	41600000	89.844979	1.250000	85.722282	0.869565	vmlinux	do_mkdirat	[Unknown]	0xffffffff8126af60
        vfs_mkdir	45.422546	51.475966	73.822188	49.333333				0.0		0.007017	0.007017	0.001002	0.006014	0.0	0.0	0.0	0.0	0.0	41.116578	33800000	94.384457	0.769231	85.436997	1.428571	vmlinux	vfs_mkdir	[Unknown]	0xffffffff81266c80
         ext4_mkdir	45.331612	51.372914	73.784195	49.224044				0.0		0.051123	0.051123	0.001002	0.050121	0.0	0.0	0.0	0.0	0.0	40.951623	132600000	94.573371	0.705882	85.435588	0.705882	vmlinux	ext4_mkdir	[Unknown]	0xffffffff8131a1f0
