"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"_raw_spin_lock","1.62491","2155400000","2.01206","1.02899","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff8190e910"
"ext4_mark_iloc_dirty","1.48758","5103800000","0.789098","1.0438","vmlinux","ext4_mark_iloc_dirty","[Unknown]","0xffffffff81302240"
"__find_get_block","1.11769","4209400000","0.679432","0.986547","vmlinux","__find_get_block","[Unknown]","0xffffffff81293c30"
"syscall_return_via_sysret","1.02747","1034800000","2.79397","1.08488","vmlinux","syscall_return_via_sysret","[Unknown]","0xffffffff81a000ed"
"memset_erms","0.972338","761800000","2.79181","0.843299","vmlinux","memset_erms","[Unknown]","0xffffffff818fe020"
"__d_lookup_rcu","0.887133","1456000000","1.7","1.07571","vmlinux","__d_lookup_rcu","[Unknown]","0xffffffff81274ec0"
"__radix_tree_lookup","0.880116","1235000000","1.75789","0.951025","vmlinux","__radix_tree_lookup","[Unknown]","0xffffffff818f1660"
"find_get_entry","0.658583","460200000","4.0791","1.09893","vmlinux","find_get_entry","[Unknown]","0xffffffff811bc5d0"
"native_queued_spin_lock_slowpath","0.605456","265200000","5.31373","0.897351","vmlinux","native_queued_spin_lock_slowpath","[Unknown]","0xffffffff810d41a0"
"kmem_cache_alloc","0.605456","1648400000","0.85489","0.897351","vmlinux","kmem_cache_alloc","[Unknown]","0xffffffff8122fd40"
"find_group_orlov","0.571374","2116400000","0.63145","0.901754","vmlinux","find_group_orlov","[Unknown]","0xffffffff812f44e0"
"ext4_getblk","0.539297","286000000","3.87273","0.791822","vmlinux","ext4_getblk","[Unknown]","0xffffffff813005d0"
"find_next_zero_bit","0.424019","2119000000","0.476074","0.917258","vmlinux","find_next_zero_bit","[Unknown]","0xffffffff8145c0c0"
"__ext4_get_inode_loc","0.419007","1864200000","0.517434","0.88756","vmlinux","__ext4_get_inode_loc","[Unknown]","0xffffffff812fe3c0"
"get_empty_filp","0.383923","200200000","5.2987","1.06527","vmlinux","get_empty_filp","[Unknown]","0xffffffff8125aab0"
"__brelse","0.381918","725400000","1.29391","0.947507","vmlinux","__brelse","[Unknown]","0xffffffff81292cd0"
"inode_init_once","0.375904","54600000","16.7143","0.936","vmlinux","inode_init_once","[Unknown]","0xffffffff812760e0"
"__ext4_check_dir_entry","0.375904","1965600000","0.488095","0.984","vmlinux","__ext4_check_dir_entry","[Unknown]","0xffffffff812e5d00"
"mb_find_order_for_block","0.360868","1144000000","0.754545","0.922222","vmlinux","mb_find_order_for_block","[Unknown]","0xffffffff813097c0"
"ext4_es_lookup_extent","0.337812","228800000","3.47727","0.908012","vmlinux","ext4_es_lookup_extent","[Unknown]","0xffffffff812f1220"
"jbd2_write_access_granted.part.11","0.331798","1757600000","0.443787","0.906344","vmlinux","jbd2_write_access_granted.part.11","[Unknown]","0xffffffff8133e210"
"ext4_free_inodes_count","0.330795","1014000000","0.687179","0.812121","vmlinux","ext4_free_inodes_count","[Unknown]","0xffffffff8132f330"
"ext4_get_group_desc","0.328791","1284400000","0.560729","0.844512","vmlinux","ext4_get_group_desc","[Unknown]","0xffffffff812e4110"
"jbd2_journal_dirty_metadata","0.28268","720200000","0.855596","0.840426","vmlinux","jbd2_journal_dirty_metadata","[Unknown]","0xffffffff8133f9b0"
"read_tsc","0.273658","587600000","1.27434","1.05495","vmlinux","read_tsc","[Unknown]","0xffffffff81035900"
"get_orlov_stats.part.18","0.248598","1040000000","0.595","0.959677","vmlinux","get_orlov_stats.part.18","[Unknown]","0xffffffff812f42c0"
"link_path_walk","0.247595","1679600000","0.334365","0.874494","vmlinux","link_path_walk","[Unknown]","0xffffffff81265e90"
"do_syscall_64","0.231557","621400000","1.01674","1.05195","vmlinux","do_syscall_64","[Unknown]","0xffffffff810040d0"
"__jbd2_journal_file_buffer","0.209504","122200000","4.48936","1.00957","vmlinux","__jbd2_journal_file_buffer","[Unknown]","0xffffffff8133f170"
"__slab_free","0.19547","449800000","1.53179","1.35897","vmlinux","__slab_free","[Unknown]","0xffffffff8122ed50"
"ext4_data_block_valid","0.194468","691600000","0.789474","1.08247","vmlinux","ext4_data_block_valid","[Unknown]","0xffffffff812e58d0"
"insert_inode_locked","0.19146","18200000","19.4286","0.712042","vmlinux","insert_inode_locked","[Unknown]","0xffffffff81277cd0"
"inode_init_always","0.190458","148200000","2.92982","0.878947","vmlinux","inode_init_always","[Unknown]","0xffffffff81275ca0"
"__ext4_new_inode","0.189456","356200000","1.08759","0.78836","vmlinux","__ext4_new_inode","[Unknown]","0xffffffff812f5640"
"ext4_search_dir","0.180434","1193400000","0.405229","1.03333","vmlinux","ext4_search_dir","[Unknown]","0xffffffff81317450"
"kmem_cache_free","0.178429","535600000","0.849515","0.983146","vmlinux","kmem_cache_free","[Unknown]","0xffffffff8122f060"
"get_page_from_freelist","0.174419","236600000","2.02198","1.05747","vmlinux","get_page_from_freelist","[Unknown]","0xffffffff811c6060"
"_cond_resched","0.174419","902200000","0.631124","1.25862","vmlinux","_cond_resched","[Unknown]","0xffffffff81909900"
"jbd2_journal_stop","0.174419","449800000","1.04046","1.03448","vmlinux","jbd2_journal_stop","[Unknown]","0xffffffff8133eb60"
"ext4_find_dest_de","0.169407","1346800000","0.260618","0.798817","vmlinux","ext4_find_dest_de","[Unknown]","0xffffffff813182a0"
"lockref_put_return","0.165398","559000000","0.702326","0.915152","vmlinux","lockref_put_return","[Unknown]","0xffffffff81453ec0"
