amplxe: Using result path `/mnt/intel/vtune_amplifier_2018.3.0.558279/dirmaker-memory'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:ARITH.DIVIDER_UOPS	Hardware Event Count:BACLEARS.ANY	Hardware Event Count:BR_MISP_RETIRED.ALL_BRANCHES_PS	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:DSB2MITE_SWITCHES.PENALTY_CYCLES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT	Hardware Event Count:DTLB_LOAD_MISSES.WALK_DURATION	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT	Hardware Event Count:DTLB_STORE_MISSES.WALK_DURATION	Hardware Event Count:ICACHE.IFDATA_STALL	Hardware Event Count:IDQ.ALL_DSB_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_DSB_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.DSB_UOPS	Hardware Event Count:IDQ.MITE_UOPS	Hardware Event Count:IDQ.MS_SWITCHES	Hardware Event Count:IDQ.MS_UOPS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:ILD_STALL.LCP	Hardware Event Count:INST_RETIRED.PREC_DIST	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:ITLB_MISSES.STLB_HIT	Hardware Event Count:ITLB_MISSES.WALK_COMPLETED	Hardware Event Count:ITLB_MISSES.WALK_DURATION	Hardware Event Count:L1D_PEND_MISS.REQUEST_FB_FULL:cmask=1	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	Hardware Event Count:LSD.CYCLES_4_UOPS	Hardware Event Count:LSD.CYCLES_ACTIVE	Hardware Event Count:LSD.UOPS	Hardware Event Count:MACHINE_CLEARS.COUNT	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L2_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.LOCK_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_STORES_PS	Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:OTHER_ASSISTS.ANY_WB_ASSIST	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:RS_EVENTS.EMPTY_END	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_0	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_1	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_2	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_3	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_4	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_5	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_6	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_7	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Module	Function (Full)	Source File	Start Address
_raw_spin_lock	4516200000	4487600000	2178800000	0	99792857	0	0	125169994	207545435	0	0	0	3547530669	2283985432	0	2383778289	0	0	0	0	29938710	0	99792857	99792857	0	940404761	399171428	1297307141	0	299378571	3224390193	99792857	0	299378571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199585714	4989785	0	0	0	0	29938710	0	0	0	0	0	0	299378571	1596685712	0	598757142	0	0	299378571	0	99792857	199585714	199585714	199585714	99792857	0	299378571	299378571	199585714	1197514284	1197514284	vmlinux	_raw_spin_lock	[Unknown]	0xffffffff8190e910
ext4_mark_iloc_dirty	4017000000	3764800000	5298800000	99792857	299378571	0	0	178306968	124382324	0	4989785	0	4583723805	898135713	498964285	1988611343	0	0	0	0	14969355	0	299378571	99792857	399171428	997928570	540964348	4745044953	0	99792857	2625364066	0	0	3035785773	0	0	0	0	0	0	0	24948925	4989785	0	0	0	0	0	0	0	0	0	0	0	0	598757142	14969355	0	0	0	399171428	29938710	0	0	4989785	4989785	0	99792857	898135713	1896064283	0	598757142	0	9979420	399171428	299378571	399171428	798342856	598757142	399171428	997928570	0	798342856	598757142	299378571	2494821425	2694407139	vmlinux	ext4_mark_iloc_dirty	[Unknown]	0xffffffff81302240
[Outside any known module]	3468400000	3138200000	408200000	0	0	0	0	97907327	101909212	0	0	39917980	1896064283	1596685712	199585714	99792857	0	0	0	29938710	0	0	0	0	199585714	1842544956	99792857	0	99792857	2536821488	1297307141	299378571	0	99792857	299378571	0	0	72170732	0	0	0	0	0	0	0	0	0	0	0	0	4989785	0	0	0	0	99792857	9979570	0	2495865	0	0	0	0	0	0	0	0	0	199585714	1197514284	0	0	399171428	49897100	0	299378571	99792857	99792857	0	99792857	299378571	0	498964285	498964285	99792857	299378571	1397099998	[Unknown]	[Outside any known module]	[Unknown]	0x0
syscall_return_via_sysret	2938000000	2555800000	954200000	0	0	0	0	66980717	130159779	0	0	0	1397099998	997928570	0	0	0	0	0	24948925	0	0	0	0	399171428	498964285	0	199585714	0	1297307141	2341509241	99792857	0	399171428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99792857	0	0	2495865	0	99792857	0	0	0	0	0	0	0	199585714	898135713	0	0	1097721427	49897100	199585714	99792857	299378571	0	0	199585714	498964285	99792857	498964285	199585714	199585714	798342856	1596685712	vmlinux	syscall_return_via_sysret	[Unknown]	0xffffffff81a000ed
__find_get_block	2758600000	2792400000	3634800000	99792857	199585714	0	0	92129872	99433399	0	4989785	0	2882742574	399171428	99792857	1044202100	99792857	0	99792857	0	0	0	299378571	698549999	199585714	640757205	898135713	1980064409	0	0	3301671425	840611904	0	2794199996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9979570	199585714	4989785	0	0	0	299378571	4989785	0	0	14969355	0	0	0	299378571	698549999	0	0	99792857	0	399171428	199585714	199585714	399171428	199585714	199585714	798342856	0	898135713	698549999	299378571	1796271426	2395028568	vmlinux	__find_get_block	[Unknown]	0xffffffff81293c30
__d_lookup_rcu	2233400000	2381600000	1518400000	598757142	99792857	0	0	67180947	24948925	0	0	0	2141923527	1397099998	1143994957	1339576189	0	0	399171428	0	0	0	0	0	99792857	0	0	199585714	0	99792857	0	0	0	844616386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898135713	698549999	0	0	0	0	0	0	0	0	199585714	99792857	0	0	199585714	0	0	0	0	vmlinux	__d_lookup_rcu	[Unknown]	0xffffffff81274ec0
find_get_entry	2171000000	2113800000	429000000	698549999	299378571	0	0	82937972	39918280	0	0	0	5210745514	1781016665	1481638094	1239783332	0	0	0	0	0	0	0	99792857	99792857	99792857	0	1239783332	99792857	0	299378571	0	0	498964285	0	0	0	0	0	0	0	0	4989785	0	0	0	0	0	0	0	0	0	0	0	4989785	0	0	0	0	0	0	9979570	0	0	0	0	0	0	898135713	698549999	0	0	0	0	0	99792857	0	99792857	0	99792857	99792857	0	99792857	0	0	299378571	199585714	vmlinux	find_get_entry	[Unknown]	0xffffffff811bc5d0
find_group_orlov	2067000000	2438800000	4479800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	find_group_orlov	[Unknown]	0xffffffff812f44e0
__radix_tree_lookup	1729000000	1983800000	1045200000	698549999	99792857	0	0	19959140	24948925	0	14969355	0	898135713	898135713	498964285	498964285	0	0	0	0	0	99792857	0	99792857	0	399171428	199585714	199585714	0	0	898135713	299378571	0	299378571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4989785	4989785	4991730	0	0	0	0	0	4989785	0	0	0	698549999	399171428	0	0	99792857	0	99792857	0	99792857	0	0	99792857	0	0	99792857	99792857	0	798342856	698549999	vmlinux	__radix_tree_lookup	[Unknown]	0xffffffff818f1660
native_queued_spin_lock_slowpath	1521000000	1656200000	265200000	0	0	0	0	37242237	65092344	0	0	0	2046633332	744823529	0	744823529	0	0	0	0	0	0	0	541233333	0	0	0	744823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	native_queued_spin_lock_slowpath	[Unknown]	0xffffffff810d41a0
ext4_get_group_desc	1313000000	1453400000	2740400000	0	0	0	0	4989785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299378571	99792857	0	0	0	299378571	0	0	598757142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99792857	0	0	0	0	0	0	0	99792857	99792857	0	99792857	0	99792857	0	0	199585714	199585714	vmlinux	ext4_get_group_desc	[Unknown]	0xffffffff812e4110
