amplxe: Using result path `/mnt/vtune_nvm/nvm/r006ah'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000				100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 __clone	96.975574	74.010925	74.170537	0.0				99.989139		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.721753	0	99.271227	0.0	100.035070	0.0	libc-2.23.so	__clone	clone.S	0x1073b0
  start_thread	96.975574	74.010925	74.170537	0.0				99.989139		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.721753	0	99.271227	0.0	100.035070	0.0	libpthread-2.23.so	start_thread	pthread_create.c	0x75f0
   func@0x40bdc0	96.975574	74.010925	74.170537	0.0				99.989139		0.149359	0.149359	0.149359	0.0	0.0	0.0	0.0	0.0	0.0	97.721753	78000000	99.268200	3.633333	100.032020	0.731544	sysbench	func@0x40bdc0	[Unknown]	0x40bdc0
    func@0x417830	88.620478	25.310379	25.364964	0.0				96.928424		0.311750	0.311750	0.311750	0.0	0.0	0.0	0.0	0.0	0.0	91.580895	124800000	96.593630	4.270833	99.820395	0.659164	sysbench	func@0x417830	[Unknown]	0x417830
     func@0x417770	69.016438	16.901175	16.937624	0.0				75.855327		0.256617	0.256617	0.256617	0.0	0.0	0.0	0.0	0.0	0.0	69.156933	20800000	94.116587	17.500000	94.308178	0.546875	sysbench	func@0x417770	[Unknown]	0x417770
      fsync	63.973808	0.0	0.0	0.0				72.368850		0.382921	0.0	0.0	0.0	0.0	0.0	0.0	0.382921	0.0	66.381404	15600000	91.327843	41.000000	94.764884	0.643979	libpthread-2.23.so	fsync	syscall-template.S	0x10b00
       entry_SYSCALL_64_after_hwframe	63.090483	0.0	0.0	0.0				71.369610		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.231063	0	90.266808	0.0	94.760197	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	63.090483	0.0	0.0	0.0				71.369610		0.092222	0.0	0.0	0.0	0.0	0.0	0.0	0.092222	0.0	66.231063	41600000	90.266808	3.625000	94.760197	0.630435	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         __x64_sys_fsync	62.908057	0.0	0.0	0.0				71.163245		0.019046	0.0	0.0	0.0	0.0	0.0	0.0	0.019046	0.0	66.046028	7800000	90.250990	4.333333	94.752876	0.684211	vmlinux	__x64_sys_fsync	[Unknown]	0xffffffff8128ec20
