"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"native_queued_spin_lock_slowpath","7.4439","2558400000","4.86585","0.644762","vmlinux","native_queued_spin_lock_slowpath","[Unknown]","0xffffffff810d41a0"
"copy_user_enhanced_fast_string","3.19769","176800000","37.8382","0.806583","vmlinux","copy_user_enhanced_fast_string","[Unknown]","0xffffffff818fba20"
"find_busiest_group","1.44347","1396200000","1.6406","0.611806","vmlinux","find_busiest_group","[Unknown]","0xffffffff810bf850"
"update_nohz_stats","0.989379","595400000","2.52402","0.585613","vmlinux","update_nohz_stats","[Unknown]","0xffffffff810bc8b0"
"update_blocked_averages","0.913196","473200000","3.03846","0.607025","vmlinux","update_blocked_averages","[Unknown]","0xffffffff810bc2a0"
"__sched_text_start","0.825986","226200000","5.94253","0.627427","vmlinux","__sched_text_start","[Unknown]","0xffffffff81908df0"
"syscall_return_via_sysret","0.604453","174200000","5.34328","0.593698","vmlinux","syscall_return_via_sysret","[Unknown]","0xffffffff81a000ed"
"generic_make_request_checks","0.588415","111800000","8.53488","0.625213","vmlinux","generic_make_request_checks","[Unknown]","0xffffffff8141dd40"
"__radix_tree_lookup","0.577388","278200000","4.7757","0.887153","vmlinux","__radix_tree_lookup","[Unknown]","0xffffffff818f1660"
"radix_tree_next_chunk","0.533282","392600000","2.2053","0.62594","vmlinux","radix_tree_next_chunk","[Unknown]","0xffffffff818eff20"
"get_request","0.50321","184600000","4.53521","0.641434","vmlinux","get_request","[Unknown]","0xffffffff8141d500"
"update_load_avg","0.489176","449800000","1.85549","0.657787","vmlinux","update_load_avg","[Unknown]","0xffffffff810ba770"
"jbd2_journal_stop","0.483162","179400000","5.63768","0.807054","vmlinux","jbd2_journal_stop","[Unknown]","0xffffffff8133eb60"
"start_this_handle","0.452087","137800000","6.54717","0.769401","vmlinux","start_this_handle","[Unknown]","0xffffffff8133dcf0"
"find_get_entry","0.439056","150800000","6.03448","0.799087","vmlinux","find_get_entry","[Unknown]","0xffffffff811bc5d0"
"_raw_spin_lock_irq","0.435046","72800000","9.96429","0.642857","vmlinux","_raw_spin_lock_irq","[Unknown]","0xffffffff8190e930"
"_raw_spin_lock_irqsave","0.435046","184600000","3.52113","0.576037","vmlinux","_raw_spin_lock_irqsave","[Unknown]","0xffffffff8190e6f0"
"pick_next_task_fair","0.419007","148200000","4.52632","0.617225","vmlinux","pick_next_task_fair","[Unknown]","0xffffffff810c1300"
"update_curr","0.416","176800000","3.80882","0.624096","vmlinux","update_curr","[Unknown]","0xffffffff810b9e30"
"ext4_sync_file","0.388935","59800000","10.1739","0.603093","vmlinux","ext4_sync_file","[Unknown]","0xffffffff812f3810"
"switch_mm_irqs_off","0.380916","101400000","5.92308","0.607895","vmlinux","switch_mm_irqs_off","[Unknown]","0xffffffff81071880"
"_raw_read_lock","0.379913","104000000","6.65","0.701847","vmlinux","_raw_read_lock","[Unknown]","0xffffffff8190e7f0"
"__fget","0.375904","52000000","11.4","0.608","vmlinux","__fget","[Unknown]","0xffffffff81278f00"
"ext4_writepages","0.369889","62400000","9.375","0.609756","vmlinux","ext4_writepages","[Unknown]","0xffffffff81302e80"
"kmem_cache_alloc","0.367884","252200000","2.4433","0.645777","vmlinux","kmem_cache_alloc","[Unknown]","0xffffffff8122fd40"
"blk_queue_split","0.323778","161200000","3.17742","0.609907","vmlinux","blk_queue_split","[Unknown]","0xffffffff814250a0"
"blk_queue_bio","0.318766","96200000","5.02703","0.584906","vmlinux","blk_queue_bio","[Unknown]","0xffffffff81420680"
"kmem_cache_free","0.314757","78000000","6.93333","0.66242","vmlinux","kmem_cache_free","[Unknown]","0xffffffff8122f060"
