amplxe: Using result path `/mnt/vtune_nvm/nvm/fileio-memory'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:ARITH.DIVIDER_UOPS	Hardware Event Count:BACLEARS.ANY	Hardware Event Count:BR_MISP_RETIRED.ALL_BRANCHES_PS	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:DSB2MITE_SWITCHES.PENALTY_CYCLES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT	Hardware Event Count:DTLB_LOAD_MISSES.WALK_DURATION	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT	Hardware Event Count:DTLB_STORE_MISSES.WALK_DURATION	Hardware Event Count:ICACHE.IFDATA_STALL	Hardware Event Count:IDQ.ALL_DSB_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_DSB_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.DSB_UOPS	Hardware Event Count:IDQ.MITE_UOPS	Hardware Event Count:IDQ.MS_SWITCHES	Hardware Event Count:IDQ.MS_UOPS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:ILD_STALL.LCP	Hardware Event Count:INST_RETIRED.PREC_DIST	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:ITLB_MISSES.STLB_HIT	Hardware Event Count:ITLB_MISSES.WALK_COMPLETED	Hardware Event Count:ITLB_MISSES.WALK_DURATION	Hardware Event Count:L1D_PEND_MISS.REQUEST_FB_FULL:cmask=1	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	Hardware Event Count:LSD.CYCLES_4_UOPS	Hardware Event Count:LSD.CYCLES_ACTIVE	Hardware Event Count:LSD.UOPS	Hardware Event Count:MACHINE_CLEARS.COUNT	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L2_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.LOCK_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_STORES_PS	Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:OTHER_ASSISTS.ANY_WB_ASSIST	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:RS_EVENTS.EMPTY_END	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_0	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_1	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_2	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_3	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_4	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_5	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_6	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_7	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Module	Function (Full)	Source File	Start Address
native_queued_spin_lock_slowpath	7007000000	14058200000	1541800000	533338787	237268570	0	0	520109700	319856852	0	23700491	0	7206176514	4449622466	2818540651	1637119198	0	0	177627272	0	0	98242857	776291159	1472339219	96571428	212869090	1901425646	633816787	1002055479	2477261740	985543145	189069523	0	2157457922	0	0	0	0	0	0	0	0	0	0	0	0	0	2494905	0	0	0	0	0	0	0	119678787	0	0	0	0	0	0	0	0	0	0	0	502079695	4177713090	2014854457	0	0	1828967105	457537459	0	0	233089999	409361472	0	381272272	1787406632	0	2889130097	609506140	316856709	4224266169	3356231449	vmlinux	native_queued_spin_lock_slowpath	[Unknown]	0xffffffff810d41a0
copy_user_enhanced_fast_string	4807400000	8886800000	161200000	1422371235	4457942162	0	0	341811874	258800779	0	0	0	4755094259	3786080984	2279337313	2996216628	0	0	0	0	16825728	0	0	321336644	0	186949688	0	482803602	164632000	1487820821	241721211	0	0	0	286674424	0	0	0	1299096428	0	0	0	20054735	0	0	0	0	0	0	0	0	0	0	0	62459803	0	53630091	31854464	17147890	0	96571428	0	0	0	0	0	379837713	887722346	2760540427	2908945971	0	2897459083	322088786	0	0	0	0	96571428	370454179	0	410976406	263939317	1218517280	416536278	296261557	1515228827	835016485	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff818fba20
find_busiest_group	1354600000	2974400000	834600000	289714284	1019648028	0	0	91652358	66636973	0	8231834	0	693170597	451825972	894117270	619189826	0	0	0	0	0	99307317	315435713	398977013	99053658	0	1323709872	210890650	0	594175598	538752639	0	0	942396454	0	0	0	0	0	0	0	0	0	0	0	0	0	3947533	0	2313889	0	0	0	0	30804402	0	0	0	5274471	0	0	0	0	0	0	0	0	631810419	973934933	223093787	0	0	164632000	11158483	0	203645000	421396103	179397513	100230000	99307317	377746862	231262120	799241245	510866353	103415000	577237851	655804198	vmlinux	find_busiest_group	[Unknown]	0xffffffff810bf850
__ieee754_log_avx	1118000000	2301000000	174200000	299669696	195878745	0	0	59091037	88595928	0	8881616	0	432939935	1534352748	730819740	854440170	0	0	419348483	0	0	0	0	0	0	0	99307317	478347953	164632000	0	838527056	129674999	0	180320196	0	0	0	22391059	0	0	0	0	0	0	0	0	5011642	0	0	0	0	0	0	0	5170897	0	4519041	0	5312739	0	0	0	0	0	0	0	0	100230000	905102392	297031428	0	0	358832198	21991175	122042424	99307317	0	0	0	0	177627272	0	0	0	164632000	765473771	164632000	libm-2.23.so	__ieee754_log_avx	e_log.c	0x655f0
__sched_text_start	1079000000	2111200000	208000000	218986104	0	0	0	81970142	48835089	0	23556693	0	999864295	669953657	218864285	394239720	0	0	296261557	0	4912282	385133665	0	0	0	90826666	0	716104997	0	0	730185799	99307317	0	0	276934589	0	0	10098366	0	0	0	0	0	0	0	0	0	1777247	0	1777247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90378260	496640639	410717271	0	0	96571428	31147854	0	0	99307317	277386711	99307317	0	129674999	0	420271709	99307317	0	551493267	324452423	vmlinux	__sched_text_start	[Unknown]	0xffffffff81908df0
[Outside any known module]	993200000	2028000000	72800000	0	0	0	0	85701008	35186004	0	0	20683434	1137035007	1265098594	286705411	0	0	0	0	6102295	0	0	0	0	0	277857272	0	90378260	240676709	558365474	528276061	222049285	0	0	0	0	0	94592533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2993221	0	0	0	0	0	0	0	0	0	267039884	438515456	0	0	0	23831628	0	98242857	0	0	211813333	0	195878745	0	326971514	90378260	0	295855086	170916862	[Unknown]	[Outside any known module]	[Unknown]	0x0
__GI___pthread_mutex_lock	912600000	1991600000	101400000	359280604	0	0	0	70546130	46505663	0	11436758	0	1247424085	1243874250	438926427	577303829	0	0	164632000	0	0	218613852	0	0	220285281	0	0	96571428	0	201657857	590225856	469967125	0	164632000	0	0	4004623	80825304	0	0	0	0	0	0	0	0	0	966243	0	0	0	0	0	0	4828709	0	0	0	0	0	0	0	0	0	4828709	0	0	424459284	197550174	675443951	0	0	342259272	9657273	0	0	164632000	0	0	0	119678787	0	0	202132620	0	323323787	0	libpthread-2.23.so	__GI___pthread_mutex_lock	pthread_mutex_lock.c	0x9d40
syscall_return_via_sysret	865800000	1973400000	208000000	281042272	129674999	0	0	65785698	39616234	0	4912282	0	502567927	390957187	118634285	90826666	0	0	0	4828709	138929484	0	0	0	0	103415000	0	99053658	103415000	668862076	214998333	0	0	98242857	0	0	0	0	0	0	0	0	0	0	0	0	0	1297461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646284315	0	0	0	498953354	27739044	0	277857272	0	0	0	0	103415000	0	189069523	216250215	0	191056666	761144876	vmlinux	syscall_return_via_sysret	[Unknown]	0xffffffff81a000ed
__radix_tree_lookup	860600000	1593800000	299000000	764537133	461938059	0	0	69407384	32719030	0	5170897	0	616070539	894040714	738496232	604550426	0	0	0	0	5170897	0	0	90826666	0	0	0	510306687	0	0	0	0	0	80090196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1197444	0	0	0	0	0	90826666	4519041	0	0	0	0	0	0	0	0	0	0	96571428	713588678	301717316	0	0	0	0	0	0	118634285	0	122042424	0	188621117	0	181653332	129674999	0	441312930	419348483	vmlinux	__radix_tree_lookup	[Unknown]	0xffffffff818f1660
sb_histogram_update	860600000	1851200000	36400000	99307317	241258332	0	0	87494194	56575774	0	21297433	0	929961235	773035745	196485714	649509308	0	0	276215333	0	0	0	0	111583333	219908787	226246427	0	164632000	0	118634285	1551873528	98242857	0	0	0	0	0	5984109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677836111	324511082	0	0	0	19562772	0	0	0	164632000	0	0	0	0	338292639	96571428	129674999	384694609	0	sysbench	sb_histogram_update	[Unknown]	0x410060
generic_make_request_checks	845000000	1625000000	117000000	122042424	99053658	0	0	63962534	44885504	0	15915123	19648984	1091369369	541474760	642892552	563395021	0	0	251717423	0	0	193793260	0	0	111583333	0	0	0	0	0	684498845	198360975	0	708960570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594676116	177627272	0	0	317358766	0	0	96571428	0	0	0	0	190133983	0	297208260	0	0	249353786	237268570	vmlinux	generic_make_request_checks	[Unknown]	0xffffffff8141dd40
