amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-randread-cpu'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	92.295707	72.572795	82.790744	57.777778	0.0	0.0		99.993335		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.570148	0	94.515437	0.0	99.916729	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x45206e	90.797517	67.235932	78.813984	1.481481	0.0	0.0		99.993335		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.388969	0	93.975352	0.0	99.762501	0.0	fio	func@0x45206e	[Unknown]	0x45206e
   func@0x44eb80	84.996524	46.955853	55.043574	0.987654	0.0	0.0		99.843365		0.664598	0.664598	0.664598	0.0	0.0	0.0	0.0	0.0	0.0	89.441712	613600000	94.708951	2.652542	99.662085	0.944193	fio	func@0x44eb80	[Unknown]	0x44eb80
    td_io_queue	73.497615	17.043805	19.973956	0.493827	0.0	0.0		95.530894		0.467123	0.467123	0.467123	0.0	0.0	0.0	0.0	0.0	0.0	80.083888	416000000	91.598552	2.906250	99.806887	0.997854	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	71.522401	10.007685	11.719924	0.493827	0.0	0.0		95.530894		0.297716	0.297716	0.296713	0.001002	0.0	0.0	0.0	0.0	0.0	78.912352	143000000	90.521211	4.272727	99.874187	0.791246	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      __read	68.712995	0.0	0.0	0.0	0.0	0.0		95.530894		0.397957	0.0	0.0	0.0	0.0	0.0	0.0	0.397957	0.0	77.027288	72800000	89.089691	10.892857	99.869571	0.768262	libpthread-2.23.so	__read	syscall-template.S	0x104f0
       entry_SYSCALL_64_after_hwframe	67.399382	0.0	0.0	0.0	0.0	0.0		93.704592		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.718735	0	88.063779	0.0	100.240411	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	67.399382	0.0	0.0	0.0	0.0	0.0		93.704592		0.174419	0.0	0.0	0.0	0.0	0.0	0.0	0.174419	0.0	76.718735	306800000	88.063779	1.745763	100.240411	1.183908	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_read	66.797708	0.0	0.0	0.0	0.0	0.0		92.868093		0.159383	0.0	0.0	0.0	0.0	0.0	0.0	0.159383	0.0	76.067882	80600000	87.897286	3.870968	100.095654	0.754717	vmlinux	ksys_read	[Unknown]	0xffffffff81259f20
