amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-randread-cpu2'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	92.050245	69.013020	81.586489	58.937198	0.450450	0.0		99.979761		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.493370	0	95.241821	0.0	100.873670	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x45206e	90.527403	63.250735	76.847492	5.314010	0.0	0.0		99.916153		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.329883	0	94.779784	0.0	100.854827	0.0	fio	func@0x45206e	[Unknown]	0x45206e
   func@0x44eb80	85.434053	43.712726	53.060389	4.830918	0.0	0.0		99.794721		0.614477	0.614477	0.613475	0.001002	0.0	0.0	0.0	0.0	0.0	89.079476	871000000	97.143507	2.155224	101.288566	1.177814	fio	func@0x44eb80	[Unknown]	0x44eb80
    td_io_queue	75.686140	15.892482	19.314227	1.207729	0.0	0.0		96.267384		0.430034	0.430034	0.427027	0.003007	0.0	0.0	0.0	0.0	0.0	79.822910	499200000	95.520704	2.333333	100.741571	1.044289	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	74.053601	9.517010	11.576254	0.483092	0.0	0.0		96.267384		0.308742	0.308742	0.308742	0.0	0.0	0.0	0.0	0.0	0.0	78.475490	150800000	95.143795	5.379310	100.825022	1.012987	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      __read	71.614471	0.0	0.0	0.0	0.0	0.0		96.264492		0.348839	0.0	0.0	0.0	0.0	0.0	0.0	0.348839	0.0	77.029686	101400000	93.876811	7.384615	100.975419	0.827586	libpthread-2.23.so	__read	syscall-template.S	0x104f0
       entry_SYSCALL_64_after_hwframe	70.517508	0.0	0.0	0.0	0.0	0.0		94.789950		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.670374	0	93.126009	0.0	101.251534	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	70.517508	0.0	0.0	0.0	0.0	0.0		94.789950		0.203489	0.0	0.0	0.0	0.0	0.0	0.0	0.203489	0.0	76.670374	395200000	93.126009	1.703947	101.251534	1.275862	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_read	69.906651	0.0	0.0	0.0	0.0	0.0		93.968832		0.152366	0.0	0.0	0.0	0.0	0.0	0.0	0.152366	0.0	75.947472	130000000	93.099151	3.000000	101.144099	0.986842	vmlinux	ksys_read	[Unknown]	0xffffffff81259f20
          vfs_read	69.364622	0.0	0.0	0.0	0.0	0.0		93.240235		0.158381	0.0	0.0	0.0	0.0	0.0	0.0	0.158381	0.0	75.472667	184600000	92.977910	2.760563	101.165271	1.240506	vmlinux	vfs_read	[Unknown]	0xffffffff81259960
           __vfs_read	67.198658	0.0	0.0	0.0	0.0	0.0		90.328736		0.296713	0.0	0.0	0.0	0.0	0.0	0.0	0.296713	0.0	72.696552	639600000	93.475904	1.321138	101.123686	1.097973	vmlinux	__vfs_read	[Unknown]	0xffffffff812597f0
            generic_file_read_iter	66.041470	0.0	0.0	0.0	0.0	0.0		88.773239		0.615480	0.0	0.0	0.0	0.0	0.0	0.0	0.615480	0.0	71.272136	1034800000	93.752605	1.711055	101.178070	1.109121	vmlinux	generic_file_read_iter	[Unknown]	0xffffffff811beee0
             force_page_cache_readahead	47.324271	0.0	0.0	0.0	0.0	0.0		63.613496		0.148357	0.0	0.0	0.0	0.0	0.0	0.0	0.148357	0.0	51.732398	189800000	92.443690	2.136986	101.054568	1.054054	vmlinux	force_page_cache_readahead	[Unknown]	0xffffffff811ce7e0
              __do_page_cache_readahead	47.003786	0.0	0.0	0.0	0.0	0.0		63.182699		0.168405	0.0	0.0	0.0	0.0	0.0	0.0	0.168405	0.0	51.420139	345800000	92.401718	1.172932	101.083543	0.928571	vmlinux	__do_page_cache_readahead	[Unknown]	0xffffffff811ce220
               ext4_mpage_readpages	23.012561	0.0	0.0	0.0	0.0	0.0		30.933588		0.680636	0.0	0.0	0.0	0.0	0.0	0.0	0.680636	0.0	27.008298	1232400000	86.350520	1.672996	101.343809	1.167894	vmlinux	ext4_mpage_readpages	[Unknown]	0xffffffff8131d450
                submit_bio	10.763142	0.0	0.0	0.0	0.0	0.0		14.467864		0.131316	0.0	0.0	0.0	0.0	0.0	0.0	0.131316	0.0	12.229446	156000000	89.905631	3.033333	102.153822	1.389313	vmlinux	submit_bio	[Unknown]	0xffffffff8141f1c0
                 generic_make_request	10.479222	0.0	0.0	0.0	0.0	0.0		14.086217		0.147354	0.0	0.0	0.0	0.0	0.0	0.0	0.147354	0.0	11.972795	384800000	88.812484	1.074324	101.470666	1.081633	vmlinux	generic_make_request	[Unknown]	0xffffffff8141edf0
                  blk_queue_bio	8.242278	0.0	0.0	0.0	0.0	0.0		11.079307		0.230554	0.0	0.0	0.0	0.0	0.0	0.0	0.230554	0.0	8.884421	413400000	94.773946	1.729560	102.157636	1.195652	vmlinux	blk_queue_bio	[Unknown]	0xffffffff81420cc0
                   get_request	3.103760	0.0	0.0	0.0	0.0	0.0		4.172088		0.306737	0.0	0.0	0.0	0.0	0.0	0.0	0.306737	0.0	3.798443	603200000	81.833228	1.331897	100.149132	1.009804	vmlinux	get_request	[Unknown]	0xffffffff8141db40
                    mempool_alloc	1.869139	0.0	0.0	0.0	0.0	0.0		2.512505		0.031075	0.0	0.0	0.0	0.0	0.0	0.0	0.031075	0.0	1.843614	93600000	103.219783	0.833333	101.810205	0.967742	vmlinux	mempool_alloc	[Unknown]	0xffffffff811bfed0
                     alloc_request_size	1.787404	0.0	0.0	0.0	0.0	0.0		2.402637		0.068164	0.0	0.0	0.0	0.0	0.0	0.0	0.068164	0.0	1.599795	109200000	113.763240	1.642857	101.822418	1.014706	vmlinux	alloc_request_size	[Unknown]	0xffffffff8141b3c0
                      scsi_old_init_rq	0.974361	0.0	0.0	0.0	0.0	0.0		1.309741		0.229552	0.0	0.0	0.0	0.0	0.0	0.0	0.229552	0.0	0.658739	171600000	160.789614	4.227273	108.705467	1.218341	vmlinux	scsi_old_init_rq	[Unknown]	0xffffffff816368b0
                       kmem_cache_alloc_node	0.481803	0.0	0.0	0.0	0.0	0.0		0.647642		0.221533	0.0	0.0	0.0	0.0	0.0	0.0	0.221533	0.0	0.372145	226200000	135.936047	2.896552	104.996965	1.140271	vmlinux	kmem_cache_alloc_node	[Unknown]	0xffffffff81230260
                        should_failslab	0.004302	0.0	0.0	0.0	0.0	0.0		0.005783		0.002005	0.0	0.0	0.0	0.0	0.0	0.0	0.002005	0.0	0.0	0			137.808517	1.500000	vmlinux	should_failslab	[Unknown]	0xffffffff811e9e30
                        apic_timer_interrupt	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	apic_timer_interrupt	[Unknown]	0xffffffff81a01a10
                         smp_apic_timer_interrupt	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	smp_apic_timer_interrupt	[Unknown]	0xffffffff81a02390
                          hrtimer_interrupt	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	hrtimer_interrupt	[Unknown]	0xffffffff81100560
                           __hrtimer_run_queues	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	__hrtimer_run_queues	[Unknown]	0xffffffff810ffda0
                            tick_sched_timer	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	tick_sched_timer	[Unknown]	0xffffffff811105f0
                             tick_sched_handle	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	tick_sched_handle	[Unknown]	0xffffffff81110380
                              update_process_times	0.002151	0.0	0.0	0.0	0.0	0.0		0.002891		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0		0.0	91.872345	0.0	vmlinux	update_process_times	[Unknown]	0xffffffff810ff230
