amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-randwrite-cpu'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	91.988190	71.103486	83.536118	57.665904	0.393701	0.0		99.993078		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.586727	0	94.417670	0.0	100.164069	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x45206e	90.501927	65.739570	79.491395	6.407323	0.0	0.0		99.993078		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.338482	0	94.079371	0.0	100.146639	0.0	fio	func@0x45206e	[Unknown]	0x45206e
   func@0x44eb80	84.932192	46.080910	55.738244	4.118993	0.0	0.0		99.823481		0.642545	0.642545	0.642545	0.0	0.0	0.0	0.0	0.0	0.0	90.076455	559000000	94.392537	2.762791	100.109803	0.926677	fio	func@0x44eb80	[Unknown]	0x44eb80
    td_io_queue	74.082971	16.913491	20.453798	1.601831	0.0	0.0		95.995431		0.503210	0.503210	0.502207	0.001002	0.0	0.0	0.0	0.0	0.0	80.553388	418600000	92.284954	3.049689	100.345136	0.978088	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	71.926137	9.129493	11.027074	1.144165	0.0	0.0		95.995431		0.316762	0.316762	0.316762	0.0	0.0	0.0	0.0	0.0	0.0	79.331149	117000000	91.026454	7.111111	100.397901	1.012658	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      write	69.396487	0.0	0.0	0.0	0.0	0.0		95.995431		0.411991	0.0	0.0	0.0	0.0	0.0	0.0	0.411991	0.0	77.692828	83200000	89.618492	12.000000	100.332371	0.934307	libpthread-2.23.so	write	syscall-template.S	0x10490
       entry_SYSCALL_64_after_hwframe	68.050343	0.0	0.0	0.0	0.0	0.0		94.133324		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.375566	0	88.255455	0.0	100.349468	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	68.050343	0.0	0.0	0.0	0.0	0.0		94.133324		0.171412	0.0	0.0	0.0	0.0	0.0	0.0	0.171412	0.0	77.375566	267800000	88.255455	1.456311	100.349468	0.877193	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_write	67.467347	0.0	0.0	0.0	0.0	0.0		93.326872		0.075181	0.0	0.0	0.0	0.0	0.0	0.0	0.075181	0.0	76.772247	54600000	88.207609	4.190476	100.372946	1.173333	vmlinux	ksys_write	[Unknown]	0xffffffff8125a020
          vfs_write	67.016964	0.0	0.0	0.0	0.0	0.0		92.703863		0.290699	0.0	0.0	0.0	0.0	0.0	0.0	0.290699	0.0	76.465387	236600000	87.987730	3.263736	100.392728	1.024138	vmlinux	vfs_write	[Unknown]	0xffffffff81259d40
           __vfs_write	64.407246	0.0	0.0	0.0	0.0	0.0		89.093867		0.163393	0.0	0.0	0.0	0.0	0.0	0.0	0.163393	0.0	74.062516	223600000	87.138543	1.593023	100.201455	0.840491	vmlinux	__vfs_write	[Unknown]	0xffffffff81259ad0
            ext4_file_write_iter	63.909323	0.0	0.0	0.0	0.0	0.0		88.405095		0.326786	0.0	0.0	0.0	0.0	0.0	0.0	0.326786	0.0	73.433193	332800000	87.308252	2.656250	100.319068	1.042945	vmlinux	ext4_file_write_iter	[Unknown]	0xffffffff812f2200
             __generic_file_write_iter	58.734925	0.0	0.0	0.0	0.0	0.0		81.247404		0.203489	0.0	0.0	0.0	0.0	0.0	0.0	0.203489	0.0	68.466219	171600000	85.863354	2.833333	100.089330	0.921182	vmlinux	__generic_file_write_iter	[Unknown]	0xffffffff811bf9f0
