amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-randwrite-cpu2'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	96.072839	86.535707	82.821119	84.131423	98.394864	0.0		99.998316		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.574263	0	97.944038	0.0	100.494182	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x451bc0	94.769752	82.070800	71.788810	73.074683	98.379577	0.0		99.996631		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.731644	0	97.414732	0.0	100.459289	0.0	fio	func@0x451bc0	[Unknown]	0x451bc0
   func@0x44eb5c	93.015596	76.210354	53.427896	59.128510	98.364290	0.0		99.932621		0.270651	0.270651	0.049118	0.221533	0.0	0.0	0.0	0.0	0.0	88.001832	1489800000	106.212646	0.465969	100.487528	0.988889	fio	func@0x44eb5c	[Unknown]	0x44eb5c
    td_io_queue	71.392943	6.719869	19.306541	16.276360	0.0	0.0		98.012330		0.339817	0.339817	0.048116	0.291701	0.0	0.0	0.0	0.0	0.0	56.101359	1193400000	128.834613	0.921569	101.239654	1.247788	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	70.697247	4.333947	12.293144	10.520797	0.0	0.0		98.012330		0.145349	0.145349	0.032077	0.113272	0.0	0.0	0.0	0.0	0.0	53.961227	189800000	132.584759	2.315068	101.198231	1.165517	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      write	69.433539	0.0	0.0	0.0	0.0	0.0		98.012330		0.209504	0.0	0.0	0.0	0.0	0.0	0.0	0.209504	0.0	52.639292	65000000	133.557321	9.480000	101.253125	1.133971	libpthread-2.23.so	write	syscall-template.S	0x10490
       entry_SYSCALL_64_after_hwframe	68.955024	0.0	0.0	0.0	0.0	0.0		97.336859		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.958480	0	134.391774	0.0	101.265895	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	68.955024	0.0	0.0	0.0	0.0	0.0		97.336859		0.229552	0.0	0.0	0.0	0.0	0.0	0.0	0.229552	0.0	51.958480	504400000	134.391774	1.340206	101.265895	1.135371	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_write	68.515889	0.0	0.0	0.0	0.0	0.0		96.716976		0.080193	0.0	0.0	0.0	0.0	0.0	0.0	0.080193	0.0	51.250191	91000000	135.388555	3.314286	101.271244	1.450000	vmlinux	ksys_write	[Unknown]	0xffffffff8125a020
