amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-seqread-cpu'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	92.848730	73.459490	86.596507	53.020134	0.0	0.0		99.992992		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.710532	0	95.086239	0.0	100.065202	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x45206e	92.183019	70.987067	86.203308	2.460850	0.0	0.0		99.992992		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.595660	0	95.465701	0.0	100.035478	0.0	fio	func@0x45206e	[Unknown]	0x45206e
   func@0x44eb80	85.973986	48.411944	58.771828	2.013423	0.0	0.0		99.814296		0.661591	0.661591	0.660588	0.001002	0.0	0.0	0.0	0.0	0.0	89.393789	676000000	95.942664	2.707692	99.758992	1.066667	fio	func@0x44eb80	[Unknown]	0x44eb80
    td_io_queue	78.971221	22.422975	27.223314	0.894855	0.0	0.0		99.807288		0.401966	0.401966	0.400964	0.001002	0.0	0.0	0.0	0.0	0.0	82.545292	501800000	95.249884	2.176166	99.560693	1.047382	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	76.933122	14.853556	18.052504	0.223714	0.0	0.0		99.807288		0.234564	0.234564	0.234564	0.0	0.0	0.0	0.0	0.0	0.0	81.091977	137800000	94.464558	3.811321	99.571129	0.863248	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      __read	72.933736	0.0	0.0	0.0	0.0	0.0		99.807288		0.310747	0.0	0.0	0.0	0.0	0.0	0.0	0.310747	0.0	79.155883	88400000	91.534374	9.235294	99.343384	1.012903	libpthread-2.23.so	__read	syscall-template.S	0x104f0
       entry_SYSCALL_64_after_hwframe	71.778984	0.0	0.0	0.0	0.0	0.0		98.227050		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.842325	0	90.467316	0.0	99.369665	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	71.778984	0.0	0.0	0.0	0.0	0.0		98.227050		0.212511	0.0	0.0	0.0	0.0	0.0	0.0	0.212511	0.0	78.842325	280800000	90.467316	2.018519	99.369665	1.028302	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_read	71.069746	0.0	0.0	0.0	0.0	0.0		97.256482		0.136328	0.0	0.0	0.0	0.0	0.0	0.0	0.136328	0.0	78.240096	93600000	90.197847	3.972222	99.298063	1.051471	vmlinux	ksys_read	[Unknown]	0xffffffff81259f20
