amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-seqread-cpu2'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	94.737321	91.711479	93.099705	97.829037	98.052589	0.0		99.987559		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.207243	0	95.986521	0.0	100.515384	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x452056	94.050489	90.646734	92.246860	95.104025	98.043615	0.0		99.956457		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.293763	0	96.153963	0.0	100.492139	0.0	fio	func@0x452056	[Unknown]	0x452056
   func@0x44eb80	89.929497	84.484118	65.870678	94.911805	98.034641	0.0		99.377955		0.209504	0.209504	0.207499	0.002005	0.0	0.0	0.0	0.0	0.0	89.122736	858000000	102.606627	0.472727	101.686139	0.746411	fio	func@0x44eb80	[Unknown]	0x44eb80
    get_io_u	46.534000	73.352692	18.157854	94.595206	98.034641	0.0		0.0		0.497195	0.497195	0.492183	0.005012	0.0	0.0	0.0	0.0	0.0	45.195171	1656200000	119.578628	0.571429	116.138232	0.733871	fio	get_io_u	[Unknown]	0x433000
     td_io_open_file	43.843530	69.111637	0.031013	94.436906	98.034641	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.191147	0	132.470963	0.0	118.414029	0.0	fio	td_io_open_file	[Unknown]	0x40f7c0
      file_invalidate_cache	43.843530	69.111637	0.031013	94.436906	98.034641	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.191147	0	132.470963	0.0	118.414029	0.0	fio	file_invalidate_cache	[Unknown]	0x424ba0
       posix_fadvise	43.793496	69.032767	0.031013	94.369064	97.891053	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.993964	0	133.008572	0.0	118.431547	0.0	libc-2.23.so	posix_fadvise	posix_fadvise.c	0xfb870
        entry_SYSCALL_64_after_hwframe	43.793496	69.032767	0.031013	94.369064	97.891053	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.993964	0	133.008572	0.0	118.431547	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
         do_syscall_64	43.793496	69.032767	0.031013	94.369064	97.891053	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.993964	0	133.008572	0.0	118.431547	0.0	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
          __x64_sys_fadvise64	43.793496	69.032767	0.031013	94.369064	97.891053	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.993964	0	133.008572	0.0	118.431547	0.0	vmlinux	__x64_sys_fadvise64	[Unknown]	0xffffffff812103e0
           ksys_fadvise64_64	43.793496	69.032767	0.031013	94.369064	97.891053	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.993964	0	133.008572	0.0	118.431547	0.0	vmlinux	ksys_fadvise64_64	[Unknown]	0xffffffff81210160
