amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-seqwrite-cpu'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	92.709149	72.869933	87.529796	59.731544	0.0	0.0		99.992614		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.973905	0	94.650287	0.0	100.025275	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x45206e	92.025717	70.345036	87.216159	9.172260	0.0	0.0		99.985228		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.785828	0	95.081857	0.0	100.000050	0.0	fio	func@0x45206e	[Unknown]	0x45206e
   func@0x44eb80	86.358357	49.622774	61.523021	6.487696	0.0	0.0		99.844893		0.601446	0.601446	0.599441	0.002005	0.0	0.0	0.0	0.0	0.0	90.675719	600600000	95.102363	2.367965	99.856870	0.911667	fio	func@0x44eb80	[Unknown]	0x44eb80
    td_io_queue	79.415976	23.800422	29.557145	2.237136	0.0	0.0		99.833813		0.498198	0.498198	0.494188	0.004010	0.0	0.0	0.0	0.0	0.0	83.711679	366600000	94.603100	3.361702	99.720293	0.953722	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	76.976688	14.716829	18.291306	1.118568	0.0	0.0		99.833813		0.265639	0.265639	0.264636	0.001002	0.0	0.0	0.0	0.0	0.0	82.470563	132600000	93.197519	5.156863	99.849086	0.992453	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      write	73.024663	0.0	0.0	0.0	0.0	0.0		99.833813		0.407981	0.0	0.0	0.0	0.0	0.0	0.0	0.407981	0.0	80.465684	101400000	90.839285	10.410256	100.095569	0.997543	libpthread-2.23.so	write	syscall-template.S	0x10490
       entry_SYSCALL_64_after_hwframe	71.538939	0.0	0.0	0.0	0.0	0.0		97.802644		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.147449	0	89.306784	0.0	100.053355	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	71.538939	0.0	0.0	0.0	0.0	0.0		97.802644		0.185446	0.0	0.0	0.0	0.0	0.0	0.0	0.185446	0.0	80.147449	293800000	89.306784	1.725664	100.053355	1.054054	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_write	70.901429	0.0	0.0	0.0	0.0	0.0		96.931088		0.078188	0.0	0.0	0.0	0.0	0.0	0.0	0.078188	0.0	79.495067	44200000	89.088756	3.882353	99.886797	0.846154	vmlinux	ksys_write	[Unknown]	0xffffffff8125a020
          vfs_write	69.891137	0.0	0.0	0.0	0.0	0.0		95.549893		0.271653	0.0	0.0	0.0	0.0	0.0	0.0	0.271653	0.0	79.150313	223600000	88.311404	3.639535	100.010897	1.154982	vmlinux	vfs_write	[Unknown]	0xffffffff81259d40
           __vfs_write	67.224939	0.0	0.0	0.0	0.0	0.0		91.904867		0.132318	0.0	0.0	0.0	0.0	0.0	0.0	0.132318	0.0	76.556699	156000000	87.499689	2.216667	99.645868	1.007576	vmlinux	__vfs_write	[Unknown]	0xffffffff81259ad0
            ext4_file_write_iter	66.803533	0.0	0.0	0.0	0.0	0.0		91.328754		0.288694	0.0	0.0	0.0	0.0	0.0	0.0	0.288694	0.0	76.089954	309400000	87.448221	2.168067	99.604480	0.895833	vmlinux	ext4_file_write_iter	[Unknown]	0xffffffff812f2200
             __generic_file_write_iter	61.082147	0.0	0.0	0.0	0.0	0.0		83.506906		0.193465	0.0	0.0	0.0	0.0	0.0	0.0	0.193465	0.0	70.908030	150800000	86.256965	3.500000	100.132555	1.051813	vmlinux	__generic_file_write_iter	[Unknown]	0xffffffff811bf9f0
              generic_file_direct_write	59.091277	0.0	0.0	0.0	0.0	0.0		80.785139		0.277668	0.0	0.0	0.0	0.0	0.0	0.0	0.277668	0.0	68.632651	319800000	85.951515	1.975610	99.829968	0.877256	vmlinux	generic_file_direct_write	[Unknown]	0xffffffff811bf890
               ext4_direct_IO	57.716308	0.0	0.0	0.0	0.0	0.0		78.905384		0.378911	0.0	0.0	0.0	0.0	0.0	0.0	0.378911	0.0	67.189986	452400000	85.806799	2.040230	99.891311	0.939153	vmlinux	ext4_direct_IO	[Unknown]	0xffffffff81305900
                do_blockdev_direct_IO	56.344040	0.0	0.0	0.0	0.0	0.0		77.029323		1.147760	0.0	0.0	0.0	0.0	0.0	0.0	1.147760	0.0	65.954174	2012400000	85.366400	1.552972	99.926638	1.049782	vmlinux	do_blockdev_direct_IO	[Unknown]	0xffffffff8129a990
                 blk_finish_plug	21.416030	0.0	0.0	0.0	0.0	0.0		29.278381		0.033080	0.0	0.0	0.0	0.0	0.0	0.0	0.033080	0.0	19.316856	49400000	109.037858	1.842105	98.350097	1.060606	vmlinux	blk_finish_plug	[Unknown]	0xffffffff81421170
                  blk_flush_plug_list	21.326886	0.0	0.0	0.0	0.0	0.0		29.156511		0.197475	0.0	0.0	0.0	0.0	0.0	0.0	0.197475	0.0	19.216081	483600000	109.112619	0.881720	98.313319	0.832487	vmlinux	blk_flush_plug_list	[Unknown]	0xffffffff81420a60
                   queue_unplugged	18.241984	0.0	0.0	0.0	0.0	0.0		24.939065		0.016039	0.0	0.0	0.0	0.0	0.0	0.0	0.016039	0.0	16.123899	28600000	111.013687	2.545455	98.123841	1.750000	vmlinux	queue_unplugged	[Unknown]	0xffffffff8141c3f0
                    __blk_run_queue	18.198763	0.0	0.0	0.0	0.0	0.0		24.879976		0.033080	0.0	0.0	0.0	0.0	0.0	0.0	0.033080	0.0	16.065556	65000000	110.941208	1.320000	97.937000	1.000000	vmlinux	__blk_run_queue	[Unknown]	0xffffffff8141c300
                     scsi_request_fn	18.098814	0.0	0.0	0.0	0.0	0.0		24.743334		0.532280	0.0	0.0	0.0	0.0	0.0	0.0	0.532280	0.0	15.917047	590200000	111.393372	2.295154	97.965176	0.981168	vmlinux	scsi_request_fn	[Unknown]	0xffffffff81638670
