amplxe: Using result path `/mnt/vtune_nvm/nvm/fio-seqwrite-cpu2'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000		100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	97.075451	83.474548	92.755005	93.653683	94.672944	0.0		99.998566		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.494102	0	98.068555	0.0	100.511950	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  func@0x451bc0	96.750894	81.666555	89.895138	90.753549	94.623389	0.0		99.992831		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.940277	0	98.306251	0.0	100.530831	0.0	fio	func@0x451bc0	[Unknown]	0x451bc0
   func@0x44eb80	94.208731	67.829742	60.819828	69.299842	94.598612	0.0		99.878122		0.379913	0.379913	0.041099	0.338815	0.0	0.0	0.0	0.0	0.0	88.947467	1882400000	106.615118	0.624309	100.660995	1.192612	fio	func@0x44eb80	[Unknown]	0x44eb80
    td_io_queue	86.021645	21.595837	36.034318	34.680257	0.024777	0.0		99.868085		0.493186	0.493186	0.064154	0.429032	0.0	0.0	0.0	0.0	0.0	66.190058	1346800000	131.163316	1.000000	100.924686	1.052846	fio	td_io_queue	[Unknown]	0x40f300
     func@0x43f8c0	85.010209	15.878311	25.738799	25.591554	0.024777	0.0		99.868085		0.194468	0.194468	0.022053	0.172415	0.0	0.0	0.0	0.0	0.0	64.163804	262600000	133.773633	1.900990	100.969347	0.989691	fio	func@0x43f8c0	[Unknown]	0x43f8c0
      write	82.201319	0.0	0.0	0.0	0.0	0.0		99.868085		0.285687	0.0	0.0	0.0	0.0	0.0	0.0	0.285687	0.0	62.313284	127400000	133.384404	5.714286	101.112978	0.982456	libpthread-2.23.so	write	syscall-template.S	0x10490
       entry_SYSCALL_64_after_hwframe	81.541585	0.0	0.0	0.0	0.0	0.0		99.066560		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.506510	0	134.093571	0.0	101.146276	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
        do_syscall_64	81.541585	0.0	0.0	0.0	0.0	0.0		99.066560		0.295711	0.0	0.0	0.0	0.0	0.0	0.0	0.295711	0.0	61.506510	624000000	134.093571	1.395833	101.146276	1.135593	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
         ksys_write	81.006951	0.0	0.0	0.0	0.0	0.0		98.417023		0.105253	0.0	0.0	0.0	0.0	0.0	0.0	0.105253	0.0	60.750326	117000000	134.849526	2.644444	101.129009	1.133333	vmlinux	ksys_write	[Unknown]	0xffffffff8125a020
