"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"copy_user_enhanced_fast_string","3.67684","626600000","14.0539","0.923391","vmlinux","copy_user_enhanced_fast_string","[Unknown]","0xffffffff818fba20"
"memset_erms","1.77026","769600000","5.53716","0.928086","vmlinux","memset_erms","[Unknown]","0xffffffff818fe020"
"__block_commit_write.isra.32","1.52266","959400000","3.6206","0.879526","vmlinux","__block_commit_write.isra.32","[Unknown]","0xffffffff81292c10"
"ext4_mark_iloc_dirty","1.1658","4373200000","0.593936","0.858985","vmlinux","ext4_mark_iloc_dirty","[Unknown]","0xffffffff81302240"
"get_page_from_freelist","0.733764","1372800000","1.16667","0.84153","vmlinux","get_page_from_freelist","[Unknown]","0xffffffff811c6060"
"syscall_return_via_sysret","0.71973","379600000","4.08219","0.830084","vmlinux","syscall_return_via_sysret","[Unknown]","0xffffffff81a000ed"
"jbd2_journal_stop","0.682641","1505400000","0.872193","0.741557","vmlinux","jbd2_journal_stop","[Unknown]","0xffffffff8133eb60"
"start_this_handle","0.626506","663000000","2.2","0.8976","vmlinux","start_this_handle","[Unknown]","0xffffffff8133dcf0"
"ext4_da_write_begin","0.609465","1250600000","0.927235","0.733553","vmlinux","ext4_da_write_begin","[Unknown]","0xffffffff81304af0"
"kmem_cache_alloc","0.59042","1666600000","0.652106","0.709677","vmlinux","kmem_cache_alloc","[Unknown]","0xffffffff8122fd40"
"__block_write_begin_int","0.59042","982800000","1.23545","0.792869","vmlinux","__block_write_begin_int","[Unknown]","0xffffffff81295470"
"_raw_spin_lock_irqsave","0.581398","1151800000","1.02483","0.782759","vmlinux","_raw_spin_lock_irqsave","[Unknown]","0xffffffff8190e6f0"
"ext4_da_write_end","0.559345","881400000","1.32153","0.802867","vmlinux","ext4_da_write_end","[Unknown]","0xffffffff813060c0"
"_raw_spin_lock","0.556338","1609400000","0.73021","0.814414","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff8190e910"
"__ext4_get_inode_loc","0.467123","1583400000","0.619048","0.809013","vmlinux","__ext4_get_inode_loc","[Unknown]","0xffffffff812fe3c0"
"_raw_read_lock","0.424019","1102400000","0.794811","0.79669","vmlinux","_raw_read_lock","[Unknown]","0xffffffff8190e7f0"
"__radix_tree_lookup","0.423017","1120600000","0.860789","0.879147","vmlinux","__radix_tree_lookup","[Unknown]","0xffffffff818f1660"
"__find_get_block","0.416","772200000","1.14141","0.816867","vmlinux","__find_get_block","[Unknown]","0xffffffff81293c30"
"unlock_page","0.391942","1307800000","0.596421","0.767263","vmlinux","unlock_page","[Unknown]","0xffffffff811bae80"
"ext4_da_get_block_prep","0.385928","647400000","1.16064","0.750649","vmlinux","ext4_da_get_block_prep","[Unknown]","0xffffffff812fda70"
"iov_iter_copy_from_user_atomic","0.384925","735800000","1.02827","0.757812","vmlinux","iov_iter_copy_from_user_atomic","[Unknown]","0xffffffff814593d0"
"filemap_map_pages","0.355856","304200000","1.87179","0.616901","vmlinux","filemap_map_pages","[Unknown]","0xffffffff811bca20"
"add_transaction_credits","0.326786","509600000","1.22449","0.736196","vmlinux","add_transaction_credits","[Unknown]","0xffffffff8133da30"
"__pagevec_lru_add_fn","0.323778","941200000","0.657459","0.736842","vmlinux","__pagevec_lru_add_fn","[Unknown]","0xffffffff811d05d0"
"release_pages","0.322776","1149200000","0.633484","0.869565","vmlinux","release_pages","[Unknown]","0xffffffff811cfc70"
"generic_write_end","0.308742","322400000","2.32258","0.935065","vmlinux","generic_write_end","[Unknown]","0xffffffff81294370"
"__test_set_page_writeback","0.306737","642200000","0.821862","0.663399","vmlinux","__test_set_page_writeback","[Unknown]","0xffffffff811cac30"
"mark_buffer_dirty","0.306737","533000000","1.22439","0.820261","vmlinux","mark_buffer_dirty","[Unknown]","0xffffffff81292740"
"jbd2__journal_start","0.304733","1250600000","0.492723","0.779605","vmlinux","jbd2__journal_start","[Unknown]","0xffffffff8133e250"
"account_page_dirtied","0.296713","439400000","1.3432","0.766892","vmlinux","account_page_dirtied","[Unknown]","0xffffffff811cc290"
"ext4_bio_write_page","0.295711","709800000","0.739927","0.684746","vmlinux","ext4_bio_write_page","[Unknown]","0xffffffff8131cbc0"
"free_pcppages_bulk","0.292704","954200000","0.749319","0.941781","vmlinux","free_pcppages_bulk","[Unknown]","0xffffffff811c45e0"
"iov_iter_fault_in_readable","0.281677","975000000","0.528","0.704626","vmlinux","iov_iter_fault_in_readable","[Unknown]","0xffffffff8145b7d0"
"__mark_inode_dirty","0.277668","1001000000","0.615584","0.855596","vmlinux","__mark_inode_dirty","[Unknown]","0xffffffff81289480"
"ext4_journal_check_start","0.262631","348400000","1.73881","0.889313","vmlinux","ext4_journal_check_start","[Unknown]","0xffffffff812e6980"
"get_mem_cgroup_from_mm","0.2496","200200000","2.68831","0.831325","vmlinux","get_mem_cgroup_from_mm","[Unknown]","0xffffffff81243a30"
"kmem_cache_free","0.24559","637000000","0.730612","0.730612","vmlinux","kmem_cache_free","[Unknown]","0xffffffff8122f060"
"ext4_es_lookup_extent","0.242583","301600000","1.43966","0.690083","vmlinux","ext4_es_lookup_extent","[Unknown]","0xffffffff812f1220"
"__fget","0.237571","156000000","3","0.759494","vmlinux","__fget","[Unknown]","0xffffffff81278f00"
"clear_page_dirty_for_io","0.233562","608400000","0.84188","0.845494","vmlinux","clear_page_dirty_for_io","[Unknown]","0xffffffff811cc7b0"
"do_syscall_64","0.227547","265200000","1.61765","0.726872","vmlinux","do_syscall_64","[Unknown]","0xffffffff810040d0"
"generic_perform_write","0.227547","455000000","1.20571","0.929515","vmlinux","generic_perform_write","[Unknown]","0xffffffff811bb330"
"_cond_resched","0.227547","1050400000","0.445545","0.792952","vmlinux","_cond_resched","[Unknown]","0xffffffff81909900"
"radix_tree_next_chunk","0.226545","499200000","0.875","0.743363","vmlinux","radix_tree_next_chunk","[Unknown]","0xffffffff818eff20"
"common_file_perm","0.22454","423800000","1.18405","0.861607","vmlinux","common_file_perm","[Unknown]","0xffffffff813e4880"
"__add_to_page_cache_locked","0.222535","798200000","0.628664","0.869369","vmlinux","__add_to_page_cache_locked","[Unknown]","0xffffffff811bc730"
"drop_buffers","0.222535","252200000","2.23711","0.977477","vmlinux","drop_buffers","[Unknown]","0xffffffff81293a90"
"ext4_file_write_iter","0.216521","579800000","0.726457","0.75","vmlinux","ext4_file_write_iter","[Unknown]","0xffffffff812f1f60"
"radix_tree_tag_set","0.215518","884000000","0.520588","0.823256","vmlinux","radix_tree_tag_set","[Unknown]","0xffffffff818efe20"
"jbd2_journal_dirty_metadata","0.213513","738400000","0.482394","0.643192","vmlinux","jbd2_journal_dirty_metadata","[Unknown]","0xffffffff8133f9b0"
"ext4_da_invalidatepage","0.212511","457600000","1.0625","0.882075","vmlinux","ext4_da_invalidatepage","[Unknown]","0xffffffff812fdee0"
