amplxe: Using result path `/mnt/vtune_nvm/nvm/leveldb-cpu-slowdown'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000				100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	89.931252	82.391358	76.234665	85.185978				99.071401		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.771640	0	97.377714	0.0	100.453291	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  leveldb::DBImpl::BackgroundCompaction	39.512169	34.218021	25.723498	38.073820				45.929938		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.703397	0	87.562435	0.0	105.714916	0.0	db_bench	leveldb::DBImpl::BackgroundCompaction(void)	[Unknown]	0x416300
   leveldb::DBImpl::DoCompactionWork	37.679775	30.878959	18.205411	36.631684				45.923986		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.850517	0	86.950196	0.0	105.805076	0.0	db_bench	leveldb::DBImpl::DoCompactionWork(leveldb::DBImpl::CompactionState*)	[Unknown]	0x415790
    leveldb::TableBuilder::Add	32.038639	26.282838	14.359862	31.694867				39.016042		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.061448	0	85.263242	0.0	106.614045	0.0	db_bench	leveldb::TableBuilder::Add(leveldb::Slice const&, leveldb::Slice const&)	[Unknown]	0x4378e0
     leveldb::TableBuilder::Flush	27.271993	17.584090	9.350425	21.321482				39.016042		0.088212	0.088212	0.017041	0.071171	0.0	0.0	0.0	0.0	0.0	38.214476	189800000	76.391615	1.054795	107.042615	0.875000	db_bench	leveldb::TableBuilder::Flush(void)	[Unknown]	0x437760
      leveldb::(anonymous namespace)::PosixWritableFile::Flush	18.547270	1.662165	0.833595	2.038267				39.016042		0.026063	0.026063	0.007017	0.019046	0.0	0.0	0.0	0.0	0.0	15.047563	83200000	131.431677	1.250000	106.631674	1.538462	db_bench	leveldb::(anonymous namespace)::PosixWritableFile::Flush(void)	[Unknown]	0x444be0
       write	17.636454	0.0	0.0	0.0				39.016042		0.077186	0.0	0.0	0.0	0.0	0.0	0.0	0.077186	0.0	14.834860	49400000	126.553809	5.052632	106.450423	1.246753	libpthread-2.23.so	write	syscall-template.S	0x10490
        entry_SYSCALL_64_after_hwframe	17.407741	0.0	0.0	0.0				38.510075		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.700148	0	126.012414	0.0	106.412490	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
         do_syscall_64	17.407741	0.0	0.0	0.0				38.510075		0.081195	0.0	0.0	0.0	0.0	0.0	0.0	0.081195	0.0	14.700148	140400000	126.012414	1.592593	106.412490	1.061728	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
          ksys_write	17.239570	0.0	0.0	0.0				38.138040		0.053128	0.0	0.0	0.0	0.0	0.0	0.0	0.053128	0.0	14.626883	39000000	125.321596	2.866667	106.328891	0.811321	vmlinux	ksys_write	[Unknown]	0xffffffff8125a300
           vfs_write	16.822505	0.0	0.0	0.0				37.215393		0.045108	0.0	0.0	0.0	0.0	0.0	0.0	0.045108	0.0	14.390547	124800000	124.500379	0.666667	106.501883	0.711111	vmlinux	vfs_write	[Unknown]	0xffffffff8125a020
            __vfs_write	16.491544	0.0	0.0	0.0				36.483229		0.022053	0.0	0.0	0.0	0.0	0.0	0.0	0.022053	0.0	13.958050	171600000	125.712379	0.363636	106.399962	1.090909	vmlinux	__vfs_write	[Unknown]	0xffffffff81259db0
             ext4_file_write_iter	16.456565	0.0	0.0	0.0				36.405845		0.072174	0.0	0.0	0.0	0.0	0.0	0.0	0.072174	0.0	13.869424	283400000	126.190724	0.871560	106.352247	1.319444	vmlinux	ext4_file_write_iter	[Unknown]	0xffffffff812f2500
              __generic_file_write_iter	16.194218	0.0	0.0	0.0				35.825471		0.057137	0.0	0.0	0.0	0.0	0.0	0.0	0.057137	0.0	13.552733	260000000	126.897386	0.590000	106.198792	1.035088	vmlinux	__generic_file_write_iter	[Unknown]	0xffffffff811bf9b0
               generic_perform_write	15.948015	0.0	0.0	0.0				35.280812		0.114275	0.0	0.0	0.0	0.0	0.0	0.0	0.114275	0.0	13.298671	280800000	127.506863	1.129630	106.324943	1.070175	vmlinux	generic_perform_write	[Unknown]	0xffffffff811bb330
                ext4_da_write_begin	6.921928	0.0	0.0	0.0				15.312956		0.267643	0.0	0.0	0.0	0.0	0.0	0.0	0.267643	0.0	6.642245	709800000	113.032373	0.996337	108.465259	1.018727	vmlinux	ext4_da_write_begin	[Unknown]	0xffffffff813050d0
                 __block_write_begin_int	3.019010	0.0	0.0	0.0				6.678770		0.186448	0.0	0.0	0.0	0.0	0.0	0.0	0.186448	0.0	2.112851	468000000	153.587854	0.950000	107.488287	0.919355	vmlinux	__block_write_begin_int	[Unknown]	0xffffffff812958f0
                  memset_erms	1.118002	0.0	0.0	0.0				2.473288		0.828993	0.0	0.0	0.0	0.0	0.0	0.0	0.828993	0.0	0.105170	231400000	1256.620304	10.191011	118.209577	1.096735	vmlinux	memset_erms	[Unknown]	0xffffffff818feba0
