amplxe: Using result path `/mnt/vtune_nvm/nvm/leveldb-cpu'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Effective Time:Idle:Total	CPU Time:Effective Time:Poor:Total	CPU Time:Effective Time:Ok:Total	CPU Time:Effective Time:Ideal:Total	CPU Time:Effective Time:Over:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Effective Time:Idle:Self	CPU Time:Effective Time:Poor:Self	CPU Time:Effective Time:Ok:Self	CPU Time:Effective Time:Ideal:Self	CPU Time:Effective Time:Over:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Instructions Retired:Total	Instructions Retired:Self	CPI Rate:Total	CPI Rate:Self	CPU Frequency Ratio:Total	CPU Frequency Ratio:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000	100.000000	100.000000				100.000000		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.000000	0	100.000000	0.0	100.000000	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 [Skipped stack frame(s)]	90.185523	83.028023	76.266757	85.597565				99.053591		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.968421	0	97.369760	0.0	100.374345	0.0	[Unknown]	[Skipped stack frame(s)]	[Unknown]	0x0
  leveldb::DBImpl::BackgroundCompaction	42.473726	36.551276	24.567912	41.105415				49.811581		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.900801	0	85.324100	0.0	92.208641	0.0	db_bench	leveldb::DBImpl::BackgroundCompaction(void)	[Unknown]	0x416300
   leveldb::DBImpl::DoCompactionWork	40.861320	33.642126	16.794537	40.044857				49.805828		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.954401	0	84.237027	0.0	90.613520	0.0	db_bench	leveldb::DBImpl::DoCompactionWork(leveldb::DBImpl::CompactionState*)	[Unknown]	0x415790
    leveldb::TableBuilder::Add	34.619832	28.559820	13.261951	34.373598				42.128125		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.593173	0	82.142889	0.0	91.570482	0.0	db_bench	leveldb::TableBuilder::Add(leveldb::Slice const&, leveldb::Slice const&)	[Unknown]	0x4378e0
     leveldb::TableBuilder::Flush	30.111519	20.412807	9.156058	24.690804				42.128125		0.095229	0.095229	0.009022	0.086207	0.0	0.0	0.0	0.0	0.0	36.749013	109200000	74.900929	1.547619	91.411369	0.684211	db_bench	leveldb::TableBuilder::Flush(void)	[Unknown]	0x437760
      leveldb::(anonymous namespace)::PosixWritableFile::Flush	19.874348	1.913120	0.775651	2.345402				42.128125		0.041099	0.041099	0.003007	0.038092	0.0	0.0	0.0	0.0	0.0	14.463174	101400000	126.239483	0.769231	91.868355	0.731707	db_bench	leveldb::(anonymous namespace)::PosixWritableFile::Flush(void)	[Unknown]	0x444be0
       write	18.815685	0.0	0.0	0.0				42.128125		0.095229	0.0	0.0	0.0	0.0	0.0	0.0	0.095229	0.0	14.267640	23400000	121.790505	9.111111	92.351837	0.863158	libpthread-2.23.so	write	syscall-template.S	0x10490
        entry_SYSCALL_64_after_hwframe	18.567721	0.0	0.0	0.0				41.572937		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.165399	0	121.032908	0.0	92.336559	0.0	vmlinux	entry_SYSCALL_64_after_hwframe	[Unknown]	0xffffffff81a00044
         do_syscall_64	18.567721	0.0	0.0	0.0				41.572937		0.099239	0.0	0.0	0.0	0.0	0.0	0.0	0.099239	0.0	14.165399	122200000	121.032908	1.531915	92.336559	0.727273	vmlinux	do_syscall_64	[Unknown]	0xffffffff810040d0
          ksys_write	18.377573	0.0	0.0	0.0				41.147197		0.085205	0.0	0.0	0.0	0.0	0.0	0.0	0.085205	0.0	14.097665	39000000	120.383852	3.400000	92.347953	0.600000	vmlinux	ksys_write	[Unknown]	0xffffffff81259ee0
           vfs_write	17.849526	0.0	0.0	0.0				39.964905		0.049118	0.0	0.0	0.0	0.0	0.0	0.0	0.049118	0.0	13.905964	122200000	118.606999	1.127660	92.402718	1.081633	vmlinux	vfs_write	[Unknown]	0xffffffff81259c00
            __vfs_write	17.424262	0.0	0.0	0.0				39.012743		0.033080	0.0	0.0	0.0	0.0	0.0	0.0	0.033080	0.0	13.425435	104000000	119.774471	0.500000	92.286512	0.606061	vmlinux	__vfs_write	[Unknown]	0xffffffff81259990
             ext4_file_write_iter	17.375440	0.0	0.0	0.0				38.903432		0.107258	0.0	0.0	0.0	0.0	0.0	0.0	0.107258	0.0	13.360257	293800000	120.063679	0.539823	92.318903	0.570093	vmlinux	ext4_file_write_iter	[Unknown]	0xffffffff812f1f60
              __generic_file_write_iter	17.105635	0.0	0.0	0.0				38.299341		0.046111	0.0	0.0	0.0	0.0	0.0	0.0	0.046111	0.0	13.070150	132600000	121.003117	0.588235	92.456600	0.652174	vmlinux	__generic_file_write_iter	[Unknown]	0xffffffff811bf9b0
               generic_perform_write	16.921911	0.0	0.0	0.0				37.887984		0.116280	0.0	0.0	0.0	0.0	0.0	0.0	0.116280	0.0	12.826051	221000000	122.039481	1.035294	92.500464	0.758621	vmlinux	generic_perform_write	[Unknown]	0xffffffff811bb330
                ext4_da_write_begin	7.692011	0.0	0.0	0.0				17.222334		0.328791	0.0	0.0	0.0	0.0	0.0	0.0	0.328791	0.0	6.312063	618800000	110.461765	0.932773	90.644906	0.676829	vmlinux	ext4_da_write_begin	[Unknown]	0xffffffff81304af0
