"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"copy_user_enhanced_fast_string","19.0057","2982200000","12.1587","0.735549","vmlinux","copy_user_enhanced_fast_string","[Unknown]","0xffffffff818fba20"
"memset_erms","9.55598","4014400000","4.46567","0.723277","vmlinux","memset_erms","[Unknown]","0xffffffff818fe020"
"__block_commit_write.isra.32","7.92004","4451200000","3.45502","0.748639","vmlinux","__block_commit_write.isra.32","[Unknown]","0xffffffff81292c10"
"filemap_map_pages","6.80837","7976800000","2.2487","1.01575","vmlinux","filemap_map_pages","[Unknown]","0xffffffff811bca20"
"ext4_mark_iloc_dirty","6.65099","21158800000","0.55972","0.686511","vmlinux","ext4_mark_iloc_dirty","[Unknown]","0xffffffff81302240"
"unmap_page_range","4.46072","13572000000","0.955364","1.12067","vmlinux","unmap_page_range","[Unknown]","0xffffffff811f7d10"
"syscall_return_via_sysret","4.29533","1796600000","4.23734","0.683314","vmlinux","syscall_return_via_sysret","[Unknown]","0xffffffff81a000ed"
"get_page_from_freelist","3.50443","6583200000","0.989731","0.716819","vmlinux","get_page_from_freelist","[Unknown]","0xffffffff811c6060"
"kmem_cache_alloc","3.39617","7508800000","0.818213","0.697462","vmlinux","kmem_cache_alloc","[Unknown]","0xffffffff8122fd40"
"jbd2_journal_stop","3.30795","6604000000","0.889764","0.684848","vmlinux","jbd2_journal_stop","[Unknown]","0xffffffff8133eb60"
"ext4_da_write_begin","3.16561","5202600000","1.09595","0.694427","vmlinux","ext4_da_write_begin","[Unknown]","0xffffffff81304af0"
"start_this_handle","3.10346","2951000000","1.90485","0.69832","vmlinux","start_this_handle","[Unknown]","0xffffffff8133dcf0"
"ext4_da_write_end","3.08943","3642600000","1.61527","0.734263","vmlinux","ext4_da_write_end","[Unknown]","0xffffffff813060c0"
"_raw_spin_lock","3.0383","7599800000","0.770783","0.743319","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff8190e910"
"_raw_spin_lock_irqsave","2.92102","5738200000","0.884459","0.66987","vmlinux","_raw_spin_lock_irqsave","[Unknown]","0xffffffff8190e6f0"
"__ext4_get_inode_loc","2.50803","7082400000","0.645374","0.702638","vmlinux","__ext4_get_inode_loc","[Unknown]","0xffffffff812fe3c0"
"unlock_page","2.48397","10914800000","0.444736","0.75343","vmlinux","unlock_page","[Unknown]","0xffffffff811bae80"
"__block_write_begin_int","2.43385","3770000000","1.06138","0.633855","vmlinux","__block_write_begin_int","[Unknown]","0xffffffff81295470"
"radix_tree_next_chunk","2.41982","3406000000","1.74962","0.949461","vmlinux","radix_tree_next_chunk","[Unknown]","0xffffffff818eff20"
"__radix_tree_lookup","2.27948","4685200000","0.821865","0.651275","vmlinux","__radix_tree_lookup","[Unknown]","0xffffffff818f1660"
"release_pages","2.16922","6195800000","0.79102","0.871072","vmlinux","release_pages","[Unknown]","0xffffffff811cfc70"
"ext4_da_get_block_prep","1.93265","2727400000","1.25834","0.684647","vmlinux","ext4_da_get_block_prep","[Unknown]","0xffffffff812fda70"
"__find_get_block","1.9146","3520400000","1.00222","0.710471","vmlinux","__find_get_block","[Unknown]","0xffffffff81293c30"
"__fget","1.81837","759200000","4.13356","0.66538","vmlinux","__fget","[Unknown]","0xffffffff81278f00"
"page_fault","1.81035","234000000","18.3111","0.912514","vmlinux","page_fault","[Unknown]","0xffffffff81a01070"
"generic_write_end","1.78629","1279200000","2.38821","0.659371","vmlinux","generic_write_end","[Unknown]","0xffffffff81294370"
"ext4_bio_write_page","1.75823","3502200000","0.846325","0.649943","vmlinux","ext4_bio_write_page","[Unknown]","0xffffffff8131cbc0"
"iov_iter_copy_from_user_atomic","1.75322","3432000000","0.888636","0.670669","vmlinux","iov_iter_copy_from_user_atomic","[Unknown]","0xffffffff814593d0"
"__test_set_page_writeback","1.73016","3679000000","0.809187","0.663384","vmlinux","__test_set_page_writeback","[Unknown]","0xffffffff811cac30"
"_raw_read_lock","1.72815","5031000000","0.609302","0.683875","vmlinux","_raw_read_lock","[Unknown]","0xffffffff8190e7f0"
"__pagevec_lru_add_fn","1.71212","4115800000","0.700569","0.649297","vmlinux","__pagevec_lru_add_fn","[Unknown]","0xffffffff811d05d0"
"mark_buffer_dirty","1.68405","2402400000","1.23052","0.676786","vmlinux","mark_buffer_dirty","[Unknown]","0xffffffff81292740"
"jbd2__journal_start","1.57479","5332600000","0.507557","0.662635","vmlinux","jbd2__journal_start","[Unknown]","0xffffffff8133e250"
"__mark_inode_dirty","1.56777","5226000000","0.565174","0.726343","vmlinux","__mark_inode_dirty","[Unknown]","0xffffffff81289480"
"generic_perform_write","1.48357","2769000000","0.948357","0.682432","vmlinux","generic_perform_write","[Unknown]","0xffffffff811bb330"
"clear_page_dirty_for_io","1.47054","3276000000","0.747619","0.642127","vmlinux","clear_page_dirty_for_io","[Unknown]","0xffffffff811cc7b0"
"account_page_dirtied","1.43244","2048800000","1.0736","0.592022","vmlinux","account_page_dirtied","[Unknown]","0xffffffff811cc290"
"iov_iter_fault_in_readable","1.42743","4027400000","0.67011","0.728933","vmlinux","iov_iter_fault_in_readable","[Unknown]","0xffffffff8145b7d0"
"free_pcppages_bulk","1.4134","4500600000","0.798382","0.980142","vmlinux","free_pcppages_bulk","[Unknown]","0xffffffff811c45e0"
"_cond_resched","1.40137","4217200000","0.618989","0.718169","vmlinux","_cond_resched","[Unknown]","0xffffffff81909900"
"kmem_cache_free","1.39235","2805400000","1.0139","0.787617","vmlinux","kmem_cache_free","[Unknown]","0xffffffff8122f060"
"get_mem_cgroup_from_mm","1.33421","1112800000","1.96729","0.632607","vmlinux","get_mem_cgroup_from_mm","[Unknown]","0xffffffff81243a30"
"radix_tree_tag_set","1.27306","4238000000","0.505521","0.648819","vmlinux","radix_tree_tag_set","[Unknown]","0xffffffff818efe20"
"do_syscall_64","1.26905","1612000000","1.42097","0.695893","vmlinux","do_syscall_64","[Unknown]","0xffffffff810040d0"
"page_add_file_rmap","1.26604","6702800000","0.486424","0.992874","vmlinux","page_add_file_rmap","[Unknown]","0xffffffff8120a5d0"
"add_transaction_credits","1.24299","2204800000","0.997642","0.682258","vmlinux","add_transaction_credits","[Unknown]","0xffffffff8133da30"
"balance_dirty_pages_ratelimited","1.21492","2116400000","0.992629","0.666667","vmlinux","balance_dirty_pages_ratelimited","[Unknown]","0xffffffff811cbeb0"
"mark_page_accessed","1.18585","1835600000","1.35694","0.809806","vmlinux","mark_page_accessed","[Unknown]","0xffffffff811d0a40"
"map_id_up","1.17984","3244800000","0.616987","0.654206","vmlinux","map_id_up","[Unknown]","0xffffffff81132e10"
"find_get_entry","1.16079","2137200000","0.863747","0.613126","vmlinux","find_get_entry","[Unknown]","0xffffffff811bc5d0"
"common_file_perm","1.15879","1843400000","1.09591","0.672145","vmlinux","common_file_perm","[Unknown]","0xffffffff813e4880"
"block_invalidatepage","1.14575","2971800000","0.975503","0.975503","vmlinux","block_invalidatepage","[Unknown]","0xffffffff812938d0"
"ext4_da_invalidatepage","1.13673","1848600000","1.48945","0.933862","vmlinux","ext4_da_invalidatepage","[Unknown]","0xffffffff812fdee0"
"find_vma","1.11468","574600000","5.8552","1.16367","vmlinux","find_vma","[Unknown]","0xffffffff812004f0"
"page_remove_rmap","1.08862","5709600000","0.541894","1.09576","vmlinux","page_remove_rmap","[Unknown]","0xffffffff8120a7d0"
"pagecache_get_page","1.05554","2451800000","0.676564","0.605888","vmlinux","pagecache_get_page","[Unknown]","0xffffffff811bcd90"
"percpu_counter_add_batch","1.03649","2626000000","0.663366","0.647969","vmlinux","percpu_counter_add_batch","[Unknown]","0xffffffff81474000"
"__alloc_pages_nodemask","1.02647","2945800000","0.599294","0.663086","vmlinux","__alloc_pages_nodemask","[Unknown]","0xffffffff811c8380"
"ext4_file_write_iter","1.02346","2246400000","0.824074","0.697356","vmlinux","ext4_file_write_iter","[Unknown]","0xffffffff812f1f60"
"iov_iter_advance","1.02045","4121000000","0.46183","0.719057","vmlinux","iov_iter_advance","[Unknown]","0xffffffff81458c20"
"ext4_journal_check_start","1.00542","1804400000","1.04035","0.71984","vmlinux","ext4_journal_check_start","[Unknown]","0xffffffff812e6980"
"ext4_es_lookup_extent","1.00041","1502800000","1.1955","0.692385","vmlinux","ext4_es_lookup_extent","[Unknown]","0xffffffff812f1220"
"drop_buffers","0.961311","1115400000","2.31002","1.03337","vmlinux","drop_buffers","[Unknown]","0xffffffff81293a90"
"__fget_light","0.960309","475800000","3.69399","0.705637","vmlinux","__fget_light","[Unknown]","0xffffffff812796b0"
"node_dirty_ok","0.956299","2386800000","0.664488","0.639413","vmlinux","node_dirty_ok","[Unknown]","0xffffffff811cd130"
"__add_to_page_cache_locked","0.951287","3572400000","0.50655","0.733404","vmlinux","__add_to_page_cache_locked","[Unknown]","0xffffffff811bc730"
"jbd2_write_access_granted.part.11","0.934246","3712800000","0.411064","0.629828","vmlinux","jbd2_write_access_granted.part.11","[Unknown]","0xffffffff8133e210"
"__cpuidle_text_end","0.918208","2935400000","0.527015","0.649563","vmlinux","__cpuidle_text_end","[Unknown]","0xffffffff8190e5a0"
"workingset_update_node","0.899162","2818400000","0.605166","0.731327","vmlinux","workingset_update_node","[Unknown]","0xffffffff811f2970"
"entry_SYSCALL_64_after_hwframe","0.896155","670800000","2.25581","0.651007","vmlinux","entry_SYSCALL_64_after_hwframe","[Unknown]","0xffffffff81a00044"
"ext4fs_dirhash","0.884126","4945200000","0.426919","0.920635","vmlinux","ext4fs_dirhash","[Unknown]","0xffffffff812f3d60"
"__mod_node_page_state","0.830998","2290600000","0.853575","0.907117","vmlinux","__mod_node_page_state","[Unknown]","0xffffffff811e30f0"
"find_get_pages_range","0.815962","2698800000","0.500963","0.638821","vmlinux","find_get_pages_range","[Unknown]","0xffffffff811beba0"
"create_empty_buffers","0.815962","904800000","1.60632","0.686732","vmlinux","create_empty_buffers","[Unknown]","0xffffffff812930c0"
"read_tsc","0.805938","1115400000","1.72727","0.921642","vmlinux","read_tsc","[Unknown]","0xffffffff81035900"
"mem_cgroup_charge_statistics","0.797918","1419600000","0.943223","0.646985","vmlinux","mem_cgroup_charge_statistics","[Unknown]","0xffffffff812446f0"
"ext4_htree_store_dirent","0.78188","1167400000","1.68151","0.967949","vmlinux","ext4_htree_store_dirent","[Unknown]","0xffffffff812e67e0"
"__ext4_handle_dirty_metadata","0.774863","2410200000","0.463862","0.556274","vmlinux","__ext4_handle_dirty_metadata","[Unknown]","0xffffffff812e7050"
"__handle_mm_fault","0.774863","1172600000","1.52106","0.887451","vmlinux","__handle_mm_fault","[Unknown]","0xffffffff811fa320"
"page_mapping","0.772858","1336400000","0.978599","0.652399","vmlinux","page_mapping","[Unknown]","0xffffffff811e2250"
"mpage_map_and_submit_buffers","0.7488","1170000000","1.14222","0.688086","vmlinux","mpage_map_and_submit_buffers","[Unknown]","0xffffffff812fd710"
"jbd2_journal_dirty_metadata","0.740781","2017600000","0.614691","0.645467","vmlinux","jbd2_journal_dirty_metadata","[Unknown]","0xffffffff8133f9b0"
"rcu_all_qs","0.71973","2542800000","0.494888","0.674095","vmlinux","rcu_all_qs","[Unknown]","0xffffffff810f36b0"
"ext4_get_group_desc","0.715721","663000000","1.69804","0.606443","vmlinux","ext4_get_group_desc","[Unknown]","0xffffffff812e4110"
"ksys_write","0.69868","306800000","3.72881","0.631277","vmlinux","ksys_write","[Unknown]","0xffffffff81259ee0"
"find_get_entries","0.690661","1463800000","1.09947","0.898403","vmlinux","find_get_entries","[Unknown]","0xffffffff811be970"
"alloc_set_pte","0.689658","2212600000","0.779083","0.963663","vmlinux","alloc_set_pte","[Unknown]","0xffffffff811f9b40"
"block_write_end","0.674622","478400000","2.55978","0.699851","vmlinux","block_write_end","[Unknown]","0xffffffff812942f0"
"radix_tree_tag_clear","0.670612","3231800000","0.386967","0.718984","vmlinux","radix_tree_tag_clear","[Unknown]","0xffffffff818f0c50"
"__wake_up_common_lock","0.668608","1214200000","1.02784","0.71964","vmlinux","__wake_up_common_lock","[Unknown]","0xffffffff810c9790"
"node_tag_clear","0.667605","2696200000","0.510125","0.794294","vmlinux","node_tag_clear","[Unknown]","0xffffffff818f0be0"
"entry_SYSCALL_64_stage2","0.645552","338000000","3.35385","0.677019","vmlinux","entry_SYSCALL_64_stage2","[Unknown]","0xffffffff81a00010"
"__ext4_journal_start_sb","0.643547","1450800000","0.697133","0.605919","vmlinux","__ext4_journal_start_sb","[Unknown]","0xffffffff812e6ac0"
"mpage_prepare_extent_to_map","0.638535","2327000000","0.507263","0.712716","vmlinux","mpage_prepare_extent_to_map","[Unknown]","0xffffffff812fe7b0"
"vfs_write","0.624501","1162200000","0.96868","0.695024","vmlinux","vfs_write","[Unknown]","0xffffffff81259c00"
"__brelse","0.624501","808600000","1.40514","0.701445","vmlinux","__brelse","[Unknown]","0xffffffff81292cd0"
"jbd2_journal_grab_journal_head","0.624501","2087800000","0.702366","0.905297","vmlinux","jbd2_journal_grab_journal_head","[Unknown]","0xffffffff81349350"
"__d_lookup_rcu","0.616482","577200000","3.3018","1.19187","vmlinux","__d_lookup_rcu","[Unknown]","0xffffffff81274ec0"
"ext4_nonda_switch","0.594429","1021800000","1.02799","0.681282","vmlinux","ext4_nonda_switch","[Unknown]","0xffffffff812fd220"
"add_to_page_cache_lru","0.576386","1705600000","0.577744","0.65913","vmlinux","add_to_page_cache_lru","[Unknown]","0xffffffff811bc940"
"swapgs_restore_regs_and_return_to_usermode","0.568367","382200000","3.40136","0.881834","vmlinux","swapgs_restore_regs_and_return_to_usermode","[Unknown]","0xffffffff81a00974"
"delete_from_page_cache_batch","0.562352","1918800000","0.685637","0.901961","vmlinux","delete_from_page_cache_batch","[Unknown]","0xffffffff811bdac0"
"__sched_text_start","0.558342","143000000","4.76364","0.470377","vmlinux","__sched_text_start","[Unknown]","0xffffffff81908df0"
"find_get_pages_range_tag","0.554333","1448200000","0.721724","0.726944","vmlinux","find_get_pages_range_tag","[Unknown]","0xffffffff811bc330"
"cmpxchg_double_slab.isra.66","0.550323","1284400000","0.947368","0.852459","vmlinux","cmpxchg_double_slab.isra.66","[Unknown]","0xffffffff8122ec60"
"__radix_tree_create","0.543306","1450800000","0.625448","0.643911","vmlinux","__radix_tree_create","[Unknown]","0xffffffff818f1220"
"fsnotify","0.537292","1835600000","0.430595","0.567164","vmlinux","fsnotify","[Unknown]","0xffffffff8129eff0"
"__slab_free","0.53228","3335800000","0.374903","0.905838","vmlinux","__slab_free","[Unknown]","0xffffffff8122ed50"
"error_entry","0.529273","249600000","5.17708","0.941288","vmlinux","error_entry","[Unknown]","0xffffffff81a01210"
"__x64_sys_write","0.52827","195000000","5.10667","0.726755","vmlinux","__x64_sys_write","[Unknown]","0xffffffff81259fa0"
"truncate_inode_pages_range","0.520251","1128400000","0.981567","0.820809","vmlinux","truncate_inode_pages_range","[Unknown]","0xffffffff811d1c10"
"_raw_spin_lock_irq","0.518246","395200000","2.25658","0.663443","vmlinux","_raw_spin_lock_irq","[Unknown]","0xffffffff8190e930"
