amplxe: Using result path `/mnt/vtune_nvm/nvm/leveldb-memory'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:ARITH.DIVIDER_UOPS	Hardware Event Count:BACLEARS.ANY	Hardware Event Count:BR_MISP_RETIRED.ALL_BRANCHES_PS	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:DSB2MITE_SWITCHES.PENALTY_CYCLES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT	Hardware Event Count:DTLB_LOAD_MISSES.WALK_DURATION	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT	Hardware Event Count:DTLB_STORE_MISSES.WALK_DURATION	Hardware Event Count:ICACHE.IFDATA_STALL	Hardware Event Count:IDQ.ALL_DSB_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_DSB_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.DSB_UOPS	Hardware Event Count:IDQ.MITE_UOPS	Hardware Event Count:IDQ.MS_SWITCHES	Hardware Event Count:IDQ.MS_UOPS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:ILD_STALL.LCP	Hardware Event Count:INST_RETIRED.PREC_DIST	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:ITLB_MISSES.STLB_HIT	Hardware Event Count:ITLB_MISSES.WALK_COMPLETED	Hardware Event Count:ITLB_MISSES.WALK_DURATION	Hardware Event Count:L1D_PEND_MISS.REQUEST_FB_FULL:cmask=1	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	Hardware Event Count:LSD.CYCLES_4_UOPS	Hardware Event Count:LSD.CYCLES_ACTIVE	Hardware Event Count:LSD.UOPS	Hardware Event Count:MACHINE_CLEARS.COUNT	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L2_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.LOCK_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_STORES_PS	Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:OTHER_ASSISTS.ANY_WB_ASSIST	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:RS_EVENTS.EMPTY_END	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_0	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_1	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_2	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_3	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_4	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_5	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_6	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_7	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Module	Function (Full)	Source File	Start Address
leveldb::crc32c::Extend	121258800000	205030800000	401895000000	4522731596	6274021440	0	0	7656249684	8258473920	0	34461041	14356131	114449491207	4812539445	1163103128	3517899628	358895750	71779150	402844000	12365457	0	487779256	64025989889	101652180203	3689288828	6417617806	361513051919	19595593752	0	1091323978	45373366351	861349800	0	405628541559	287116600	0	0	42371019	287116600	0	0	28016682	64603062	0	0	0	0	0	0	0	0	0	0	0	189482570	64465315208	620901510	650421780	45940008	0	0	0	0	0	0	0	0	215337450	42007108454	25983254890	0	0	933128950	35890055	66640810267	54277716932	68904512769	69666792445	1263434456	54746288003	70717078840	749756205	110986582091	109507126973	92622701879	398136060429	389318846672	db_bench	leveldb::crc32c::Extend(unsigned int, char const*, unsigned long)	[Unknown]	0x442390
__memcpy_avx_unaligned	67111200000	99130200000	13634400000	31708154974	97262992272	0	0	3726992050	3968673962	0	55299605	54641376	62709581394	36868133137	29385622995	36887015361	1702787810	143558300	202307963	348138723	40907299	502454050	876872491	1926059991	2486211276	13323378553	4852820266	11776192712	1769084927	28991848716	16456380800	845539071	0	7565546196	575840441	13660446	5016709	187202890	18830896412	14356022	109957845	21534354	2422818173	0	0	0	99528458	0	0	12209145	167573971	0	0	0	1277882644	3334310777	438674322	109911648	180740311	252696926	5212894947	0	1265534781	1909575747	0	0	4775324524	20981807600	48075970692	25771541141	0	22422884320	2017546306	146901469	4051399060	4754748199	7876647448	9096710252	11179961503	4250492541	9993117531	5655562116	27636853411	15715569643	8950351714	41234624831	42208243361	libc-2.23.so	__memcpy_avx_unaligned	memcpy-avx-unaligned.S	0x14dea0
copy_user_enhanced_fast_string	33836400000	52319800000	3021200000	1535914328	1205570756	0	0	2216266531	2049154706	0	46657767	0	31567884744	20010037104	531006228	12145996290	0	0	358895750	0	236877894	172110478	71779150	0	1535914328	5996757295	0	3101140178	1737336328	11830327512	1866257900	143558300	0	646012350	71779150	0	0	0	4076736756	7178011	58852594	0	1106449116	0	0	0	0	0	0	718185	14356236	0	0	0	117705188	1565225850	75370239	46657767	20846688	21534354	1479657869	0	989916766	470126861	0	10767177	0	215337450	11659621524	26471679292	0	26693555288	9351667364	71780110	2083202591	2024452928	2871127934	2211238200	3244698478	2038368378	2253705828	2110147528	8470787597	6503312406	4076736756	16194396040	14528585624	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff818fba20
__memcmp_sse4_1	19632600000	20459400000	25607400000	3965628721	4570187486	0	0	802735923	1129144213	0	59892511	422045852	20175342925	10399046681	4643572416	4482248715	71779150	215337450	2022012065	13053252	0	417645413	2995646252	3937273036	171351656	2571129316	19428844345	4232494823	0	1158280789	22036269156	2126095881	0	15278888250	1875794415	3589059	10071387	101259683	0	0	0	0	46337874	0	0	0	16024077	0	0	718185	7178118	0	0	0	71129688	2969390785	122000230	64727728	29193244	3589059	0	0	21659020	0	0	0	0	0	10237178378	4172449341	0	0	1872102891	97924959	5445267913	3155930170	6042307126	4310735640	3739782890	3543316951	4928930837	2283181419	10598747544	7922550147	3933799676	26613752625	22903339301	libc-2.23.so	__memcmp_sse4_1	memcmp-sse4.S	0x16e430
memset_erms	16408600000	26426400000	4102800000	71779150	287116600	0	0	991422885	782407266	0	17945295	0	15403850874	9962588990	143558300	143558300	0	0	703876050	3589059	288552370	143558300	143558300	358895750	646012350	2225874928	560317750	2771555950	746343678	4336022456	3609411496	646012350	0	502454050	0	0	0	0	717791500	7178011	0	0	32301531	0	0	0	0	0	0	0	0	0	0	0	0	430674900	28712472	0	0	0	1349888400	0	0	457310283	0	12194827	0	71779150	5771605456	12418400030	0	14099429412	10436452796	189483543	1421667550	1607693478	861349800	861349800	3287925450	2253705828	1636245656	358895750	3832847128	3201471506	2066920556	6258663434	8685239084	vmlinux	memset_erms	[Unknown]	0xffffffff818fe020
filemap_map_pages	16026400000	17282200000	7781800000	7452422438	2868742259	0	0	432484237	594667472	0	7178118	0	14655099158	13846794710	7888956165	6467100227	71779150	71779150	1158280789	0	0	71779150	2111736092	2841492162	287116600	2208909065	9478345710	3183507952	71779150	1291746826	1487145200	430674900	0	10975025759	0	0	0	0	0	0	0	131976848	10115685	0	0	0	0	0	0	0	3589059	0	0	0	142084741	600014300	115179886	7178118	18597091	0	1158280789	41114232	0	0	6526626	0	0	215337450	15759301890	7416564896	0	0	143558300	0	832509584	1165346360	1363525976	691732526	2169820604	1578863426	2482874286	1148188526	6844324229	2831521791	1106596697	10515143301	8128760034	vmlinux	filemap_map_pages	[Unknown]	0xffffffff811bca20
__GI___libc_malloc	15737800000	22482200000	26759200000	1306661428	1809115478	0	0	965627985	983537952	0	109670533	0	15132511432	4706843568	1551310400	3749645732	0	358895750	287116600	39479649	28792840	776541163	1048512185	1221314781	1843357281	7124576472	5880561759	15380726953	71779150	3500047802	15377504297	2819171610	0	12606179506	0	3589059	0	92987413	0	0	0	0	212914615	0	0	0	0	0	0	0	0	0	0	0	0	2968448376	152805732	15783886	0	0	789570650	237733496	0	0	0	0	71779150	143558300	9429678354	3843382795	0	519334010	315668778	14356022	1723768831	2977908231	4313767992	4964139984	3853865599	3343171977	4840181728	1765638534	8433000184	8843302152	4300200814	28887780024	30957063417	libc-2.23.so	__GI___libc_malloc	malloc.c	0x84130
leveldb::Block::Iter::Seek	15607800000	12976600000	7867600000	6152947538	4175342634	0	0	726118624	598908640	0	6526626	217304891	10460398367	9370181320	7131518790	9065273177	130528813	0	391586439	0	0	130528813	652644065	5086908299	391586439	1304498439	16718350575	5108717034	0	1086501639	10975872494	2759988091	0	7067438920	130528813	0	0	199986542	0	0	0	0	29350076	0	0	0	0	0	0	0	0	0	0	0	6526626	1217030452	13053252	0	46761418	0	0	0	0	0	13053252	0	0	522115252	8935534055	2543337626	0	130528813	978571252	13053057	261057626	1869674517	1435816943	1761744130	2022801756	1478088078	2522318582	261057626	5347965925	3370361021	2587188143	19240669157	5588561151	db_bench	leveldb::Block::Iter::Seek(leveldb::Slice const&)	[Unknown]	0x44a8f0
_int_free	14606800000	21000200000	26733200000	1343586900	1246026650	0	0	796009305	778550266	0	75370239	28712262	19015222184	2268092584	646012350	1722699600	345866263	71779150	274087113	7178118	3589059	287116600	773759921	2610743749	2854643541	6035420732	5702427974	15704722645	358895750	2231785365	20272070777	1638556114	0	16591814752	71779150	0	0	117745791	0	0	0	7178118	53304374	0	0	0	0	0	0	0	0	0	0	0	24427623	4043111651	50246826	10767177	14035959	0	904288734	178548081	0	0	3589059	0	0	71779150	5622842789	3777420411	0	0	387447928	43068066	2889607557	3867791532	3091684225	3375741709	3291210946	2995684318	5973997564	3756923921	10556639470	7680051147	5800268746	25358043915	25611577706	libc-2.23.so	_int_free	malloc.c	0x7fd50
_int_malloc	14047800000	20849400000	20753200000	2083202591	1723547497	0	0	708691442	869645802	0	50282896	63135080	13399417171	5642559915	1565225850	2374363509	606923889	287116600	315668778	107671770	273452880	358895750	345866263	1409524026	1826283476	6909605449	5784559204	13463039848	71779150	1912355189	10384288472	3421967152	0	33830342568	315668778	0	0	42196395	0	0	0	0	119441408	0	0	71779150	3589059	0	0	0	0	0	0	0	50246826	907069976	54567745	92012550	49830087	0	1135436913	35239098	0	0	0	0	0	547953414	6078454774	2820256781	0	71779150	1435544934	28712044	2375343665	3370186788	3704450138	3118030302	3451522065	2722031380	6988560169	1062771800	9471320251	8392314443	3250388103	19724305472	17530321378	libc-2.23.so	_int_malloc	malloc.c	0x81b80
