"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"apic_timer_interrupt","0.0451085","2600000","56","1.24444","vmlinux","apic_timer_interrupt","[Unknown]","0xffffffff81a01a10"
"__getnstimeofday64","0.0180434","2600000","14","0.777778","vmlinux","__getnstimeofday64","[Unknown]","0xffffffff81102580"
"interrupt_entry","0.00801928","0","","0.625","vmlinux","interrupt_entry","[Unknown]","0xffffffff81a00880"
"intel_pstate_update_util","0.00701687","2600000","3","0.428571","vmlinux","intel_pstate_update_util","[Unknown]","0xffffffff8176d1d0"
"read_tsc","0.00501205","10400000","1.75","1.4","vmlinux","read_tsc","[Unknown]","0xffffffff81035900"
"ktime_get_update_offsets_now","0.00400964","7800000","1","0.75","vmlinux","ktime_get_update_offsets_now","[Unknown]","0xffffffff81103470"
"trigger_load_balance","0.00400964","5200000","3.5","1.75","vmlinux","trigger_load_balance","[Unknown]","0xffffffff810c1b50"
"hrtimer_active","0.00400964","0","","0.5","vmlinux","hrtimer_active","[Unknown]","0xffffffff810ff620"
"call_function_interrupt","0.00400964","0","","0.75","vmlinux","call_function_interrupt","[Unknown]","0xffffffff81a01ad0"
"_raw_spin_lock","0.00400964","2600000","5","1.25","vmlinux","_raw_spin_lock","[Unknown]","0xffffffff8190e910"
"task_tick_fair","0.00300723","10400000","2.25","3","vmlinux","task_tick_fair","[Unknown]","0xffffffff810be3b0"
"cpu_load_update_active","0.00300723","5200000","0.5","0.333333","vmlinux","cpu_load_update_active","[Unknown]","0xffffffff810bf530"
"hrtimer_interrupt","0.00300723","5200000","0","0","vmlinux","hrtimer_interrupt","[Unknown]","0xffffffff81100560"
"rcu_check_callbacks","0.00300723","5200000","1.5","1","vmlinux","rcu_check_callbacks","[Unknown]","0xffffffff810f5cc0"
"account_user_time","0.00300723","2600000","1","0.333333","vmlinux","account_user_time","[Unknown]","0xffffffff810b44e0"
"swapgs_restore_regs_and_return_to_usermode","0.00300723","5200000","2.5","1.66667","vmlinux","swapgs_restore_regs_and_return_to_usermode","[Unknown]","0xffffffff81a00974"
"find_busiest_group","0.00200482","0","0","0","vmlinux","find_busiest_group","[Unknown]","0xffffffff810bf850"
"native_apic_mem_write","0.00200482","5200000","0","0","vmlinux","native_apic_mem_write","[Unknown]","0xffffffff81059f80"
"dev_gro_receive","0.00200482","0","0","0","vmlinux","dev_gro_receive","[Unknown]","0xffffffff817cfec0"
"flush_tlb_func_remote","0.00200482","0","0","0","vmlinux","flush_tlb_func_remote","[Unknown]","0xffffffff81071ec0"
"update_cfs_group","0.00200482","0","","2.5","vmlinux","update_cfs_group","[Unknown]","0xffffffff810ba1b0"
"_raw_spin_lock_irq","0.00200482","5200000","0.5","0.5","vmlinux","_raw_spin_lock_irq","[Unknown]","0xffffffff8190e930"
"ktime_get","0.00200482","0","","1.5","vmlinux","ktime_get","[Unknown]","0xffffffff811026e0"
"__accumulate_pelt_segments","0.00200482","7800000","1.33333","2","vmlinux","__accumulate_pelt_segments","[Unknown]","0xffffffff810b57b0"
"kick_ilb","0.00200482","0","","0.5","vmlinux","kick_ilb","[Unknown]","0xffffffff810b5890"
"__hrtimer_next_event_base","0.00200482","2600000","0","0","vmlinux","__hrtimer_next_event_base","[Unknown]","0xffffffff810ff700"
"__update_load_avg_se.isra.41","0.00200482","13000000","0.4","1","vmlinux","__update_load_avg_se.isra.41","[Unknown]","0xffffffff810b5cf0"
"__acct_update_integrals","0.00200482","0","","0.5","vmlinux","__acct_update_integrals","[Unknown]","0xffffffff81153c10"
"select_task_rq_fair","0.00200482","0","0","0","vmlinux","select_task_rq_fair","[Unknown]","0xffffffff810b6ee0"
"__do_softirq","0.00200482","2600000","0","0","vmlinux","__do_softirq","[Unknown]","0xffffffff81c00000"
"decay_load","0.00200482","10400000","0.5","1","vmlinux","decay_load","[Unknown]","0xffffffff810b5740"
"update_curr","0.00200482","0","","1","vmlinux","update_curr","[Unknown]","0xffffffff810b9e30"
"__handle_mm_fault","0.00200482","2600000","1","0.5","vmlinux","__handle_mm_fault","[Unknown]","0xffffffff811fa320"
"__calc_delta","0.00100241","2600000","1","1","vmlinux","__calc_delta","[Unknown]","0xffffffff810b5650"
"activate_task","0.00100241","0","0","0","vmlinux","activate_task","[Unknown]","0xffffffff810af920"
"add_interrupt_randomness","0.00100241","0","0","0","vmlinux","add_interrupt_randomness","[Unknown]","0xffffffff81595f10"
"run_timer_softirq","0.00100241","5200000","0","0","vmlinux","run_timer_softirq","[Unknown]","0xffffffff810fd5f0"
"rb_erase","0.00100241","0","0","0","vmlinux","rb_erase","[Unknown]","0xffffffff818f2c10"
"_raw_spin_lock_irqsave","0.00100241","0","","4","vmlinux","_raw_spin_lock_irqsave","[Unknown]","0xffffffff8190e6f0"
"cpu_load_update","0.00100241","0","0","0","vmlinux","cpu_load_update","[Unknown]","0xffffffff810b68c0"
"unmap_single_vma","0.00100241","0","0","0","vmlinux","unmap_single_vma","[Unknown]","0xffffffff811f8720"
"clockevents_program_event","0.00100241","0","","1","vmlinux","clockevents_program_event","[Unknown]","0xffffffff8110e090"
"native_write_msr","0.00100241","0","","1","vmlinux","native_write_msr","[Unknown]","0xffffffff810638a0"
"default_send_IPI_single_phys","0.00100241","0","0","0","vmlinux","default_send_IPI_single_phys","[Unknown]","0xffffffff81054a20"
"tick_sched_timer","0.00100241","2600000","0","0","vmlinux","tick_sched_timer","[Unknown]","0xffffffff811105f0"
"native_flush_tlb_one_user","0.00100241","0","","1","vmlinux","native_flush_tlb_one_user","[Unknown]","0xffffffff81063980"
"llist_reverse_order","0.00100241","0","0","0","vmlinux","llist_reverse_order","[Unknown]","0xffffffff8145c190"
"nohz_balance_exit_idle","0.00100241","0","0","0","vmlinux","nohz_balance_exit_idle","[Unknown]","0xffffffff810c19a0"
"irq_work_run_list","0.00100241","0","0","0","vmlinux","irq_work_run_list","[Unknown]","0xffffffff81188010"
"restore_nameidata","0.00100241","0","0","0","vmlinux","restore_nameidata","[Unknown]","0xffffffff81263660"
"copy_page","0.00100241","0","0","0","vmlinux","copy_page","[Unknown]","0xffffffff818fb830"
"anon_vma_interval_tree_remove","0.00100241","0","0","0","vmlinux","anon_vma_interval_tree_remove","[Unknown]","0xffffffff811f18f0"
"tick_sched_do_timer","0.00100241","0","0","0","vmlinux","tick_sched_do_timer","[Unknown]","0xffffffff81110590"
"load_balance","0.00100241","0","0","0","vmlinux","load_balance","[Unknown]","0xffffffff810c0390"
"find_get_entry","0.00100241","0","0","0","vmlinux","find_get_entry","[Unknown]","0xffffffff811bc5d0"
"page_fault","0.00100241","0","","1","vmlinux","page_fault","[Unknown]","0xffffffff81a01070"
"native_sched_clock","0.00100241","0","","1","vmlinux","native_sched_clock","[Unknown]","0xffffffff81035a30"
"error_entry","0.00100241","0","0","0","vmlinux","error_entry","[Unknown]","0xffffffff81a01210"
"native_read_msr","0.00100241","0","","2","vmlinux","native_read_msr","[Unknown]","0xffffffff81063770"
"account_entity_dequeue","0.00100241","0","0","0","vmlinux","account_entity_dequeue","[Unknown]","0xffffffff810b9ba0"
"native_queued_spin_lock_slowpath","0.00100241","2600000","2","2","vmlinux","native_queued_spin_lock_slowpath","[Unknown]","0xffffffff810d41a0"
"note_gp_changes","0.00100241","0","0","0","vmlinux","note_gp_changes","[Unknown]","0xffffffff810f5110"
"__default_send_IPI_dest_field","0.00100241","0","0","0","vmlinux","__default_send_IPI_dest_field","[Unknown]","0xffffffff810549b0"
"place_entity","0","2600000","0","0","vmlinux","place_entity","[Unknown]","0xffffffff810b66e0"
"irq_exit","0","5200000","0.5","","vmlinux","irq_exit","[Unknown]","0xffffffff81087880"
"task_tick_numa","0","5200000","0","0","vmlinux","task_tick_numa","[Unknown]","0xffffffff810be2f0"
"__mod_zone_page_state","0","2600000","0","0","vmlinux","__mod_zone_page_state","[Unknown]","0xffffffff811e30a0"
"tick_program_event","0","2600000","1","","vmlinux","tick_program_event","[Unknown]","0xffffffff8110fe20"
"rcu_segcblist_ready_cbs","0","2600000","0","0","vmlinux","rcu_segcblist_ready_cbs","[Unknown]","0xffffffff810f6cb0"
"__cpuidle_text_end","0","2600000","0","0","vmlinux","__cpuidle_text_end","[Unknown]","0xffffffff8190e5a0"
"__hrtimer_run_queues","0","5200000","0.5","","vmlinux","__hrtimer_run_queues","[Unknown]","0xffffffff810ffda0"
"ret_from_intr","0","2600000","0","0","vmlinux","ret_from_intr","[Unknown]","0xffffffff81a0094f"
"check_preempt_curr","0","2600000","0","0","vmlinux","check_preempt_curr","[Unknown]","0xffffffff810afaf0"
"scheduler_tick","0","5200000","0.5","","vmlinux","scheduler_tick","[Unknown]","0xffffffff810b20d0"
"perf_event_task_tick","0","2600000","0","0","vmlinux","perf_event_task_tick","[Unknown]","0xffffffff811ad020"
"rcu_irq_enter","0","2600000","0","0","vmlinux","rcu_irq_enter","[Unknown]","0xffffffff810f5be0"
"__x86_indirect_thunk_r9","0","2600000","0","0","vmlinux","__x86_indirect_thunk_r9","[Unknown]","0xffffffff81c03100"
"update_load_avg","0","2600000","0","0","vmlinux","update_load_avg","[Unknown]","0xffffffff810ba770"
"irq_work_tick","0","2600000","0","0","vmlinux","irq_work_tick","[Unknown]","0xffffffff811882a0"
"__entry_trampoline_end","0","5200000","0","0","vmlinux","__entry_trampoline_end","[Unknown]","0xffffffff81c03000"
"rb_insert_color","0","2600000","0","0","vmlinux","rb_insert_color","[Unknown]","0xffffffff818f3630"
