amplxe: Using result path `/mnt/vtune_nvm/nvm/memory-memory'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:ARITH.DIVIDER_UOPS	Hardware Event Count:BACLEARS.ANY	Hardware Event Count:BR_MISP_RETIRED.ALL_BRANCHES_PS	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:DSB2MITE_SWITCHES.PENALTY_CYCLES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT	Hardware Event Count:DTLB_LOAD_MISSES.WALK_DURATION	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT	Hardware Event Count:DTLB_STORE_MISSES.WALK_DURATION	Hardware Event Count:ICACHE.IFDATA_STALL	Hardware Event Count:IDQ.ALL_DSB_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_DSB_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.DSB_UOPS	Hardware Event Count:IDQ.MITE_UOPS	Hardware Event Count:IDQ.MS_SWITCHES	Hardware Event Count:IDQ.MS_UOPS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:ILD_STALL.LCP	Hardware Event Count:INST_RETIRED.PREC_DIST	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:ITLB_MISSES.STLB_HIT	Hardware Event Count:ITLB_MISSES.WALK_COMPLETED	Hardware Event Count:ITLB_MISSES.WALK_DURATION	Hardware Event Count:L1D_PEND_MISS.REQUEST_FB_FULL:cmask=1	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	Hardware Event Count:LSD.CYCLES_4_UOPS	Hardware Event Count:LSD.CYCLES_ACTIVE	Hardware Event Count:LSD.UOPS	Hardware Event Count:MACHINE_CLEARS.COUNT	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L2_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.LOCK_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_STORES_PS	Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:OTHER_ASSISTS.ANY_WB_ASSIST	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:RS_EVENTS.EMPTY_END	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_0	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_1	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_2	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_3	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_4	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_5	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_6	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_7	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Module	Function (Full)	Source File	Start Address
func@0x4194d0	4043187200000	3624683400000	436074600000	630991134	455541077	1282532950	4032338704	112981110741	109510667234	0	8831298	0	3280358252166	3094736902810	566700028728	109816979956	0	0	0	62785006	0	0	11351172992	11953839024	682166748	3077759253	56595220177	3305246816	226649171	3949091084	51107572999	3841426808	0	467427503300	511680056	2848754	0	80867077	0	293739893	0	0	315818113	78800738604	90944670502	339431929097	8014138	0	0	0	0	0	0	0	0	32417879176	11296377	0	0	0	27029273826	0	0	0	0	0	0	424288442504	1599313146764	3116144333436	0	3141317304544	3028718044052	11046459808	48662481304	57987059244	38759946647	39640231302	44451617796	46582631480	77564419963	18251512214	190394945667	147256746077	54488257655	394508007632	395296477241	sysbench	func@0x4194d0	[Unknown]	0x4194d0
sb_event_stop	88270000000	79786200000	2280200000	0	56190049	16919863	78057600	2697140322	2348082700	0	0	0	70957275610	69713748298	13357220151	65918162780	0	0	0	0	0	0	322968522	455454633	114418320	772486255	2014182514	1837610602	398772265	565496900	2623942211	599402167	0	995879701	0	0	0	10838275	0	8664211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428696514	0	0	0	0	229356385	0	0	0	0	0	0	10175747601	40676485570	75074515538	0	26480411676	4637502437	19894354	465140572	226161192	348218960	399729063	517025843	221860225	463765236	487085618	1300035868	1465770838	342823375	3173659929	5516608974	sysbench	sb_event_stop	[Unknown]	0x40bcd0
sb_histogram_update	8697000000	7657000000	1661400000	0	0	0	5927943	209962731	248425252	0	0	0	5655330432	4395832265	901375368	4142019103	0	0	0	0	0	0	290803568	599640287	143412415	433232246	2611315503	887350791	56225423	808580752	2122767759	490299480	0	870367438	169966803	0	0	0	0	0	0	0	0	0	0	0	17233552	0	0	0	0	0	0	0	0	160278196	3079189	0	0	0	0	6158378	0	0	0	0	0	1051596735	3090391501	4591676643	0	0	434045799	36924942	454989884	3583985309	318629344	428582086	519562837	268451865	780654467	562194068	2253877562	972247442	820002457	5910419217	1881245814	sysbench	sb_histogram_update	[Unknown]	0x410060
__ieee754_log_avx	5033600000	4625400000	3156400000	0	57209160	0	0	142217543	111922259	0	0	0	4012425300	1113772787	292788690	117807452	0	0	0	0	0	0	539045434	661883017	174253228	1570009115	5864583572	2284241148	0	863426184	2123766182	318394435	0	3236610399	0	0	0	8014138	0	0	0	0	0	0	0	0	8835620	0	0	0	0	0	0	0	0	175764658	5721078	0	0	0	234661921	0	0	0	0	0	0	636553179	5038448901	1443963720	0	0	4232968439	106883978	890181509	1028044017	863667898	759579751	443239234	723426064	679888945	169644668	5687984766	1055696747	678046622	5220081888	2511475228	libm-2.23.so	__ieee754_log_avx	e_log.c	0x655f0
func@0x970	2766400000	2548000000	4006600000	0	0	0	0	84878608	65696369	0	0	0	5635985728	1850044982	169915733	199893565	0	0	0	0	0	0	168605521	112415472	56190049	0	727223168	0	0	0	0	0	0	997706807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227432591	0	0	0	0	0	0	0	0	0	0	0	286972202	1236346355	603968853	0	0	1148670144	25611977	143648106	61582029	289122855	0	0	57209160	342519903	0	324728358	56225423	160278196	1787350704	4174526573	[vdso]	func@0x970	[Unknown]	0x970
func@0x40bdc0	1341600000	1133600000	1957800000	0	0	0	0	33642811	40547125	0	0	0	4645242671	112501916	279069385	229067941	0	0	0	0	0	0	113434583	407099590	0	86640946	1464401269	425607412	0	443188164	118791189	0	0	1424372387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204413024	0	0	0	0	56225423	0	0	0	0	0	0	285810109	376823924	256084396	0	0	61582029	0	540429924	393415659	260929548	174032875	441967835	56973469	348061130	86438946	456582397	345475734	56973469	5149215043	2164653480	sysbench	func@0x40bdc0	[Unknown]	0x40bdc0
clock_gettime	1284400000	1232400000	369200000	0	0	0	0	21678334	35520369	0	0	0	1248122405	233885509	142866369	112380098	0	0	0	0	0	0	176912040	424871099	209805004	160278196	976381206	552360281	0	0	0	0	0	4197324096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143614415	0	0	0	0	679105525	0	0	0	0	0	0	56481150	426287791	660214312	0	0	0	0	0	369399984	289583239	496197348	0	0	506019715	0	594861543	86438946	56973469	1529006785	0	[vdso]	clock_gettime	[Unknown]	0xa30
apic_timer_interrupt	1229800000	1133600000	10400000	0	0	0	0	34808747	21676565	0	0	0	873028347	1193864222	86438946	0	0	0	0	0	0	0	0	0	56225423	0	0	0	0	56973469	148222975	0	0	0	0	0	0	2860539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170899470	287700212	482075523	0	56190049	1160758855	8644011	0	0	0	0	86438946	0	0	0	56276493	0	0	113454619	0	vmlinux	apic_timer_interrupt	[Unknown]	0xffffffff81a01a10
__GI___clock_gettime	387400000	400400000	23400000	0	0	0	0	2860539	11502994	0	0	0	56225423	409723028	0	290075558	0	0	0	0	0	0	0	200095565	120430890	0	263843305	56276493	0	0	56973469	0	0	680680090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56481150	0	0	0	0	0	0	0	0	0	0	0	86640946	56276493	112671199	0	0	0	0	0	0	114182629	142715439	61582029	0	0	56225423	174780921	86438946	118791189	168676269	0	libc-2.23.so	__GI___clock_gettime	clock_gettime.c	0x115850
sb_more_events	361400000	356200000	525200000	0	0	0	0	13214425	5660105	0	0	0	200075529	112706573	0	0	0	0	0	0	0	0	0	86438946	0	86640946	143614415	56190049	0	142628995	56276493	0	0	441483355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501786035	0	0	0	0	0	0	0	0	0	0	0	0	227124893	56481150	0	0	0	0	120430890	86640946	177404359	177640050	0	0	216554689	0	174253228	0	227432591	170136987	225814681	sysbench	sb_more_events	[Unknown]	0x40ba50
