amplxe: Using result path `/mnt/vtune_nvm/nvm/oltp-memory'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE	Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:ARITH.DIVIDER_UOPS	Hardware Event Count:BACLEARS.ANY	Hardware Event Count:BR_MISP_RETIRED.ALL_BRANCHES_PS	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:DSB2MITE_SWITCHES.PENALTY_CYCLES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT	Hardware Event Count:DTLB_LOAD_MISSES.WALK_DURATION	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT	Hardware Event Count:DTLB_STORE_MISSES.WALK_DURATION	Hardware Event Count:ICACHE.IFDATA_STALL	Hardware Event Count:IDQ.ALL_DSB_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_DSB_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_4_UOPS	Hardware Event Count:IDQ.ALL_MITE_CYCLES_ANY_UOPS	Hardware Event Count:IDQ.DSB_UOPS	Hardware Event Count:IDQ.MITE_UOPS	Hardware Event Count:IDQ.MS_SWITCHES	Hardware Event Count:IDQ.MS_UOPS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:ILD_STALL.LCP	Hardware Event Count:INST_RETIRED.PREC_DIST	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:ITLB_MISSES.STLB_HIT	Hardware Event Count:ITLB_MISSES.WALK_COMPLETED	Hardware Event Count:ITLB_MISSES.WALK_DURATION	Hardware Event Count:L1D_PEND_MISS.REQUEST_FB_FULL:cmask=1	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	Hardware Event Count:LSD.CYCLES_4_UOPS	Hardware Event Count:LSD.CYCLES_ACTIVE	Hardware Event Count:LSD.UOPS	Hardware Event Count:MACHINE_CLEARS.COUNT	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L2_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.LOCK_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.SPLIT_STORES_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.STLB_MISS_STORES_PS	Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:OTHER_ASSISTS.ANY_WB_ASSIST	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:RS_EVENTS.EMPTY_END	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_0	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_1	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_2	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_3	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_4	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_5	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_6	Hardware Event Count:UOPS_DISPATCHED_PORT.PORT_7	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Module	Function (Full)	Source File	Start Address
[Outside any known module]	1757600000	3725800000	195000000	711953533	194133332	0	0	170960363	87384216	0	16326296	26186264	1331383137	1937431670	783310055	1210014307	0	0	84381818	4706134	15054513	214760000	0	0	118213333	187633332	0	387736201	154266666	254847272	717382404	494361109	0	187633332	0	0	0	129642691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4333456	5048477	6338345	0	0	0	0	0	4993671	0	0	293990057	1093907818	864586662	0	278127431	878002927	0	243198484	0	0	0	0	99870588	94120000	86666666	361616665	243198484	154266666	514310388	621477859	[Unknown]	[Outside any known module]	[Unknown]	0x0
__memcpy_avx_unaligned	910000000	1999400000	1120600000	0	130928571	0	0	62300529	13030263	0	0	0	1497085434	674105150	0	213418947	0	0	0	0	0	255870588	0	231173015	0	107466666	1426553253	355091716	0	0	242666666	0	0	917921192	0	0	0	37647823	0	0	0	0	10079620	0	0	0	0	0	0	0	0	0	0	0	5012365	130928571	0	0	2525223	0	212333333	0	5373486	0	0	0	0	84381818	839110603	450363331	0	0	84381818	16072944	268193938	0	92778947	107466666	509484442	100244444	316727272	186537254	0	498993097	338741227	1780010125	1790195302	libc-2.23.so	__memcpy_avx_unaligned	memcpy-avx-unaligned.S	0x14dea0
func@0x37300	735800000	1557400000	704600000	0	0	0	0	66823214	17947095	0	0	0	981207554	318458946	0	281367272	0	0	0	0	0	171048484	84381818	194133332	0	0	577698988	153183333	0	0	251595613	107466666	0	1290072566	0	0	0	7941059	0	0	0	0	10006036	0	0	0	0	0	0	0	0	0	0	0	4639079	253427777	0	0	0	0	255233332	0	0	0	0	0	0	0	643167776	404751904	0	555198483	335808570	0	154266666	0	0	381679999	391578570	156000000	238853333	0	414643920	634162509	245483332	809600603	979890285	libmysqlclient.so.20.3.10	func@0x37300	[Unknown]	0x37300
func@0x37060	707200000	1276600000	600600000	94120000	0	0	0	75884255	7659384	0	0	0	612617431	266283332	107466666	86666666	0	0	0	0	0	0	153183333	305112280	0	0	489738542	0	0	0	0	0	0	1026756139	0	0	0	16626235	0	0	0	0	9381933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260971716	0	0	0	0	0	0	84381818	0	597527270	0	277029999	0	9278019	0	0	153183333	284111904	158816666	0	308273332	100966666	263827431	0	0	844345506	1157435609	libmysqlclient.so.20.3.10	func@0x37060	[Unknown]	0x37060
_raw_spin_lock_irqsave	673400000	1263600000	197600000	243198484	238853333	0	0	70825489	43423597	0	8036592	0	593542293	848233114	635293343	615458464	0	0	0	0	0	0	0	0	177160765	0	0	420135237	0	194133332	0	92778947	0	0	0	0	4333456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254511110	699717776	0	0	0	0	247303333	0	225048571	0	0	0	99870588	0	342506666	289745237	0	207306666	260971716	vmlinux	_raw_spin_lock_irqsave	[Unknown]	0xffffffff8190e6f0
unix_stream_read_generic	603200000	1261000000	158600000	299141818	118213333	0	0	41725567	12578786	0	6546615	0	1030280198	663321903	220884444	354512279	0	0	0	0	0	184626262	0	0	0	153183333	0	496677661	0	0	474660587	0	0	0	0	0	0	4639079	0	0	0	0	0	0	0	0	0	2410654	0	0	0	0	0	0	0	156000000	0	0	2956570	0	0	4333456	0	0	0	0	0	100244444	414916665	541189998	0	0	0	9987193	130928571	0	0	0	92778947	0	0	0	107466666	471899998	0	99870588	100244444	vmlinux	unix_stream_read_generic	[Unknown]	0xffffffff818871a0
copy_user_enhanced_fast_string	574600000	1071200000	36400000	186911110	1066723919	0	0	33036417	43153282	0	12793893	0	673808569	254847272	571770586	153183333	0	0	0	7713553	10616969	0	0	0	0	0	0	153183333	0	320755032	86666666	107466666	0	0	160727272	0	0	0	371267254	0	0	0	0	0	0	0	0	4556107	0	0	0	0	0	0	18185350	0	4639079	0	0	0	0	0	0	0	0	0	0	154266666	378863332	750510269	0	84381818	0	0	0	0	0	0	94120000	0	107466666	0	253053921	86666666	158816666	160727272	291655843	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff818fba20
__sched_text_start	561600000	1274000000	187200000	156000000	0	0	0	27929410	28151663	0	6032171	49461705	867320602	351439159	338639681	100244444	99870588	0	0	0	7941059	0	0	0	0	99870588	0	427006666	0	0	187633332	0	0	410847272	0	0	0	0	0	0	0	0	6032171	0	0	0	0	2078250	0	0	0	0	0	0	0	107466666	0	0	4019863	0	0	0	0	0	0	0	0	247045613	382524184	729507859	0	0	120640000	0	0	158816666	99870588	0	0	0	0	153183333	100966666	130928571	118213333	179445613	313083332	vmlinux	__sched_text_start	[Unknown]	0xffffffff81908df0
switch_mm_irqs_off	481000000	1105000000	91000000	0	0	0	0	18703920	22088547	0	0	0	409053921	256244444	0	154266666	0	0	0	0	0	94120000	0	0	160727272	0	0	193990588	0	0	0	100966666	0	156000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5048477	0	0	0	0	0	0	7659384	0	0	0	0	0	0	191848484	435046968	0	0	107466666	31200421	0	0	0	0	0	0	0	0	180786666	0	0	86666666	0	vmlinux	switch_mm_irqs_off	[Unknown]	0xffffffff81071880
func@0x435d70	475800000	985400000	85800000	0	347638382	0	0	29773831	14339492	0	12578786	0	0	686507516	130928571	484741109	0	0	160727272	0	0	118213333	0	0	0	99870588	130928571	737544223	0	0	294377776	92778947	0	274213333	0	0	0	27175106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4333456	0	5595028	0	0	0	0	0	0	0	0	0	99870588	301081698	0	0	158816666	0	0	0	0	0	0	0	0	0	118213333	0	0	100244444	0	sysbench	func@0x435d70	[Unknown]	0x435d70
update_load_avg	452400000	839800000	314600000	160727272	0	0	0	42914026	32599018	0	0	0	676974183	86666666	220510588	118213333	0	0	0	0	0	100966666	0	84381818	0	0	240381818	423479595	0	273823333	84381818	0	0	933993533	0	0	0	0	0	0	0	0	0	0	0	0	0	867142	0	0	0	0	0	0	7713553	0	0	0	0	0	0	0	0	0	0	0	0	0	230799159	281367272	0	308533332	99870588	0	0	0	212333333	0	0	160727272	156000000	107466666	0	320885613	0	691517271	171048484	vmlinux	update_load_avg	[Unknown]	0xffffffff810ba770
