PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
1,4096,4096,1,0,135.38,0.0
1,4096,4096,1,1,77.42,2.973925
1,4096,4096,2,0,135.08,0.0
1,4096,4096,2,1,76.6,3.004253
1,4096,4096,4,0,131.33,0.0
1,4096,4096,4,1,78.99,3.800893
1,4096,131072,1,0,63.33,0.0
1,4096,131072,1,1,43.81,0.254378
1,4096,131072,2,0,59.0,0.0
1,4096,131072,2,1,42.16,0.263016
1,4096,131072,4,0,59.42,0.0
1,4096,131072,4,1,45.0,0.259844
1,4096,524288,1,0,50.75,0.0
1,4096,524288,1,1,42.02,0.062634
1,4096,524288,2,0,50.38,0.0
1,4096,524288,2,1,40.28,0.058234
1,4096,524288,4,0,52.52,0.0
1,4096,524288,4,1,42.8,0.066156
1,4096,1048576,1,0,44.02,0.0
1,4096,1048576,1,1,41.99,0.02644
1,4096,1048576,2,0,46.25,0.0
1,4096,1048576,2,1,40.08,0.025462
1,4096,1048576,4,0,46.83,0.0
1,4096,1048576,4,1,42.85,0.026666
1,4096,4194304,1,0,39.44,0.0
1,4096,4194304,1,1,42.64,0.0024
1,4096,4194304,2,0,40.4,0.0
1,4096,4194304,2,1,43.6,0.002398
1,4096,4194304,4,0,42.92,0.0
1,4096,4194304,4,1,40.05,0.002369
1,4096,16777216,1,0,40.37,0.0
1,4096,16777216,1,1,43.45,0.004375
1,4096,16777216,2,0,42.32,0.0
1,4096,16777216,2,1,43.95,0.003732
1,4096,16777216,4,0,44.22,0.0
1,4096,16777216,4,1,43.85,0.003967
1,8192,4096,1,0,548.96,0.0
1,8192,4096,1,1,314.03,11.793383
1,8192,4096,2,0,556.55,0.0
1,8192,4096,2,1,305.61,11.390572
1,8192,4096,4,0,542.47,0.0
1,8192,4096,4,1,313.75,14.681614
1,8192,131072,1,0,244.66,0.0
1,8192,131072,1,1,180.12,0.810633
1,8192,131072,2,0,247.61,0.0
1,8192,131072,2,1,179.32999999999998,0.829177
