PROC,LOAD,READSIZE,TIMESPFETCH,PRED,nobg_Elapsed,nobg_READAHEAD_TIME,bg_Elapsed,bg_READAHEAD_TIME
1,4096,4096,1,0,126.82,0.0,135.38,0.0
1,4096,4096,1,1,74.77,9.920566,77.42,2.973925
1,4096,4096,2,0,124.64,0.0,135.08,0.0
1,4096,4096,2,1,76.21000000000001,9.531632,76.6,3.004253
1,4096,4096,4,0,124.67,0.0,131.33,0.0
1,4096,4096,4,1,76.77,7.978229,78.99,3.800893
1,4096,131072,1,0,62.83,0.0,63.33,0.0
1,4096,131072,1,1,42.65,1.144199,43.81,0.254378
1,4096,131072,2,0,56.92,0.0,59.0,0.0
1,4096,131072,2,1,43.42,1.238347,42.16,0.263016
1,4096,131072,4,0,58.82,0.0,59.42,0.0
1,4096,131072,4,1,46.37,1.381639,45.0,0.259844
1,4096,524288,1,0,50.95,0.0,50.75,0.0
1,4096,524288,1,1,42.87,0.72325,42.02,0.062634
1,4096,524288,2,0,48.81,0.0,50.38,0.0
1,4096,524288,2,1,40.87,0.786626,40.28,0.058234
1,4096,524288,4,0,46.57,0.0,52.52,0.0
1,4096,524288,4,1,41.05,0.816353,42.8,0.066156
1,4096,1048576,1,0,46.25,0.0,44.02,0.0
1,4096,1048576,1,1,41.44,0.494872,41.99,0.02644
1,4096,1048576,2,0,43.63,0.0,46.25,0.0
1,4096,1048576,2,1,40.6,0.51784,40.08,0.025462
1,4096,1048576,4,0,44.36,0.0,46.83,0.0
1,4096,1048576,4,1,43.38,0.522538,42.85,0.026666
1,4096,4194304,1,0,40.72,0.0,39.44,0.0
1,4096,4194304,1,1,42.18,0.002436,42.64,0.0024
1,4096,4194304,2,0,41.18,0.0,40.4,0.0
1,4096,4194304,2,1,42.68,0.002482,43.6,0.002398
1,4096,4194304,4,0,42.13,0.0,42.92,0.0
1,4096,4194304,4,1,43.11,0.002463,40.05,0.002369
1,4096,16777216,1,0,43.05,0.0,40.37,0.0
1,4096,16777216,1,1,39.65,0.060333,43.45,0.004375
1,4096,16777216,2,0,40.78,0.0,42.32,0.0
1,4096,16777216,2,1,42.11,0.059958,43.95,0.003732
1,4096,16777216,4,0,41.54,0.0,44.22,0.0
1,4096,16777216,4,1,42.59,0.060781,43.85,0.003967
1,8192,4096,1,0,513.4,0.0,548.96,0.0
1,8192,4096,1,1,303.27,38.727627,314.03,11.793383
