Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    5164      246     3148    95.5%            6        212
    2058       33        0    98.4%            7        212
    1584        0        0   100.0%            7        212
    1570        0        0   100.0%            7        212
    1924        0       84   100.0%            7        212
   -3973   184065    37415    -2.2%            9       1045
  106819   125913   119012    45.9%            9       1779
  259486   117833   115702    68.8%            9       2464
  401151   111700   114735    78.2%            9       2815
  583013   107432   118124    84.4%            9       3224
  720287   107509   116202    87.0%            9       3874
  640740    87556   100089    88.0%           10       4392
   46172    43632    47824    51.4%           10       4769
   93017     2951    54629    96.9%           10       5001
   90653     6630    53208    93.2%           10       4829
  168984   110290   126491    60.5%           10       4932
  347170    97705   122822    78.0%           10       5352
  544848    97983   123656    84.8%           10       5978
  629246    92156   112271    87.2%           11       6543
  906018    82602   137525    91.6%           11       6752
  449467    27745    89665    94.2%           11       7080
   96255     2630    55245    97.3%           11       7316
   99278     4275    54255    95.9%           11       7433
  390807    99741   127686    79.7%           11       7424
  545402    92383   117700    85.5%           11       8012
  719571    84842   119165    89.5%           12       8216
  916882    62146   131522    93.7%           12       8708
  298615    15470    74188    95.1%           12       9057
   94439     2357    56142    97.6%           12       9291
   95435     2387    54855    97.6%           12       9529
  209348    24165    74757    89.7%           12       8832
  566344   103326   129112    84.6%           12       9510
  624782    82012   114531    88.4%           12      10034
   41386    44592    51263    48.1%           12      10436
   38408    48815    53100    44.0%           13      10858
  540942    47391    95914    91.9%           13      10445
   89883     2316    54359    97.5%           13      10682
   88669     2283    54937    97.5%           13      10905
   87200     2196    59240    97.5%           13      11088
   77462     1443    52780    98.2%           13      11315
   77749     1525    53091    98.1%           13      11543
  208321    49743    85891    80.7%           13      10676
   25914    36841    48881    41.3%           13      11026
   29743    32474    48157    47.8%           13      11365
   31054    31549    47923    49.6%           13      11177
   35108    23293    51408    60.1%           13      11429
   23341    37920    48464    38.1%           14      11362
   32524    31642    53714    50.7%           14      11722
   24659    36010    46551    40.6%           14      12071
   42167    20988    48465    66.8%           14      11723
   45112    21070    49554    68.2%           14      12015
  134438    38236    68159    77.9%           14      11998
   41643    26494    49735    61.1%           14      12301
   33051    32023    46202    50.8%           14      12630
   26810    36281    51889    42.5%           14      12936
  207980    41361    69827    83.4%           15      12615
  131758    59411    72603    68.9%           15      13057
   26741    52735    53647    33.6%           15      13505
   26633    51609    52628    34.0%           15      13920
   27231    51953    53399    34.4%           15      14364
   24136    50340    53533    32.4%           15      14735
   21378    47822    46701    30.9%           15      13923
   23994    46604    48371    34.0%           15      14320
   23239    44114    45523    34.5%           15      14695
   23445    44622    45782    34.4%           15      15074
   26824    46301    50594    36.7%           15      15467
   23727    47990    48064    33.1%           15      15869
   23474    49053    47832    32.4%           15      16274
  365863    49795    81907    88.0%           16      15308
   43581    36810    50960    54.2%           16      15654
   51893    27142    49018    65.7%           16      15971
  184298    35517    64884    83.8%           16      15790
  278787    17504    76712    94.1%           16      15947
   88083     1995    56622    97.8%           16      16178
   85687     1919    54361    97.8%           16      16413
   79830     1271    58970    98.4%           16      16591
   76058     1313    53786    98.3%           16      16822
  278820    61426   114539    81.9%           16      16204
   27157    37225    50059    42.2%           16      16570
   25879    35291    53067    42.3%           16      16877
   21554    35580    45693    37.7%           16      16576
   35551    27535    49722    56.4%           16      16894
   30103    31898    48925    48.6%           16      17222
   53169    14509    51936    78.6%           16      16914
   37002    35369    54191    51.1%           16      17273
   29656    38243    50699    43.7%           16      17621
   30288    35540    48077    46.0%           16      17953
  257507    43791    88230    85.5%           17      17601
   47382    26913    53144    63.8%           17      17923
  141433    57895    70461    71.0%           17      18082
   24858    46300    53819    34.9%           17      18490
   19232    46610    48599    29.2%           17      18808
   17836    43416    42694    29.1%           17      18797
   21778    44090    46018    33.1%           17      18788
   18443    45712    44148    28.7%           17      18781
  239735    53486    67790    81.8%           17      17711
   36501    36004    48552    50.3%           17      18066
  203067    32571    67383    86.2%           17      18084
  409923    53053    84324    88.5%           18      18309
   84250    32251    48665    72.3%           18      18391
  192019     8257    66609    95.9%           18      18664
   76090     1517    53710    98.0%           18      18714
   75517     1168    53365    98.5%           18      18777
   73496     1181    51062    98.4%           18      18769
   73429     1251    51556    98.3%           18      18757
  213248    44165    95077    82.8%           18      17927
   87700    31507    63584    73.6%           18      18263
   28535    32840    46372    46.5%           18      18245
   42150    21890    55921    65.8%           18      18512
   41348    21971    48862    65.3%           18      18484
   54272    13612    54033    79.9%           18      18767
   33608    35492    51821    48.6%           19      18719
  170497    37336    76655    82.0%           19      18740
  159676    28647    68443    84.8%           19      18739
  299651    43118    81117    87.4%           19      18658
  518294    54331   100917    90.5%           19      18702
  243406    43940    65778    84.7%           19      18738
   44652    32736    45017    57.7%           19      18728
  204636     8763    70750    95.9%           19      18543
   86044     1687    54359    98.1%           19      18722
   83056     1721    51753    98.0%           19      18711
   77069        0    54025   100.0%           19      18729
   73456     1188    50576    98.4%           19      18757
  211808    48696    94422    81.3%           19      17739
  113207     9451    67795    92.3%           20      17687
   54693    14527    53923    79.0%           20      17969
   64736     1746    51639    97.4%           20      17934
   52129    18047    60435    74.3%           20      17988
   72422     1453    59400    98.0%           20      18226
   66432     1464    53623    97.8%           20      18457
   65305     1437    52592    97.8%           20      18682
  327085    46682    91143    87.5%           20      18078
   73642    53824    58292    57.8%           20      18499
   24356    48774    47721    33.3%           20      18736
   22944    45117    45571    33.7%           20      18724
   17536    45046    42651    28.0%           20      18775
  290630    65269    77493    81.7%           20      18302
   24843    52974    49314    31.9%           20      18717
   23040    44400    48467    34.2%           20      18747
   20525    39539    39983    34.2%           20      18069
  421030    52043    87683    89.0%           20      18416
  146314    59409    64575    71.1%           20      18713
   29326    45399    48239    39.2%           20      18734
   23523    43970    42154    34.9%           20      18753
   62585    12638    48346    83.2%           20      18262
   80925     1705    55661    97.9%           21      18501
   79017     1647    53101    98.0%           21      18713
   77383     1600    51626    98.0%           21      18700
   74296     3092    49751    96.0%           21      18688
  150439    35624    98327    80.9%           21      17876
  230933    39480   108862    85.4%           21      18029
   21237    46247    51422    31.5%           21      18442
   18952    41931    45196    31.1%           21      18688
   14110    45802    51918    23.6%           21      18745
   19898    37915    46069    34.4%           21      18739
