Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1289      369        0    77.7%            7        198
    1762        1        0    99.9%            7        200
    1571        0        0   100.0%            7        200
    1568        0        0   100.0%            7        200
    1580        0        0   100.0%            7        200
    1569        1        4    99.9%            7        200
    5147      446     3080    92.0%            9        211
  -14538   163380    14854    -9.8%           10        867
    2590    50093    49957     4.9%           10       1277
    3094    49222    49222     5.9%           10       1321
    2800    49378    50256     5.4%           10       1728
    2724    48725    49489     5.3%           10       2129
    2814    47732    48508     5.6%           10       2523
    2762    46531    47211     5.6%           10       2907
    2708    47942    48741     5.3%           10       3302
   12467    37603    47474    24.9%           10       2384
   10823    44303    54691    19.6%           10       2766
    5045    45610    48434    10.0%           11       3151
    3850    48797    50558     7.3%           11       3559
    3956    49056    49716     7.5%           11       3951
    6016    48305    49907    11.1%           11       4351
    4433    48967    49974     8.3%           11       4755
    5108    48133    50258     9.6%           11       5155
    3226    46996    48312     6.4%           11       5547
    3162    48485    49201     6.1%           11       5931
    7647    45201    52049    14.5%           11       6306
    5305    46347    48617    10.3%           11       6694
    4043    47959    49711     7.8%           11       7092
    5459    45262    48301    10.8%           11       7475
    2880    47486    48164     5.7%           11       7866
    2871    46460    46961     5.8%           11       8248
    5128    46126    49209    10.0%           11       8638
    5888    48070    51703    10.9%           11       9041
    7053    45636    50326    13.4%           11       9423
    5079    45955    48963    10.0%           11       9809
    6498    46853    52715    12.2%           12      10201
    5088    44984    47745    10.2%           12      10579
   12455    38649    49140    24.4%           12      10940
   10513    41296    49725    20.3%           12      11295
   10266    42479    50537    19.5%           12      11668
    6019    44066    48179    12.0%           12      12044
   26374    26989    51010    49.4%           12      12364
    8478    41854    47153    16.8%           12      12727
    5282    45519    48929    10.4%           12      13111
   22203    30221    51417    42.4%           12      13446
   21764    31929    51008    40.5%           12      13787
   14749    37009    49465    28.5%           12      14134
   15301    35106    48180    30.4%           12      14475
    4327    43346    45611     9.1%           12      14840
    3513    45650    47156     7.1%           12      15220
    8684    42600    48977    16.9%           12      15590
    6560    43711    47698    13.0%           12      15962
    5921    44098    47413    11.8%           12      16333
    3552    44849    46402     7.3%           12      16708
    7181    43789    50555    14.1%           12      17081
   13767    36364    47796    27.5%           12      17424
   12729    39285    49208    24.5%           12      17786
    5445    45425    48823    10.7%           12      18168
    5221    44256    47152    10.6%           12      18539
   16801    35118    49211    32.4%           12      18886
    8650    38955    45617    18.2%           12      18880
   21176    30675    49724    40.8%           13      18874
   12369    37740    47286    24.7%           13      18875
    9348    43983    53327    17.5%           13      18882
    7256    45261    51298    13.8%           13      18886
   16543    35425    49708    31.8%           13      18885
    2081    45693    45470     4.4%           13      18884
    2191    43251    42792     4.8%           13      18880
    2445    43500    41537     5.3%           13      18877
    4404    31840    31721    12.2%           13      10326
    2073    52553    48280     3.8%           13      10732
    2163    52890    47766     3.9%           13      11135
    2184    53158    48795     3.9%           13      11548
    5948    50709    50390    10.5%           13      11937
    2206    51658    47399     4.1%           14      12342
    2190    49758    45196     4.2%           14      12732
    2186    51311    46376     4.1%           14      13131
    2198    51275    46907     4.1%           14      13531
    2238    50849    46369     4.2%           14      13927
    2182    49911    45345     4.2%           14      14317
    2226    48002    44575     4.4%           14      14697
    2179    49406    45120     4.2%           14      15083
   10188    46938    49716    17.8%           14      15476
    2234    50311    47024     4.3%           14      15873
    2105    51046    47142     4.0%           14      16275
    2165    51383    47636     4.0%           14      16676
    2350    47982    45602     4.7%           15      17059
   17120    34440    47136    33.2%           15      17394
   35663    17898    50219    66.6%           15      17677
   19613    33827    48937    36.7%           15      18009
   16335    37128    48172    30.6%           15      18358
   26513    29314    49885    47.5%           15      18676
   12638    43368    49538    22.6%           15      18826
    4167    46196    45086     8.3%           15      18827
    2175    45801    42779     4.5%           15      18829
    2159    44927    44189     4.6%           15      18832
    2070    51195    46485     3.9%           15      18834
    2207    48699    44124     4.3%           15      18836
    2240    45788    41752     4.7%           15      18838
    2250    46541    43546     4.6%           15      18839
    2066    49746    46758     4.0%           15      18840
    5047    46647    45974     9.8%           15      18841
    2235    45786    43797     4.7%           15      18843
    2197    46203    43285     4.5%           15      18843
    2081    48651    45600     4.1%           15      18846
    2198    50563    46988     4.2%           15      18847
    2159    44502    41751     4.6%           15      18848
    2227    45016    42523     4.7%           15      18849
    2073    48990    44830     4.1%           15      18851
    2057    51002    46872     3.9%           15      18853
    2272    46264    43805     4.7%           15      18853
    8022    28860    31337    21.8%           16      11003
    2413    48764    48292     4.7%           16      11399
    2166    49575    47070     4.2%           16      11793
    2204    50299    46120     4.2%           16      12185
    2172    49093    45344     4.2%           16      12573
    2172    51010    47651     4.1%           16      12974
    2183    51449    48171     4.1%           16      13381
    2197    50560    47395     4.2%           16      13781
    2169    48253    44392     4.3%           16      14160
    2352    51677    46988     4.4%           16      14562
    9078    48224    50128    15.8%           16      14963
    2211    51620    48169     4.1%           16      15370
    2262    49943    46884     4.3%           16      15765
    2203    50776    47398     4.2%           16      16167
    2260    49601    47141     4.4%           16      16562
    2825    51167    47656     5.2%           16      16965
    2204    49474    46113     4.3%           16      17356
    2222    51128    47653     4.2%           16      17760
    2232    48917    48168     4.4%           16      18156
    6831    48088    50978    12.4%           16      18549
    2175    49014    45856     4.2%           16      18832
    2784    47866    44576     5.5%           16      18835
    2179    47921    44683     4.3%           16      18837
    2202    46144    44318     4.6%           16      18838
    2213    46357    42781     4.6%           16      18839
    2033    47625    44576     4.1%           16      18840
    2063    49581    46486     4.0%           16      18842
    2163    45457    42521     4.5%           16      18843
    2226    44814    42009     4.7%           16      18843
    5843    49248    47977    10.6%           16      18846
    2188    48182    44430     4.3%           16      18847
    2201    46390    43292     4.5%           16      18847
    2925    46172    43457     6.0%           16      18847
    2078    44462    44832     4.5%           16      18849
    7802    24764    24800    24.0%           16      18849
    1564        0        0   100.0%           16      18849
    1539        0        0   100.0%           16      18849
    1558        0       18   100.0%           16      18849
    5338        0     3144   100.0%           16      18850
    1548        0        0   100.0%           16      18850
    1568        0        0   100.0%           16      18850
    1584        0        0   100.0%           16      18850
    1553        0        0   100.0%           16      18850
    1571        0        0   100.0%           16      18850
    1611        1        0    99.9%           16      18850
    1573        0        0   100.0%           16      18850
    1562        0        0   100.0%           16      18850
    1550        0        9   100.0%           16      18850
    5352        0     3145   100.0%           16      18850
    1564        0        0   100.0%           16      18850
    1568        0        0   100.0%           16      18850
    1566        0        0   100.0%           16      18850
    1563        0        0   100.0%           16      18850
    1566        0        0   100.0%           16      18850
    1563        0        0   100.0%           16      18850
    1667        0        0   100.0%           16      18850
    2111        1       22   100.0%           16      18850
    5414        0     5383   100.0%           16      18859
    1564        0        0   100.0%           16      18859
    1550        1        0    99.9%           16      18859
    1535        0        0   100.0%           16      18859
    1553        0        0   100.0%           16      18859
    1551        0        0   100.0%           16      18859
    1568        0        0   100.0%           16      18859
    1584        0        0   100.0%           16      18859
    1548        0        0   100.0%           16      18859
    1567        0        6   100.0%           16      18859
    5591        0     3146   100.0%           16      18859
    1563        0        0   100.0%           16      18859
    1564        0        0   100.0%           16      18859
