Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1554      125        0    92.6%            7        197
    2346      327       13    87.8%            8        199
    3086        0     4677   100.0%            9        219
    1604        0        0   100.0%            9        219
    1635        0        0   100.0%            9        219
    1605        0        0   100.0%            9        219
    1620        0        0   100.0%            9        219
  -11898   127151    14973   -10.3%           11        771
    1640    43632    42894     3.6%           11       1123
    8863    35282    35571    20.1%           11       1039
   44130     2709      277    94.2%            6        196

Ending tracing...
