Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    5827      437     3010    93.0%            9        211
    1619        0        0   100.0%            9        211
    1612        0        0   100.0%            9        211
    4543       89       57    98.1%            9        211
    1625        0        0   100.0%            9        211
    1624        0        0   100.0%            9        211
     441   167015      324     0.3%           11        806
   66790   153671     5233    30.3%           11       1694
   84265   157289        0    34.9%           11       2484
   92016   148089        0    38.3%           11       3237
  107561   150588        4    41.7%           11       3998
  118332   154127        0    43.4%           11       4772
  125764   148134       40    45.9%           11       5558
  140393   142202     3009    49.7%           11       6295
  143198   144748        0    49.7%           11       7049
  156308   145607        0    51.8%           11       7792
  171046   145550        4    54.0%           11       8519
  180690   141837        0    56.0%           11       9251
  191305   138328        0    58.0%           11       9981
  202741   134708        0    60.1%           11      10674
  222345   130440     2266    63.0%           11      11350
  236834   133524        0    63.9%           11      12036
  252126   129694        0    66.0%           11      12692
  267945   125894        0    68.0%           11      13328
  295720   126069        0    70.1%           11      13971
  319824   123839       33    72.1%           11      14601
  361595   117007     3009    75.6%           11      15210
  413215   108038        0    79.3%           11      15780
  507016   109814        0    82.2%           11      16330
  576693   113882      203    83.5%           12      16881
  623276   112974       31    84.7%           14      17502
  628276   102675       30    86.0%           14      18097
  680448   101659        0    87.0%           14      18616
  701167    97957        0    87.7%           14      19112
  712860    93663        0    88.4%           14      19463
  714142    91142        0    88.7%           14      19464
  729713    92536       87    88.7%           14      19466
  715124    91205        0    88.7%           14      19464
  720823    93246       33    88.5%           14      19466
  738735    91737     3010    89.0%           14      19464
  713328    91775        0    88.6%           14      19465
  707103    90834        0    88.6%           14      19464
  718717    90969       87    88.8%           14      19466
  720262    91514        0    88.7%           14      19469
  722442    91568       33    88.8%           14      19467
  729269    89002     3009    89.1%           14      19467
  712848    91402        0    88.6%           14      19467
  719897    91789        0    88.7%           14      19467
  722726    91730       87    88.7%           14      19468
  727775    91034        0    88.9%           14      19468
  728174    90935        0    88.9%           14      19468
  722195    90116        0    88.9%           13      19469
  733453    87245     3556    89.4%           13      19470
  714307    89169        0    88.9%           13      19469
  723884    90605        0    88.9%           13      19469
  717750    89640       87    88.9%           13      19470
  717610    89741        0    88.9%           13      19471
  725350    90790       33    88.9%           13      19473
  732353    87015     3011    89.4%           13      19472
  717427    90262        0    88.8%           13      19473
  699804    86931        0    89.0%           13      19473
  710062    88307       87    88.9%           13      19472
  729389    90746        0    88.9%           13      19474
  710827    88371        4    88.9%           13      19473
  723461    90753        0    88.9%           13      19474
  726315    91000        0    88.9%           13      19474
  712857    89853        0    88.8%           13      19474
  705416    88319       87    88.9%           13      19476
