Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    5439      876     3013    86.1%            7        208
    1538        0        0   100.0%            8        210
    1521        0        0   100.0%            8        210
    1887        0       54   100.0%            8        210
  -12629   140999    30170    -9.8%            9        876
    1980    47384    49349     4.0%            9       1285
    2648    46725    49255     5.4%            9       1680
    2299    47335    50134     4.6%            9       2089
    2421    47821    50400     4.8%            9       2495
    3560    45936    50372     7.2%            9       2902
    5625    44122    53808    11.3%           10       3316
    2684    47477    58621     5.4%           10       3688
    2446    49163    51047     4.7%           10       4094
    2545    48049    49830     5.0%           10       4496
    6886    49218    50960    12.3%           10       4916
    4105    43261    48080     8.7%           11       5073
   11377    24960   139446    31.3%           12       3456
   11838    30840   159388    27.7%           12       3605
   15733    25214   144009    38.4%           12       4056
   10647    33488   155875    24.1%           13       4152
   16508    28354    84987    36.8%           14       4457
   20207    33099    52564    37.9%           14       4559
   21670    32416    52247    40.1%           14       4728
   39792    15466    54857    72.0%           14       4752
   14342    38921    53124    26.9%           14       4886
   12896    37542    49973    25.6%           14       5251
   27229    25696    52221    51.4%           14       5242
   10146    41264    50524    19.7%           14       5248
   25547    36659    61122    41.1%           15       5602
    5156    44064    48688    10.5%           15       5682
   15162    38391    51982    28.3%           15       6063
   13146    38602    51426    25.4%           15       6034
   23417    29924    53017    43.9%           15       6372
   16252    37830    53553    30.1%           15       6371
    6732    42707    49807    13.6%           15       6743
    8955    45181    53939    16.5%           15       6753
    3488    43340    54893     7.4%           15       7100
    7733    45045    51054    14.7%           15       7492
    3224    46810    49538     6.4%           15       7895
    3181    48227    50590     6.2%           15       8300
    2856    47585    49600     5.7%           15       8706
    3518    45493    48023     7.2%           15       9101
    8977    40820    48310    18.0%           15       9481
   43514     7977    48901    84.5%           16       8086
   57017        6    56531   100.0%           16       8321
   56199       13    55528   100.0%           16       8542
   52859       17    61135   100.0%           16       8733
   59328        0    57520   100.0%           16       8961
   56935       12    55651   100.0%           16       9186
   53741        7    53061   100.0%           16       9409
   57290        5    56362   100.0%           16       9640
   56281        9    55323   100.0%           16       9869
   53473       10    52380   100.0%           16      10078
   33353     6460    98354    83.8%           16       8178
   13963    28238   165815    33.1%           16       8634
   15481    29736   155510    34.2%           17       8848
   21840    25692   157042    45.9%           17       9059
   10770    29448   122555    26.8%           17       9358
    5583    48096    51637    10.4%           17       9496
    6275    47417    52286    11.7%           17       9896
    6844    47414    53057    12.6%           17      10315
    6477    45218    50348    12.5%           17      10696
    7973    39374    46062    16.8%           17      10111
   13495    38977    51711    25.7%           17      10491
   12959    39989    52484    24.5%           17      10560
   14594    42305    55152    25.6%           17      10664
   14170    37193    59342    27.6%           18      11006
