Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    4156      365     3000    91.9%            8        208
    2041        6        0    99.7%            8        210
    1608        0        0   100.0%            8        210
    1610        0        0   100.0%            8        210
  -26452   111005      298   -31.3%           10        569
  -24428   129851     9018   -23.2%           10        954
    7395   197427       33     3.6%           10       1765
   12544   197405        0     6.0%           10       2588
   17897   195189        0     8.4%           10       3405
   28133   190937     3036    12.8%           10       4217
   28674   192048        0    13.0%           10       5019
   34725   190624       87    15.4%           10       5817
   41080   189830        0    17.8%           10       6610
   46264   185646        0    19.9%           10       7390
   53559   187319        0    22.2%           10       8173
   60261   185648       33    24.5%           10       8955
   67984   185564        0    26.8%           10       9732
   75311   183909        0    29.1%           10      10497
   86880   176939     3036    32.9%           10      11249
   90046   178828        0    33.5%           10      11999
   98726   178982        0    35.6%           10      12749
  107778   178006        0    37.7%           10      13488
  117238   176048        0    40.0%           10      14227
  124847   171967        0    42.1%           10      14942
  137200   173162       32    44.2%           10      15675
  147893   172364        0    46.2%           10      16393
  155956   167972        0    48.1%           10      17094
  170832   168414        0    50.4%           10      17797
  181752   165674       27    52.3%           10      18493
  195205   163998        0    54.3%           10      19179
  207748   162056        0    56.2%           10      19662
  211038   157895        0    57.2%           10      19665
  212601   159374        0    57.2%           10      19664
  210428   156857        0    57.3%           10      19665
  208047   156247       32    57.1%           10      19670
  212092   158051        0    57.3%           10      19670
  211767   159184        0    57.1%           10      19668
  218711   156422     3037    58.3%           10      19669
  211390   158460        0    57.2%           10      19670
  213768   159598        0    57.3%           10      19670
  209440   156193        0    57.3%           10      19671
  213180   159141        0    57.3%           10      19669
  211706   157571        0    57.3%           10      19669
  205785   154020       32    57.2%           10      19669
  212843   158836        0    57.3%           10      19669
  213245   158463        0    57.4%           10      19670
  218575   155673     3037    58.4%           10      19670
  211197   157897        0    57.2%           10      19671
  210607   157504        0    57.2%           10      19671
  211876   157586        0    57.3%           10      19671
  212113   156795        0    57.5%            9      19673
  211525   157642        0    57.3%            9      19671
  211887   157958       31    57.3%            9      19672
  210378   156500        0    57.3%            9      19675
  209946   156566        0    57.3%            9      19674
  214840   154185     4275    58.2%            9      19680
  212188   157232        0    57.4%            9      19681
  211208   156497        0    57.4%            9      19682
  209435   155779        0    57.3%            9      19682
  214487   159081        0    57.4%            9      19682
  213803   158696       91    57.4%            9      19681
  214499   158403       32    57.5%            9      19681
  214774   158435        0    57.5%            9      19681
  213047   158426        0    57.4%            9      19681
  223004   155596     3079    58.9%            9      19683
  213361   158642        0    57.4%            9      19682
  213468   158428      102    57.4%            9      19682
  213033   158794        0    57.3%            9      19683
  211508   157180        0    57.4%            9      19683
  212529   157953        0    57.4%            9      19683
  212971   158073        0    57.4%            9      19683
  214192   158376       49    57.5%            9      19683
  214354   158765        0    57.4%            9      19682
  212624   158193        0    57.3%            9      19682
  218712   154032     3035    58.7%            9      19682
  212727   158499        0    57.3%            9      19682
  214979   158228        0    57.6%            9      19682
  213525   158309        0    57.4%            9      19682
  209942   155554        0    57.4%            9      19682
  211920   156873        0    57.5%            9      19682
  215829   158995       32    57.6%            9      19682
  214953   159531        0    57.4%            9      19683
  215281   158980        0    57.5%            9      19684
  220961   154261     3033    58.9%            9      19683
  214719   158050        0    57.6%            9      19683
  214577   157969       87    57.6%            9      19683
  212575   157310        0    57.5%            9      19682
  213589   159052        0    57.3%            9      19682
  211502   155924        0    57.6%            9      19683
  215179   158436       32    57.6%            9      19683
  214661   158362        0    57.5%            9      19683
  214398   158397        0    57.5%            9      19684
  220617   154382     3031    58.8%            9      19683
  210507   155176        0    57.6%            9      19683
  210767   155271        0    57.6%            9      19682
  211190   156698        0    57.4%            9      19683
  212129   157592        0    57.4%            9      19683
  213951   158388        0    57.5%            9      19683
  211861   157025       31    57.4%            9      19684
  213739   158535        0    57.4%            9      19683
  215300   159339        0    57.5%            9      19683
  220842   155715     3029    58.6%            9      19683
  214415   157705        0    57.6%            9      19684
  211506   156035       87    57.5%            9      19683
  212215   157208        0    57.4%            9      19683
  211993   157123        0    57.4%            9      19683
  212577   157487        0    57.4%            9      19683
  212998   157298        0    57.5%            9      19684
  213586   158098       70    57.5%            9      19683
  214197   158420        0    57.5%            9      19682
  212793   157183        0    57.5%            9      19683
  218700   155158     3029    58.5%            9      19683
  213275   158500        0    57.4%            9      19683
  211551   156223        0    57.5%            9      19684
  215588   159299        0    57.5%            9      19683
  214279   157681        0    57.6%            9      19683
  213235   157748        0    57.5%            9      19683
  211182   156551       32    57.4%            9      19683
  212246   156835        0    57.5%            9      19684
  212579   156487        0    57.6%            9      19685
  220421   151264     5253    59.3%            9      19684
  210667   156924        0    57.3%            9      19684
  211158   156625       87    57.4%            9      19683
  208232   153710        0    57.5%            9      19685
  213855   157900        0    57.5%            9      19684
  212128   157946        0    57.3%            9      19682
  212045   156733       33    57.5%            9      19684
  213480   157590        0    57.5%            9      19683
  214249   157982        0    57.6%            9      19683
  219112   154031     3028    58.7%            9      19685
  212444   156518        0    57.6%            9      19684
  213355   157416        0    57.5%            9      19684
  213516   157371        0    57.6%            9      19685
  210358   156012        0    57.4%            9      19686
  215150   158856        0    57.5%            9      19684
  213457   157802       33    57.5%            9      19686
  213464   158129        0    57.4%            9      19684
  212631   157388       14    57.5%            9      19687
  216926   151477     3030    58.9%            9      19688
