Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1387      275        0    83.5%            6        196
    2072       36        0    98.3%            7        198
    1610        0       41   100.0%            7        198
    1600        2        2    99.9%            7        198
  -11208    92253      281   -13.8%            8        556
  368599    19507     2538    95.0%            9        612
  371213    19768        0    94.9%            9        661
  376292    19516        0    95.1%            9        709
  369770    19317        0    95.0%            9        756
  364702    19176        0    95.0%            9        802
  369565    19258        0    95.0%            9        849
  371900    19476        0    95.0%            9        896
  374483    19639       42    95.0%           10        943
  398900    20889        0    95.0%           10        993
  368796    19400        0    95.0%           10       1040
  367696    16539     3018    95.7%           10       1087
  370693    20467        0    94.8%           10       1133
  368103    20521        0    94.7%           10       1179
  367955    20033        0    94.8%           10       1226
  360520    19093        0    95.0%           10       1269
  364281    18606        0    95.1%           10       1317
  365241    19631       32    94.9%           10       1364
  385081    20735        2    94.9%           10       1414
  367154    20138        0    94.8%           10       1461
  376591    16772     3017    95.7%           10       1509
  373541    19561        0    95.0%           10       1557
  373888    19294        0    95.1%           10       1605
  370764    19616        0    95.0%           10       1653
  369984    19658        0    95.0%           10       1700
  367310    19375        0    95.0%           10       1748
  371670    19728        0    95.0%           10       1795
  381625    20026       32    95.0%           10       1844
  364660    19121        0    95.0%           10       1892
  373949    19521        0    95.0%           10       1940
  374753    16275     3017    95.8%           10       1987
  375563    20020        0    94.9%           10       2036
  370458    19711       87    94.9%           10       2083
  369196    19317        0    95.0%           10       2131
  369101    19317        0    95.0%           10       2179
  369445    19367        0    95.0%           10       2226
  383907    20112       32    95.0%           10       2275
  373685    19566        0    95.0%           10       2324
  375483    19692        0    95.0%           10       2373
  375353    16302     3018    95.8%           10       2421
  371405    19770        0    94.9%           10       2468
  367052    19192        0    95.0%           10       2515
  371622    19472        0    95.0%           10       2563
  370079    19531        0    95.0%           10       2611
  373429    19671        0    95.0%           10       2659
  408101    21625        2    95.0%           10       2712
  374675    19942        0    94.9%           10       2760
  372319    19656        0    95.0%           10       2808
  376277    16445     5246    95.8%           10       2865
  374805    19729        0    95.0%           10       2913
  364894    19099        0    95.0%           10       2960
  371450    19361       87    95.0%           10       3007
  368472    19949        0    94.9%           10       3054
  372882    19829        0    95.0%           10       3101
  401811    20750        0    95.1%           10       3153
  378173    20014       31    95.0%           10       3203
  374909    19887        0    95.0%           10       3251
  373719    19728        0    95.0%           10       3299
  378718    16647     3019    95.8%           10       3347
  370653    19406        0    95.0%           10       3395
  367286    19076       87    95.1%           10       3443
  370635    19814        0    94.9%           10       3491
  378327    20070        0    95.0%           10       3539
  396512    21450        0    94.9%           10       3591
  374966    20297       32    94.9%           10       3639
  372329    20120        0    94.9%           10       3687
  373248    20003        0    94.9%           10       3735
  378266    16408     3019    95.8%           10       3782
  370308    19443        0    95.0%           10       3830
  370734    19755       87    94.9%           10       3878
  368553    19184        0    95.1%           10       3925
  405656    21151        0    95.0%           10       3978
  371329    19487        0    95.0%           10       4026
  375729    19441        8    95.1%           10       4074
  372829    19810        2    95.0%           10       4122
  374823    19579        0    95.0%           10       4170
  378582    16434     3020    95.8%           10       4218
  372674    19415        0    95.0%           10       4266
  369179    19564        0    95.0%           10       4314
  372941    19647        0    95.0%           10       4362
  378788    20530        0    94.9%           10       4410
  366673    19131        0    95.0%           10       4458
  373721    19774        0    95.0%           10       4506
  375504    19873       33    95.0%           10       4555
  370537    19819        0    94.9%           10       4602
  371538    19621        0    95.0%           10       4650
  375744    16502     3020    95.8%           10       4698
  370904    19669        0    95.0%           10       4745
  376201    20073        0    94.9%           10       4793
  403099    21354        0    95.0%           10       4846
  370981    19629        0    95.0%           10       4893
  374438    19983        0    94.9%           10       4942
  374997    19988       33    94.9%           10       4991
  372659    20010        0    94.9%           10       5038
  371285    19749        0    94.9%           10       5086
  373715    16203     3018    95.8%           10       5133
  370019    19049        0    95.1%           10       5181
  370015    19395       87    95.0%           10       5228
  385145    20450        0    95.0%           10       5277
  387286    20308        0    95.0%           10       5328
  372916    20318        0    94.8%           10       5376
  373223    19672        0    95.0%           10       5424
  369115    19531        1    95.0%           10       5472
  369556    19097        0    95.1%           10       5519
  376761    16826     3019    95.7%           10       5567
  381574    20936        0    94.8%           10       5616
  384128    20094        0    95.0%           10       5666
  373264    19601        0    95.0%           10       5713
  372282    19819        0    94.9%           10       5762
  373995    19441        0    95.1%           10       5809
  374079    19760        0    95.0%           10       5857
  374787    19693       33    95.0%           10       5906
