Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1526      102        0    93.7%            8        196
    1586        0        0   100.0%            8        198
    2041        0       41   100.0%            8        198
    1579        0        0   100.0%            8        198
    1571        0        0   100.0%            8        198
    5143      428     3019    92.3%            9        210
   -4784    65021      248    -7.9%           11        456
 1104756    93631      130    92.2%           11        767
  962909    82038        0    92.1%           11        968
  895894    77771        0    92.0%           11       1164
  856422    76687        0    91.8%           11       1359
  794566    72387       24    91.7%           11       1555
  807155    74306        0    91.6%           12       1750
  777700    71964        0    91.5%           12       1939
  772775    68024     3020    91.9%           12       2127
  770913    71769        0    91.5%           12       2321
  754653    71065        0    91.4%           12       2512
  750207    71168        0    91.3%           12       2702
  783752    72995        0    91.5%           12       2897
  789678    73721        0    91.5%           12       3092
  770648    72186        0    91.4%           12       3287
  774391    72382       32    91.5%           12       3482
  773502    72288        0    91.5%           12       3679
  794062    74222        0    91.5%           12       3877
  788564    69582     3019    91.9%           12       4074
  809845    75192        0    91.5%           12       4271
  795916    74415       87    91.4%           12       4471
  754697    71631        0    91.3%           12       4665
  752269    71423        0    91.3%           12       4864
  749302    70535        0    91.4%           12       5059
  752029    71190       33    91.4%           12       5257
  750379    71391        0    91.3%           12       5452
  752258    71018        0    91.4%           12       5647
  752198    67895     3019    91.7%           12       5841
  856374    76422        0    91.8%           12       6040
  844194    77016        0    91.6%           12       6243
  812345    75132        0    91.5%           12       6440
  788464    73712        0    91.5%           12       6637
  766354    72162        0    91.4%           12       6833
  794154    73345       32    91.5%           12       7028
  804441    74084        0    91.6%           12       7228
  768508    72575        0    91.4%           12       7424
  765964    68918     3018    91.7%           12       7619
  765095    72330        0    91.4%           12       7815
  759349    72065        0    91.3%           12       8008
  772307    72763        0    91.4%           12       8208
  769201    72903        0    91.3%           12       8406
  760614    72473        0    91.3%           12       8603
  755323    72191        0    91.3%           12       8800
  761623    72194       33    91.3%           12       8994
