Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    2990        0        3   100.0%            8        199
    2062        7        0    99.7%            8        199
    1586        0        0   100.0%            8        199
    1564        0       10   100.0%            8        199
  -10211   121394      250    -9.2%            9        663
    4386    21900     1447    16.7%           11        784
    1613    18484        0     8.0%           11        872
    1642    18894        0     8.0%           11        954
    1576    18289        0     7.9%           11       1048
    1639    15713        0     9.4%           11       1125
    1630    13865        0    10.5%           11       1191
    1634    12105       33    11.9%           11       1253
    1643    16533        0     9.0%           11       1329
    1601    17425        0     8.4%           11       1412
    1641    17100        0     8.8%           11       1495
    1658    17714       87     8.6%           11       1580
    1625    14433        0    10.1%           11       1649
    2813    17530        2    13.8%           11       1733
    2802    17350       14    13.9%           11       1816
    1609    17164        0     8.6%           11       1899
    4145    16198     1538    20.4%           11       1983
    1670    17532        0     8.7%           11       2067
    2308    16730       93    12.1%           11       2149
    1608    17590        0     8.4%           11       2232
    1610    17872        0     8.3%           11       2317
    1592    13756        0    10.4%           11       2386
    1605    17719        0     8.3%           11       2468
    6348    12561     3012    33.6%           11       2543
    1650    13300        0    11.0%           11       2608
    2314    13956        0    14.2%           11       2679
    2344    13416        0    14.9%           11       2745
    3043    17573        0    14.8%           11       2830
    1624    17691        0     8.4%           11       2914
    1666    17630       30     8.6%           11       2997
    6407    14330     3012    30.9%           11       3081
    1623    14337        0    10.2%           11       3151
    1601    17426        0     8.4%           11       3235
    1608    12647        0    11.3%           11       3296
    1613    18430        0     8.0%           11       3379
    1614    17275        0     8.5%           11       3465
    2395    14380       33    14.3%           11       3532
    6374    17061     3011    27.2%           11       3628
    1622    13541        0    10.7%           11       3700
    1626    18227        0     8.2%           11       3782
    2319    16214       87    12.5%           11       3864
    2323    20821        0    10.0%           11       3961
    2359    20858        0    10.2%           11       4060
    1691    21403       33     7.3%           11       4160
    4507    14078     2268    24.3%           11       4242
    2372    15613        0    13.2%           11       4318
    2295    19243        0    10.7%           11       4410
    2296    20603       87    10.0%           11       4510
    2310    21076        0     9.9%           11       4609
    2296    20680        0    10.0%           11       4706
    1603    20323       33     7.3%           11       4804
    1609    18729        0     7.9%           11       4894
    1685    19379        0     8.0%           11       4980
    1621    20195        0     7.4%           11       5078
    1633    17054        0     8.7%           11       5159
    1656    13954        0    10.6%           11       5225
    1630    25410        0     6.0%           11       5344
    1652    25272        4     6.1%           11       5463
    1632    22697        0     6.7%           11       5572
    6622    16951     2118    28.1%           11       5658
    1642    24598        0     6.3%           11       5774
    1650    24804        0     6.2%           11       5892
    1592    23622       87     6.3%           11       6005
    1621    24728        0     6.2%           11       6120
    2314    18702        0    11.0%           11       6213
    2412    17899       29    11.9%           11       6293
    8420    20376     3008    29.2%           11       6406
    1654    24387        0     6.4%           11       6524
    4239        0        0   100.0%           12       6530
    1467        0       92   100.0%           12       6530
    1583        0        0   100.0%           12       6530
    7619      944        0    89.0%           12       6534
   35201      264       28    99.3%           13       6534
   35306        0     3011   100.0%           13       6534
    3897      189        1    95.4%           14       6534
    1572        0        0   100.0%           14       6534
    1586        0        0   100.0%           14       6534
    1572        0        0   100.0%           14       6535
    1555        0        0   100.0%           14       6535
    1554        0        0   100.0%           14       6535
    5516        0     3055   100.0%           14       6535
    1576        1        0    99.9%           14       6535
    1586        0        0   100.0%           14       6535
    1580        0        0   100.0%           14       6535
    1573        0        0   100.0%           14       6535
    1571        0        0   100.0%           14       6535
    1582        0       33   100.0%           14       6535
    5437        0     3016   100.0%           14       6535
    1573        0        0   100.0%           14       6535
    1569        0        0   100.0%           14       6535
    1556        0        0   100.0%           14       6535
    1587        0        0   100.0%           14       6535
    1587        0        0   100.0%           14       6535
    1595        0       48   100.0%           14       6535
    3391        0     5236   100.0%           14       6535
    1557        0        0   100.0%           14       6535
    1571        0        0   100.0%           14       6535
    1587        0        0   100.0%           14       6535
    1552        0        0   100.0%           14       6535
    1555        0        0   100.0%           14       6535
    1588        0       32   100.0%           14       6535
    1616        0        0   100.0%           14       6535
    1584        0        0   100.0%           14       6535
    1569        0        0   100.0%           14       6535
    1470        2       87    99.9%           14       6535
    1582        0        0   100.0%           14       6535
    1569        0        0   100.0%           14       6535
    1565        0        0   100.0%           14       6535
    1572        2        1    99.9%           14       6535
    5417        0     3009   100.0%           14       6535
    1567        0        0   100.0%           14       6535
    1687        0       37   100.0%           14       6535
    1586        0        0   100.0%           14       6535
    1558        0        0   100.0%           14       6535
    1584        0        0   100.0%           14       6535
    1596        0       33   100.0%           14       6536
    5441        0     3010   100.0%           14       6536
    1570        0        0   100.0%           14       6536
    1570        0        0   100.0%           14       6536
    1585        0        0   100.0%           14       6536
    1571        0        0   100.0%           14       6536
    1567        0        0   100.0%           14       6536
    1593        1       33    99.9%           14       6536
    5410        0     3008   100.0%           14       6536
    1588        0        1   100.0%           14       6536
    1596        0        0   100.0%           14       6536
    1569        0        0   100.0%           14       6536
    1634        0       17   100.0%           14       6536
   15782       66        0    99.6%           14       6536
    1592        0       43   100.0%           14       6536
    3687        0     1777   100.0%           14       6536
    1583        0        0   100.0%           14       6536
    1582        0        0   100.0%           14       6536
    8460        0      149   100.0%            3       5536
    1582        0        0   100.0%            3       2586
    6662     1792       16    78.8%            7        195
   40896     2085      276    95.1%            7        197

Ending tracing...
