Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1622        2        0    99.9%            9        212
    1616        2        0    99.9%            9        212
    1619        0        0   100.0%            9        212
    1613        1        0    99.9%            9        212
  -28495   145193      199   -24.4%           11        681
  164479   159048    35977    50.8%           11       1381
  530226   178258    39605    74.8%           11       2279
  633535   168779    38522    79.0%           11       3095
  711756   158776    43261    81.8%           11       3934
  771746   162517    45529    82.6%           11       4794
  882784   167188    47659    84.1%           11       5672
  975315   167126    45459    85.4%           11       6518
  957386   146806    41953    86.7%           12       7080
 1038416   146447    44405    87.6%           12       7881
 1131198   140561    42907    88.9%           12       8617
 1131652   137209    38902    89.2%           12       8289
 1164487   134031    42871    89.7%           12       9021
 1284649   139755    45468    90.2%           12       9786
 1310256   132324    48757    90.8%           12      10492
 1307915   123393    38715    91.4%           12      10586
 1414506   126790    43620    91.8%           12      11287
 1381262   113058    39307    92.4%           12      11905
 1497485   111422    39701    93.1%           12      11886
 1592683   113450    46366    93.4%           12      12515
 1573717   103886    41648    93.8%           12      12658
 1591323   107884    40791    93.7%           12      13280
 1757103   109275    43928    94.1%           12      13911
 1714942    99127    43196    94.5%           12      14464
 1802414    93186    40223    95.1%           12      15019
 1916548    91424    40188    95.4%           12      15214
 2033758    90232    38047    95.8%           13      14899
 2084081    84839    40372    96.1%           13      15401
 2148755    75056    43399    96.6%           13      15644
 2282320    75758    41095    96.8%           13      15762
 2343572    60266    40883    97.5%           13      15991
 2613136    57224    39386    97.9%           13      16260
 2853937    43680    36705    98.5%           13      16248
 3389560    22970    40926    99.3%           13      16504
 2669794    56776    38918    97.9%           13      16570
 2084720    73236    36387    96.6%           13      17023
 2262907    73497    40054    96.9%           13      17175
 2180120    66244    36742    97.1%           13      17600
 2268157    67021    37512    97.1%           13      18032
 2298736    64891    36228    97.3%           13      18449
 2201021    60015    33456    97.3%           13      18836
 2423736    64152    37722    97.4%           13      19201
 2329237    56227    40162    97.6%           13      19193
 2487385    62524    39355    97.5%           13      18639
 2496274    59761    38556    97.7%           13      19044
 2442437    56263    35040    97.7%           13      19192
 2486545    56943    35969    97.8%           13      19191
 2442722    82444    38578    96.7%           14      19089
 2387675    82348    36426    96.7%           14      19189
 2413233    85440    35462    96.6%           14      19188
 2361183    86396    34963    96.5%           14      19185
 2340655    62138    33410    97.4%           14      18827
 2460540    61779    40597    97.6%           14      19190
 2365514    56893    36910    97.7%           14      19193
 2431905    60360    37406    97.6%           14      19191
 2400746    61996    34948    97.5%           14      19192
 2302240    60456    33423    97.4%           14      19193
 2357313    81783    38748    96.6%           14      19192
 2302528    88100    36469    96.3%           14      19192
 2224347    89221    35479    96.1%           14      19190
 2308336    94686    38012    96.1%           14      19189
 2217936    92697    40003    96.0%           13      19189
 2234889    95322    37502    95.9%           13      19186
 2221679    95284    38018    95.9%           13      19182
 2112135    91455    35886    95.8%           13      19182
 2176210    96342    36987    95.8%           13      19179
 2157453    99923    38015    95.6%           14      19176
 2238788    69785    34490    97.0%           14      17846
 2317142    73684    38833    96.9%           14      18162
 2338236    71407    38467    97.0%           14      18358
 2227973    63031    42600    97.2%           14      18778
 2359308    70613    39045    97.1%           14      19179
 2240304    62041    34390    97.3%           14      18704
 2311262    99475    42339    95.9%           14      19178
 2239786    91069    35446    96.1%           14      19178
 2276592    93204    36219    96.1%           14      19177
 2293426    95109    36345    96.0%           14      19175
 2291984    78530    34526    96.7%           14      18661
 2251088    78273    41426    96.6%           14      19164
 2206772    91368    35583    96.0%           14      19173
 2149932    85748    40273    96.2%           14      19169
 2203029    94872    35366    95.9%           14      19170
 2126532    92999    34461    95.8%           14      19168
 2244607    70283    34298    97.0%           14      19154
 2318103    68185    42046    97.1%           14      18681
 2319164    70294    38023    97.1%           14      19124
 2303370    67349    34172    97.2%           14      19166
 2156193    61919    34652    97.2%           14      19168
 2265185    68619    35036    97.1%           14      19167
 2282421    69336    37812    97.1%           14      19164
 2183341    67235    31754    97.0%           14      19080
 2327117    71414    38344    97.0%           14      19173
 2320907    74995    31466    96.9%           14      18534
 2188366    96489    41494    95.8%           15      19118
 2255018    92364    35845    96.1%           15      19166
 2205461    90696    34678    96.1%           15      19165
 2145737    88380    33181    96.0%           15      19164
 2210848    93455    35447    95.9%           15      19160
 2344376    83341    43714    96.6%           15      18802
 2336642    69112    37699    97.1%           15      19167
 2235615    65054    34162    97.2%           15      19163
 2328744    67175    37423    97.2%           15      19162
 2238290    89614    38083    96.2%           15      19166
 2207931    92988    36474    96.0%           15      19163
 2123761    90196    35963    95.9%           15      19162
 2178996    94717    36923    95.8%           15      19158
 2191020    96567    37245    95.8%           15      19157
 2165486    97332    39682    95.7%           15      19158
 2060052    91657    35054    95.7%           15      19154
 2222023   103025    40299    95.6%           16      18974
 2098686    97213    38271    95.6%           16      19165
 2110298    96164    36222    95.6%           16      19163
 2009974    95787    35335    95.5%           16      19162
 2067633   101071    36473    95.3%           16      19159
 2039173   102650    36473    95.2%           16      19158
 2009652   102482    34639    95.1%           16      18277
 1996928   108295    42934    94.9%           16      18896
 1946403    96666    39318    95.3%           16      19164
 2002436   101968    36985    95.2%           16      19161
 1991429   101576    36724    95.1%           16      19163
 1971072    99750    31812    95.2%           16      18309
 1922336   101442    39747    95.0%           16      18918
 2020774   103158    38014    95.1%           16      19163
 1915197    95682    34033    95.2%           16      19161
 2030793   101974    35867    95.2%           16      19158
 2007572   103163    36218    95.1%           16      19157
 1908830   101272    36926    95.0%           16      19157
 1951732   104033    34629    94.9%           16      19155
 1887300   101218    33137    94.9%           16      19154
 1952125    87522    27957    95.7%           16      17270
 2084221    84056    37878    96.1%           17      17602
 2058948    76088    37748    96.4%           17      17957
 2170478    88300    39534    96.1%           17      18360
 2047315    73036    34726    96.6%           17      18817
 2194013    75535    36615    96.7%           17      19157
 2147787    71546    33709    96.8%           17      19073
 2188753    73992    32437    96.7%           17      19165
 2189769    74307    34176    96.7%           17      19162
 2173169    74655    33916    96.7%           17      19158
 2203250    75598    34944    96.7%           17      19158
 2219531    74886    33503    96.7%           17      18638
 2295493    74442    41886    96.9%           17      18992
 2214975    67202    36852    97.1%           17      19161
 2246024    71610    33037    96.9%           17      19160
 2272058    68781    39692    97.1%           17      19158
 2233629    66267    32802    97.1%           17      18733
 2319160    71195    37510    97.0%           17      19159
 2309711    69073    33693    97.1%           17      19157
 2255944    66174    33238    97.2%           17      19156
 2335851    67903    34429    97.2%           17      19161
 2306596    66807    32636    97.2%           17      19159
 2295608    66834    32423    97.2%           17      19157
 2310057    66272    31642    97.2%           17      19154
 2276634    84508    37128    96.4%           17      18905
 2316384    91826    37795    96.2%           17      19160
 2309958    89540    33265    96.3%           17      19159
 2305410    90131    33141    96.2%           17      19158
 2222917    88683    34310    96.2%           17      19156
 2244510    90756    35189    96.1%           17      19155
 2210046    91346    34675    96.0%           17      19154
 2164378    91338    35965    96.0%           17      19152
 2226495    91103    33171    96.1%           17      19151
 2176868    91270    33139    96.0%           17      19151
 2174447    91555    34982    96.0%           17      19146
 2237110    96372    35001    95.9%           18      18092
 2138492    88932    41312    96.0%           18      18636
 2234234    59722    45763    97.4%           18      19091
 2182080    62229    40278    97.2%           18      19160
 1042968   109159    37104    90.5%           18      18836
 1065352   109343    37172    90.7%           18      19157
 1064360   105571    40699    91.0%           18      19157
 1084080   112436    39204    90.6%           18      19144
 1057780   116580    36286    90.1%           18      19158
