Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1542      103        0    93.7%            7        197
    2099        0       44   100.0%            7        199
    1613        0        0   100.0%            7        199
    1591        0        0   100.0%            7        199
    5114      308     3014    94.3%            9        210
  -11220   131290    49638    -9.3%           10        817
  979884   107633   184042    90.1%           10       1540
 1771979    77294   195072    95.8%           10       2195
 2293378    49118   206391    97.9%           11       2287
 2825915    25861   225524    99.1%           11       2812
 2882494    20988   173204    99.3%           11       3159
 3501611    22072    54305    99.4%           11       3400
 2936572    41082   110933    98.6%           11       3907
 2350962    54573   192516    97.7%           11       3677
 2778330    56169   196754    98.0%           12       4242
 3304135    63001    96131    98.1%           12       4617
 3373182    64236    47841    98.1%           12       5083
 3356583    64076    44787    98.1%           15       5539
 3579581    30911    54428    99.1%           15       5896
 3593579    21549    55752    99.4%           15       6214
 3509292    20914    55709    99.4%           15       6519
 3447276    20452    53784    99.4%           15       6817
 3321376    19980    54234    99.4%           15       7103
 3292837    18431    60332    99.4%           16       6326
 3289377    18598    51296    99.4%           16       6622
 1965847    48096   152701    97.6%           16       5707
 1855072    39742   181108    97.9%           16       6193
 2355107    29837   182752    98.7%           16       6642
 2513977    22603   178997    99.1%           16       7114
 2836984    20201   200905    99.3%           17       7479
 3067967    17881    71099    99.4%           17       7741
 3192265    18099    51025    99.4%           17       8016
 3235283    18556    50027    99.4%           17       8300
 3237178    18167    50160    99.4%           17       8584
 3210923    18381    47460    99.4%           17       8858
 3208019    17896    50052    99.4%           17       9139
 3149249    17620    46707    99.4%           17       9408
 2481398    34679    83245    98.6%           17       8169
 1528682    43489   200523    97.2%           17       7881
 2219509    39613   185896    98.2%           18       8166
 2588260    24783   221593    99.1%           18       8574
 2569195    17501   206485    99.3%           18       9011
 3000405    16996   134412    99.4%           18       9258
 3251693    17117    51418    99.5%           18       9530
 3243295    17138    49540    99.5%           18       9794
 3103064    16279    48052    99.5%           18      10059
 3236662    16926    50502    99.5%           18      10335
 3226603    16618    51236    99.5%           18      10620
 3226638    16664    48273    99.5%           18      10887
 3218142    16631    48725    99.5%           19      11160
 3151446    13253    59410    99.6%           19      10182
 3231879    15927    49518    99.5%           19      10448
 3242775    16064    48475    99.5%           19      10721
 3240540    15980    48986    99.5%           19      10990
 2839570    32508    87580    98.9%           19      11397
 1736759    74518   154856    95.9%           19      10335
 2153515    56364   193696    97.4%           19      10837
 2508269    49933   199349    98.0%           19      11296
 2576784    40384   177685    98.5%           20      11762
 2890185    40927   127218    98.6%           20      12109
 3256324    49179    45802    98.5%           20      12499
 3209379    46203    43177    98.6%           20      12872
 3208253    49548    45150    98.5%           20      13267
 3279347    17580    52043    99.5%           20      13550
 3229464    15463    44600    99.5%           20      12499
 3261779    15329    50548    99.5%           20      12586
 3266758    15668    50601    99.5%           20      12488
 3186341    15052    58000    99.5%           20      12780
 3202161    14516    50804    99.5%           20      12792
 3266604    14683    51456    99.6%           20      13065
 3303328    14950    51917    99.5%           20      13328
 3268028    14633    52132    99.6%           20      13591
 3263939    14908    49145    99.5%           20      13850
 3273357    14471    45399    99.6%           21      14092
 3238718    14485    45154    99.6%           21      14336
 3315555    14613    48777    99.6%           21      14597
 3318699    14827    49613    99.6%           21      14850
 2633430    27054    94812    99.0%           21      14242
 1772411    35107   192542    98.1%           21      13679
 2336650    26246   197065    98.9%           21      13792
 2635319    20250   202306    99.2%           21      14219
 2856042    16948   199159    99.4%           22      14295
 2909888    14019   130633    99.5%           22      14392
 3260297    14769    48477    99.5%           22      14655
 3285002    14684    46921    99.6%           22      14459
 3257793    14887    51182    99.5%           22      14730
 3290921    14607    51213    99.6%           22      15002
 3290744    12032    54255    99.6%           22      15272
 3268448    14585    50708    99.6%           22      15539
 3208227    14269    51019    99.6%           22      15809
 3316032    14190    53510    99.6%           22      15917
 3309992    13896    47560    99.6%           22      16173
 3306526    14319    46667    99.6%           22      16425
 3274130    13770    46941    99.6%           22      16679
 3258810    13884    46383    99.6%           23      16928
 2202251    42651    98447    98.1%           23      15349
 2012514    34189   190269    98.3%           23      15735
 2398934    24221   195178    99.0%           23      15798
 2690639    18764   203010    99.3%           23      16041
 2753777    21012   184003    99.2%           24      16295
 3034166    13344    94420    99.6%           24      16522
 3283001    13606    51133    99.6%           24      16790
 3298481    14001    50935    99.6%           24      17046
 3306404    13700    49425    99.6%           24      17294
 3248345    13504    45814    99.6%           24      17532
 3287069    13794    51944    99.6%           24      17790
 3257685    13342    42729    99.6%           24      16840
 3248669    13502    52034    99.6%           24      17105
 3229891    13296    49745    99.6%           24      17159
 3142360    12878    55014    99.6%           24      16923
 3271453    12925    51057    99.6%           24      17184
 3258915    12922    49792    99.6%           24      17437
 3230314    12792    48112    99.6%           24      17687
 3271471    12788    50341    99.6%           24      17947
 3281319    12398    56453    99.6%           24      18218
 3256523    12750    48529    99.6%           25      18469
 3152779    12398    52302    99.6%           25      18511
 3297718    12125    48742    99.6%           25      18763
 3307119    12350    46906    99.6%           25      19008
 3259609    12156    46438    99.6%           25      19248
 3231364    13837    46917    99.6%           25      19293
 1743044    42057   131622    97.6%           25      17439
 1979803    32546   195170    98.4%           25      17810
 2523661    24506   208715    99.0%           25      18241
 2774246    27596   201642    99.0%           26      18655
 2941234    33402   192816    98.9%           26      19085
 3074387    14294   135400    99.5%           27      18515
 3455926    13709    51467    99.6%           27      18582
 3413729    13086    52334    99.6%           28      18660
 3402299    12881    53300    99.6%           28      18930
 3314036    12856    47043    99.6%           28      18980
 3299410    12697    48660    99.6%           28      18990
 3345291    12967    48689    99.6%           28      18998
 3309731    13106    50797    99.6%           28      19057
 3296748    12376    56244    99.6%           28      19019
 3326313    12289    47838    99.6%           28      19266
 3288437    12128    42998    99.6%           28      19306
 3288571    12338    42135    99.6%           28      19293
 3276396    12340    43008    99.6%           28      19279
 3274940    12547    41934    99.6%           28      19266
 3334686    12731    45173    99.6%           28      19251
 3296590    12796    42553    99.6%           28      19238
 3282486    10551    49279    99.7%           28      19227
 3231730    12235    52706    99.6%           28      19132
 3368407    12798    47036    99.6%           28      19273
 3370427    12847    43699    99.6%           28      19264
 3281604    12532    42410    99.6%           28      19252
 2021640    43906   116453    97.9%           28      17136
 1850926    40893   187855    97.8%           28      17438
 2374069    29041   185387    98.8%           29      17861
 2715234    17989   198374    99.3%           29      18287
 2883876    14192   203285    99.5%           29      18668
 3061127    13224    92882    99.6%           29      18212
 3233321    13026    45565    99.6%           29      18455
 3247039    13088    46503    99.6%           29      18498
 3316432    13389    50367    99.6%           29      18747
 3321147    13074    47743    99.6%           29      18730
 3274657    13097    46613    99.6%           29      18716
 3284586    13254    47942    99.6%           29      18772
 3248668    13172    47159    99.6%           29      18829
 3154740    10054    58487    99.7%           29      18661
 3297749    12585    50302    99.6%           29      18923
 3305329    12660    49908    99.6%           30      18979
 3299465    12759    48922    99.6%           30      18977
 3280398    12640    50967    99.6%           30      19238
 3256913    12330    45296    99.6%           30      19262
 3265202    12733    46293    99.6%           30      19248
 3253086    12984    44837    99.6%           30      19233
 3263670    12274    56336    99.6%           30      19148
 3267590    12342    45899    99.6%           30      19274
 3258930    12453    46193    99.6%           30      19262
 3302878    12522    43693    99.6%           30      19250
 3306169    12878    45758    99.6%           30      19239
 3331750    13048    44356    99.6%           30      19227
