Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    2102       92        0    95.8%            7        199
    1615        0        0   100.0%            7        199
    1585        0       42   100.0%            7        200
    2967    79112     3334     3.6%           10        444
   85119   139117    53054    38.0%           10       1386
  344664   121688    64525    73.9%           10       2148
  565684   127907    84798    81.6%           11       2963
  734857    93511    82268    88.7%           11       3706
  936030    88083    94440    91.4%           11       4260
  874622    85181    89104    91.1%           11       4566
 1093696    80079    96541    93.2%           11       5228
 1259324    74454    95826    94.4%           12       5731
 1324004    63945    92033    95.4%           12       6321
 1203848    65140    90859    94.9%           13       6310
 1209524    61806    90241    95.1%           13       6829
 1306146    56132    98127    95.9%           13       7350
 1504681    55679    98975    96.4%           13       7783
 1627688    53863    41612    96.8%           13       8235
 1689810    53037    34021    97.0%           13       8603
 1738044    52949    29730    97.0%           13       9008
 1518359    58848    40913    96.3%           13       9163
 1274328    71053    77658    94.7%           13       9059
 1322174    58239    77591    95.8%           13       9385
 1429907    52341    80013    96.5%           14       9845
 1469331    47125    81610    96.9%           14      10287
 1667452    47240    48070    97.2%           14      10654
 1750161    48211    29222    97.3%           14      11035
 1740052    46882    33958    97.4%           14      11403
 1827532    43394    31649    97.7%           14      11742
 1785965    44603    28235    97.6%           14      12112
 1747137    42918    25734    97.6%           14      12467
 1722263    41552    23189    97.6%           14      12810
 1727588    40754    23284    97.7%           14      13156
 1273088    73088    62758    94.6%           14      13052
 1258183    77563    80146    94.2%           14      12915
 1351024    70692    81646    95.0%           14      13470
 1416751    62104    76204    95.8%           14      13979
 1490262    52032    72337    96.6%           15      14460
 1650926    45561    76777    97.3%           15      14857
 1647327    36808    53278    97.8%           15      14583
 1791151    37564    27061    97.9%           15      14904
 1751467    35929    25411    98.0%           15      15217
 1795313    35073    31546    98.1%           15      15491
 1846865    35046    26113    98.1%           15      15811
 1850492    34651    26323    98.2%           15      16125
 1833369    33712    25630    98.2%           15      16432
 1842210    33414    25190    98.2%           15      16733
 1851124    32845    28001    98.3%           15      17041
 1900393    33411    24903    98.3%           15      17349
 1892643    32767    24905    98.3%           15      17653
 1839563    31172    24010    98.3%           15      17947
 1845720    30848    32265    98.4%           15      18261
 1883905    29674    23588    98.4%           15      18496
 1950359    30402    23498    98.5%           15      18787
 1467715    51892    44180    96.6%           15      18775
 1087555    61829    83829    94.6%           15      17837
 1319416    53691    80801    96.1%           16      18160
 1454872    51596    78521    96.6%           16      18395
 1575664    55631    78962    96.6%           16      18867
 1699872    52246    73457    97.0%           16      19205
 1750332    48891    65519    97.3%           16      19218
 1758707    45825    64754    97.5%           16      19188
