Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1761      314        0    84.9%            7        198
    1586        0        0   100.0%            7        199
    1599        0       38   100.0%            7        199
    1585        0        0   100.0%            7        199
    5179      550     3015    90.4%            9        211
  -10056    98959      185   -11.3%           10        596
   38758    30877    15576    55.7%            6        196
   13229        0       45   100.0%            6        198

Ending tracing...
