Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    2635    34821        0     7.0%            8        399
  -18281    36383    21056  -101.0%            8        622
     259    36543     2522     0.7%            8        904
    2724    35966     6955     7.0%            8       1079
    6334    36756    21285    14.7%           10       1415
  -48462    36352    51200   400.2%           10       1766
    2754    36160        0     7.1%           10       1916
  -48454    36524    51289   406.2%           10       2267
    2749    36448        0     7.0%           10       2417
  -48436    36577    51230   408.4%           10       2769
    2738    36705        0     6.9%           10       2921
  -48442    37024    51200   424.3%           10       3274
    2713    36768        0     6.9%           10       3426
  -48420    37248    51200   433.4%           10       3780
   -3661    36543     6395   -11.1%           10       3954
  -15278    36640    18047   -71.5%           10       4283
  -48466    36354    51205   400.1%           10       4635
    2734    37408        0     6.8%           10       4789
  -48431    36769    51230   415.3%           10       5142
    2767    36896        0     7.0%           10       5292
  -48467    36449    51200   403.3%           10       5640
    2732    36384        0     7.0%           10       5787
  -48459    36929    51200   420.3%           10       6136
    4553    36994     5248    11.0%           10       6295
  -48422    37312    51200   435.8%           10       6646
    2629    36737       92     6.7%           10       6795
  -48396    37056    51200   426.8%           10       7146
    2743    36704        0     7.0%           10       7295
  -43585    37376    46394   702.0%           10       7646
  -48455    36064    51200   391.0%           10       7992
    2787    37696        0     6.9%           10       8145
  -48429    36608    51200   409.7%           10       8493
    2782    37568        0     6.9%           10       8646
  -48430    37419    51288   439.8%           10       8997
    2845    38752        0     6.8%           10       9156
  -48354    38558    51205   493.6%           10       9512
    2774    37696        0     6.9%           10       9665
  -48423    36832    51230   417.8%           10      10015
    2747    36576        0     7.0%           10      10163
  -48361    38688    51200   500.0%           10      10520
    2815    38457        0     6.8%           10      10676
  -48377    38593    51200   494.5%           10      11032
    9614    34920     3006    21.6%           10      11186
  -48415    38625    51200   494.5%           10      11543
    3631    36194        6     9.1%           10      11689
  -47160    38720    51204   558.8%           10      12046
    5158    37505        8    12.1%           10      12198
  -47274    37499    51241   483.6%           10      12551
    5168    38496        8    11.8%           10      12707
  -46158    35456    51208   431.3%           10      13051
    5012    37632        4    11.8%           10      13204
  -47291    36608    51202   442.7%           10      13553
    7652    37440     3006    17.0%           10      13705
  -48424    37504    51200   443.4%           10      14057
    2786    36929        6     7.0%           10      14208
  -48459    35872    51200   385.0%           10      14553
    6193    37889       43    14.0%           10      14707
  -48395    38656    51200   496.9%           10      15064
    3910    38272        2     9.3%           10      15219
  -48392    38752    51200   502.0%           10      15577
   -3216    34943     5912   -10.1%           10      15739
  -18148    38084    28532   -91.0%           10      16073
    2749    37312        0     6.9%           10      16224
  -48429    37473    51200   442.0%           10      16576
    3897    37570        5     9.4%           10      16728
  -42991    38112    45815   881.1%           10      17083
  -34700    36855    37501 -1610.2%           10      17376
    3586    38944        0     8.4%           10      17590
    2743    36832        0     6.9%           10      17740
  -47712    37633    51200   473.4%           10      18092
  -47685    37824    51200   483.6%           10      18446
    7278    34986     3094    17.2%           10      18589
    3560    38048        0     8.6%           10      18743
  -48403    39137    51205   522.4%           10      19102
    2822    37600        0     7.0%           10      19255
  -47630    38721    51230   534.6%           10      19612
  -47750    35104    51200   377.6%           10      19955
    3518    38228        0     8.4%           10      20109
  -34810    36253    37532 -2412.3%           10      20404
    2813    38560        0     6.8%           10      20613
  -36676    33227    49286  1063.4%           10      20937
    2774    37920        0     6.8%           10      21115
  -37352    34109    40003  1151.8%           10      21409
    2850    39137        6     6.8%           10      21613
    2732    36800        0     6.9%           10      21762
  -48407    38593    51230   493.2%           10      22118
  -48418    36800    51200   416.7%           10      22468
    2705    36160        0     7.0%           10      22614
  -48442    36576    51200   408.2%           10      22963
    2810    38336        0     6.8%           10      23119
    6756    33196     5240    16.9%           10      23263
  -47912    37936    51243   480.3%           11      23615
  -48479    35265    51207   366.9%           11      23959
    2805    37856        0     6.9%           11      24113
  -48456    35521    51230   374.6%           11      24455
    2803    38176        0     6.8%           11      24612
    2757    35616        0     7.2%           11      24756
  -48478    35680    51200   378.8%           11      25101
  -32399    34814    35104 -1341.6%           11      25375
    8571    38949     3049    18.0%           11      25600
    2775    37344        0     6.9%           11      25751
  -48356    39008    51200   517.3%           11      26108
    2783    36874    33757     7.0%           11      26390
    2793    38059     7478     6.8%           11      26613
    2703    34620    51234     7.2%           11      26954
    2814    38368        0     6.8%           11      27109
