Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    4834     2050     4458    70.2%           10        223
    2863        0     3927   100.0%           10        245
    1500        0      112   100.0%           10        245
    2342      362        4    86.6%           11        246
    1644        0        4   100.0%           11        246
    1653        0        0   100.0%           11        246
    1901        0      201   100.0%           11        246
    1626        0        0   100.0%           11        246
    1676        0        0   100.0%           11        246
    3798        0     1870   100.0%           11        246
    1639        0        0   100.0%           11        246
    1555        0       87   100.0%           11        246
    1640        0        0   100.0%           11        246
    1629        0        0   100.0%           11        246
    1671        0    12788   100.0%           11        293
    1687        0   184616   100.0%           11       1066
    2031       30   177262    98.5%           11       1817
 -214496        0   323411   100.0%           11       2294
 -503488        0   505162   100.0%           11       2294
 -490454        0   498917   100.0%           11       2294
 -467526        0   469205   100.0%           11       2294
 -469021        0   471013   100.0%           11       2294
 -461500        0   464081   100.0%           11       2294
 -446799        0   448425   100.0%           11       2294
 -378204        0   379888   100.0%           11       2294
    1639        0        0   100.0%           11       2294
    1631        0        0   100.0%           11       2079
    1640        0        0   100.0%           11       1716
    5451        0    60725   100.0%           11       1934
    1554        0   184091   100.0%           11       2698
    1653        0   189284   100.0%           11       3485
 -368331        0   428551   100.0%           11       3763
 -522840        0   526165   100.0%           11       3763
 -470408        0   472915   100.0%           11       3513
 -398488        0   400149   100.0%           11       2295
 -352140        0   353813   100.0%           11       2294
 -278649        0   280263   100.0%           11       2294
 -300541        0   309010   100.0%           11       2294
 -281806        0   283454   100.0%           11       2294
 -277196        0   278806   100.0%           11       2294
 -172866        0   234907   100.0%           11       2527
    1848       11   174893    99.4%           11       3240
    2036       13   163833    99.4%           11       3912
 -156797        0   260274   100.0%           11       4343
 -338227        0   340236   100.0%           11       4217
 -204176        0   205789   100.0%           11       3962
 -193802        0   195425   100.0%           11       1891
 -290258        0   291913   100.0%           11       2295
 -302931        0   304575   100.0%           11       2295
 -446087        0   447726   100.0%           11       2295
    1654        0   269463   100.0%           11       3352
    1625        0   222143   100.0%           11       4263
 -265290        0   278468   100.0%           11       4343
 -321595        0   323359   100.0%           11       4343
 -527160       27   529583   100.0%           11       4343
 -431695        0   433913   100.0%           11       3186
 -278659        0   287142   100.0%           11       3650
 -272223        0   273854   100.0%           11       4343
 -292700        0   294338   100.0%           11       4343
  -85734        0    87381   100.0%           11       4072
    1653        0        0   100.0%           11       3631
    1646        0        2   100.0%           11       2081
  -54309        0    55986   100.0%           11       2008
 -307603        0   309226   100.0%           11       2792
 -427703        0   429345   100.0%           11       3091
 -197180        0   359910   100.0%           11       3689
    1655        0   212555   100.0%           11       4563
  -33097        0   175255   100.0%           11       5139
 -423038        0   425475   100.0%           11       4705
 -460120        0   461764   100.0%           11       2295
 -373857        0   375500   100.0%           11       3482
 -395632        0   397314   100.0%           11       4343
 -452367        0   454021   100.0%           11       4343
 -436638        0   438262   100.0%           11       4343
 -421711        0   423351   100.0%           11       4343
    5468        0     3031   100.0%           11       4343
    1566        2       91    99.9%           11       3835
    1639        0        0   100.0%           11       3253
   14411     6651        6    68.4%           11       3049
 -204208        0   254244   100.0%           11       3384
 -326351        0   374853   100.0%           11       3744
 -418737    16493   451222   104.1%           11       3793
 -423310    16238   456789   104.0%           11       3842
 -423990    16796   455892   104.1%           11       3890
    7080     5259     9242    57.4%           11       3906
    9050     8269        0    52.3%           11       3609
   15722    31855        0    33.0%           11       1869
   75970    34864        5    68.5%           11       1957
   68858    36688        0    65.2%           11       2051
   80465    35488        0    69.4%           11       2148
   70089    46600       33    60.1%           11       2257
  295136    78746        0    78.9%           11       2397
   -4832    86371        0    -5.9%           11       2520
    5904    76794        0     7.1%           11       2644
    9525    77213     3029    11.0%           11       2768
   -8227    91989        0    -9.8%           11       2893
    3864    91639        0     4.0%           11       3026
  717516   146881        0    83.0%           11       3553
  997340    34858        0    96.6%           11       3776
  537857        1        5   100.0%           11       3777
    1643        0        0   100.0%           11       3777
    1638        0        0   100.0%           11       3777
    2070      552        0    78.9%           11       3778
   89129    19930     3029    81.7%           11       3829
   81205    20188        0    80.1%           11       3880
   79609    19528        0    80.3%           11       3930
   80678    19467        0    80.6%           11       3980
   79872    19754        0    80.2%           11       4030
   81098    18692        0    81.3%           11       4081
   81636    19683       36    80.6%           11       4131
   79361    19903        0    79.9%           11       4181
   80713    19741        0    80.3%           11       4232
   85011    17055     3029    83.3%           11       4281
   26025    63288        0    29.1%           11       4399
   17058    72106        0    19.1%           11       4534
   16344    72236        0    18.5%           11       4667
   16388    70652        0    18.8%           11       4797
   17399    69286        0    20.1%           11       4928
   29569    68489       33    30.2%           11       5056
 1173904   198898        0    85.5%           11       5824
  923690        0        0   100.0%           11       5825
    1626        0        0   100.0%           11       5825
    5506        0     3030   100.0%           11       5825
    1643        0        0   100.0%           11       5825
 -201016        0   202658   100.0%           11       5825
 -289133        0   290762   100.0%           11       5825
 -506895        0   508516   100.0%           11       5825
 -295272        0   296922   100.0%           11       5825
 -328414        0   330073   100.0%           11       4051
 -416908        0   418532   100.0%           11       2297
 -495284     3094   496923   100.6%           11       2309
 -508549     7325   522532   101.5%           11       2360
 -463954        0   476410   100.0%           11       2405
 -280537        0   284486   100.0%           11       2414
 -146428        0   150745   100.0%           11       2299
    1640     2812        0    36.8%           11       2310
    1621    16054        0     9.2%           11       1819
    1644    23755       34     6.5%           11       1551
    4740    24608        0    16.2%           11       1654
   40914    16220        0    71.6%           11       1720
   12524    15285      957    45.0%           11       1775
  395601    22045        0    94.7%           11       1843
  151116    17927        0    89.4%           11       1894
   54858    39845        0    57.9%           11       1977
   19389    67552        0    22.3%           11       2108
   20002    68500        0    22.6%           11       2240
   14533    71579       33    16.9%           11       2372
   13671    71893        0    16.0%           11       2499
   13568    72134        0    15.8%           11       2628
  663538   137331        0    82.9%           11       3031
 1529352    75551     5268    95.3%           11       3469
   84891        0        0   100.0%           11       3470
    1641        0        0   100.0%           11       3470
 -113624        0   115268   100.0%           11       3918
 -239886        0   241539   100.0%           11       4903
 -318703        5   320391   100.0%           11       5517
 -456230        0   457869   100.0%           11       5517
 -425072        0   426711   100.0%           11       5517
 -543615        0   545230   100.0%           11       5517
 -505908        0   514760   100.0%           11       5517
 -464092        0   466480   100.0%           12       5517
 -294190        0   295817   100.0%           12       5517
 -452638        0   454278   100.0%           12       2959
 -183544        0   185158   100.0%           12       2307
    1641     1165        0    58.5%           12       2055
    1649    12614       32    11.6%           12        275
    1644    12113        0    12.0%           12        324
    1627    11117        0    12.8%           12        372
   10710     8679     3059    55.2%           12        422
    5161    16032        0    24.4%           12        481
  214178    28510        0    88.3%           12        573
  406357    20314        0    95.2%           12        626
   79284    20094        0    79.8%           12        677
   81039    20707        0    79.6%           12        728
   71108    26267       33    73.0%           12        787
   15227    75126        0    16.9%           12        921
   15053    72421        0    17.2%           12       1053
   15803    71603        0    18.1%           12       1184
   20819    71200     3029    22.6%           12       1316
   17477    72742        0    19.4%           12       1451
  561825    80191        0    87.5%           12       1632
 1279345   143209        0    89.9%           12       2308
  375069        0        0   100.0%           12       2308
    1663        2       33    99.9%           12       2308
  -28000        0    29640   100.0%           12       2422
 -226751        0   228394   100.0%           12       3342
 -220787        0   222428   100.0%           12       4245
 -283015        0   291835   100.0%           12       4356
 -298628        0   300259   100.0%           12       4077
 -404163        0   405774   100.0%           12       2308
 -322875        0   324552   100.0%           12       2308
 -337612        0   343365   100.0%           12       2324
 -286251        0   290516   100.0%           12       2335
 -365540        0   376610   100.0%           12       2339
 -325576        0   335084   100.0%           12       2372
 -297115        0   301557   100.0%           12       2384
 -266010        0   273743   100.0%           12       2320
 -266710        0   280653   100.0%           12       2348
   -7764        0    18334   100.0%           12       2344
    1693     8059        0    17.4%           12       2377
   26642    33767        0    44.1%           12       1295
   26179    29798        0    46.8%           12       1391
  102266    25446       34    80.1%           12       1478
  102907    25571        0    80.1%           12       1555
  309687    20641        0    93.8%           12       1607
   82534    19798        0    80.7%           12       1659
