Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    9322     2225     4118    80.7%            8        222
    1615        4        0    99.8%            8        224
    1599        0        0   100.0%            8        224
    5907      560     3148    91.3%            9        236
    1628        0        4   100.0%            9        236
    1600        0        0   100.0%            9        236
    1583        0        0   100.0%            9        236
    1763        0      127   100.0%            9        236
    1611        0        0   100.0%            9        236
    1614        0        0   100.0%            9        236
    1610        0        0   100.0%            9        236
    1613        0        0   100.0%            9        236
    3373        0     3030   100.0%            9        236
    1614        0        0   100.0%            9        236
    1601        0      890   100.0%            9        237
    1596        0   172842   100.0%            9        951
    1799        0   171687   100.0%            9       1669
 -115735        0   258708   100.0%            9       2284
 -512088        0   513682   100.0%            9       2284
 -500525        0   502128   100.0%            9       2284
 -452594        0   454208   100.0%            9       2284
 -460630        0   467265   100.0%           10       2284
 -447099        0   449731   100.0%           10       2284
 -446684        0   448291   100.0%           10       2284
 -455237        0   456837   100.0%           10       2284
    1654        0       30   100.0%           10       2284
    1498        0      108   100.0%           10       2162
    1613        0        0   100.0%           10       1700
    1618        0    10372   100.0%           10       1738
    1610        0   188120   100.0%           10       2643
    3374        0   198242   100.0%           10       3458
 -371361        2   434032   100.0%           10       3746
 -540929        0   542546   100.0%           10       3746
 -538178        0   539793   100.0%           10       3746
 -492846        1   494469   100.0%           10       3746
 -490496        0   493345   100.0%           10       3746
 -445700        0   448066   100.0%           10       2381
 -312950        0   314540   100.0%           10       2285
 -223410        0   228231   100.0%           10       2296
    1886       11   255325    99.4%           10       3342
    3503        3   219272    99.9%           10       4252
    2175       27     8420    98.8%           10       4341
    2541      184       38    93.2%           11       3739
    1514        0      112   100.0%           11       2637
    1611        0        0   100.0%           11       2417
    1598        0   101685   100.0%           11       2805
    1616        0   198940   100.0%           11       3663
    1744        0   179144   100.0%           11       4406
 -297304        0   309401   100.0%           11       4809
 -382702        0   384304   100.0%           11       5058
 -406305        0   407901   100.0%           11       5058
 -262043        0   263651   100.0%           11       5058
 -360610        0   362628   100.0%           11       5058
 -462287       28   464672   100.0%           11       5058
 -459885        9   461768   100.0%           11       2294
 -475314        0   476914   100.0%           11       2294
 -382407        1   384004   100.0%           11       2662
 -246505        0   248804   100.0%           11       3723
 -140602        0   142213   100.0%           11       4342
    1646        0        0   100.0%           11       4342
    1588        0        0   100.0%           11       3787
    1611        0        0   100.0%           11       3157
