Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -937073       76   938927   100.0%            4       2972
 -245121     1545   253749   100.6%            4       3725
    3768       53        2    98.6%            4       3725
  428249     9854   619881    97.8%           58       6116
  437673     3794   987226    99.1%           74      10180
  436057     3827   983713    99.1%           89      14159
  213517     1773   465841    99.2%           93      16247
  184019        0    23462   100.0%           96      16104
  267491       50        3   100.0%           96      16105
  267658       51        2   100.0%           96      16105
  267192       59        2   100.0%           96      16105
  273510       55        3   100.0%           96      16105
  256512        0    10448   100.0%           97      16105
    4249       44       13    99.0%           94       5726
  315398     8363   374106    97.4%          145       5174
  439245     3867   990930    99.1%          161       9254
  439095     3886   990566    99.1%          177      13313
  383768     2904   706315    99.2%           93      16247
  290146      994       14    99.7%           95      13628
  237310        0    23374   100.0%           96      13629
  276442       50        3   100.0%           96      13629
  282152       65        3   100.0%           96      13629
  285026       43        3   100.0%           96      13629
   59731        0     9423   100.0%           94       6618
    7982      982       87    89.0%           96       3748
  103287   330487    49719    23.8%           96       5229
  194395   627218    94456    23.7%           96       8196
  194647   628036    94675    23.7%           96      11174
  742766   481106   211004    60.7%           96      13774
 1066144   390826   252288    73.2%           96      16102
 1702319   282850   302007    85.8%           96      18113
 2247946   153687   339930    93.6%           96      19688
 2600634    74423   356916    97.2%           96      20965
 2833508    30797   359724    98.9%           96      22083
 2991970    13034   358707    99.6%           97      23132
 3124758     6036   356549    99.8%           97      24133
 3221603     2682   351948    99.9%           97      25105
 3329525     1459   348682   100.0%           97      26068
 3432182      626   357438   100.0%           97      27022
 3502474      422   338713   100.0%           97      27951
 3591407        0   334043   100.0%           97      28867
 3787785        0   333796   100.0%           97      29778
 3985854        0   340637   100.0%           97      30715
 3823083        0   329301   100.0%           97      31582
 1911060        0   141107   100.0%           97      31987
 1159144      201       14   100.0%           50      27603
  209032       48        0   100.0%           50      16109
  235155      388        0    99.8%           51       7183
  218412        0    12010   100.0%           53       2465
  336444        0     6502   100.0%           51       1534
 1043202     3764       20    99.6%           63        106
 1346842     3123        0    99.8%           76        104
 1359704     3090        2    99.8%           88        104
 1327861     5006        3    99.6%          108        105
 1169698     8201        3    99.3%          140        106
 1202048        0    19365   100.0%          167        106
 1161001     6237       11    99.5%          193        106

Ending tracing...
