Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -947534       92   949366   100.0%            4       3042
  -93452     1507   101527   101.6%            4       3700
    6222       45       65    99.3%            1       3700
    5716      188  1577209    96.8%            4      10868
    3865       55        3    98.6%            4      10869
    5865        0       96   100.0%            1      10152
    8893      796    57984    91.8%            4       4876
    6601      856   521320    88.5%            3       7795
    3719       51        3    98.6%            4       7796
    6986      508       73    93.2%            3       3699
    2966      744     7941    79.9%            4       3730
   24267     7675    74883    76.0%            4       4768
   24149     7677        2    75.9%            4       4797
   24222     7677        3    75.9%            4       4828
   24263     7656       29    76.0%            4       4869
   24158     7663        2    75.9%            4       4899
   24227     7678        2    75.9%            4       4928
   24159     7677        3    75.9%            4       4958
   24211     7698        4    75.9%            4       4988
   24177     7672       10    75.9%            4       5018
   24368     7693   107499    76.0%            4       5464
   24237     7678        2    75.9%            4       6112
   24147     7676        2    75.9%            4       6142
   24224     7679        2    75.9%            4       6172
   24162     7676        6    75.9%            4       6202
   24140     8021       22    75.1%            4       6240
   24225     7678        2    75.9%            4       6273
   24448     8070        3    75.2%            4       6303
   24182     7740        6    75.8%            4       6333
   21361     5120       11    80.7%            4       6353
  925615        0        2   100.0%            4       4577
    6439      943       15    87.2%            4       2147
   16275     1027       98    94.1%            4         99

Ending tracing...
