Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -235306        5   236968   100.0%            4       3138
  441067     2641        3    99.4%           35       3729
  430531     3169        2    99.3%           65       3729
  371845        0     9892   100.0%           89       3728
    2452        2        2    99.9%           56       3726
    2314       12        2    99.5%           56       3725
  160946        0   364749   100.0%           96       5947
  155831       32   352306   100.0%           97      10127
  153794        8   347609   100.0%           98      14282
  455162     1742        3    99.6%          120      16248
  492497     1151        0    99.8%          161      16248
  485980     1466        3    99.7%          178      16248
  486140     1584        2    99.7%          192      16249
   22510      905       13    96.1%          148      16137
   58964       42        2    99.9%          148      16137
   49837        0    13575   100.0%          148      16136
   63262        0       13   100.0%          148      16137
   60451        0        2   100.0%          148      16137
   52157        0        2   100.0%          149      16138
   16158        0     8529   100.0%          103      16137
    1604        0        0   100.0%          103       3987
  141934        0   320580   100.0%          146       5918
  149756       24   338369   100.0%          146      10088
  152273       26   344147   100.0%          147      14271
    1608        0        3   100.0%           93      16246
   76343       69        0    99.9%           95      16093
   81036        0        2   100.0%           95      16093
   88164        2        2   100.0%           95      16093
   80764        1        2   100.0%           96      16093
   92002        0        3   100.0%           96      16093
   44080        0    10834   100.0%           93      15844
    1604        0        0   100.0%           93       3787
    1610        0        0   100.0%           96       3747
   81511   259769    38991    23.9%           96       5775
   82663   263853    39638    23.9%           96       8777
  153447   235602    54196    39.4%           96      11684
  301993   189696    84841    61.4%           96      14294
  562906   134194   109547    80.7%           96      16616
  812751    82134   130448    90.8%           96      18613
  979101    43477   140899    95.7%           96      20160
 1122331    14424   144185    98.7%           96      21421
 1221474     6181   160272    99.5%           96      22571
 1255156     3758   145490    99.7%           96      23643
 1306588     1115   142633    99.9%           96      24671
 1350691      540   140865   100.0%           96      25692
 1432129      389   144421   100.0%           96      26698
 1481070      187   155889   100.0%           97      27691
 1528444        0   140114   100.0%           97      28674
 1529557        0   132982   100.0%           97      29638
 1570593       35   134267   100.0%           97      30629
 1646346        0   134044   100.0%           97      31603
 1683124        0   132196   100.0%           97      32567
   81999       18        0   100.0%           97      32909
   65654      149        6    99.8%           50      27673
   86297       20        2   100.0%           50      15363
   98301      390        2    99.6%           52       4528
  159254       55        6   100.0%           53       2278
  404016     1996       18    99.5%           57        106
  926703     2407        2    99.7%           69        106
  924588     2120        2    99.8%           82        105
  953014     1898        2    99.8%           93        105
  788142     6768        8    99.1%          129        105
  777362        0    19480   100.0%          157        106
  791418     4956        0    99.4%          181        106
  -77977        0   302975   100.0%          109        674

Ending tracing...
