Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
  -83810        0    85695   100.0%           57       1165
  -84068        0    85930   100.0%           57       1817
  -84271        0    86159   100.0%           57       2299
  -83844        0    85717   100.0%           57       2833
  -83991        0    85852   100.0%           57       3323
  -13328      708    17157   105.6%            1       3727
    2002      100        3    95.2%            4       3726
    2050       16       10    99.2%            4       3726
    2040       14        2    99.3%            4       3726
    8558      756       59    91.9%            3       3724
  124495        0   285407   100.0%           53       4818
  125742      998   279928    99.2%           61       6764
  123818      986   275359    99.2%           68       8662
  118199        0   299691   100.0%           76      10635
  120684     1099   268650    99.1%           84      12768
  123877     1638   273995    98.7%           92      14662
   48630        0   173507   100.0%           97      16244
    2379      246        3    90.6%           94      16246
   33339      858       18    97.5%           96      16108
   48426        0     4018   100.0%           96      16108
   52350        0       12   100.0%           96      16108
   53338        2        2   100.0%           96      16108
   51110        0     2885   100.0%           96      16108
   53108       26        2   100.0%           96      16108
   53256        0        6   100.0%           96      16108
   52895        0        2   100.0%           96      16108
   51705        0     1757   100.0%           97      16108
   53534      585        4    98.9%           97      16110
   52980        0       15   100.0%           97      16110
   50514        0     2822   100.0%           97      16110
  256080    15674        2    94.2%          146      16118
   62519       66        2    99.9%          146      16123
   45073        0       13   100.0%          146      16123
     592     4198        2    12.4%           66      13418
    1607        0        2   100.0%           66      10377
    1607        0        2   100.0%           66       7526
    1619        0       10   100.0%           66       3761
    1649        1        2    99.9%           66       3759
   81122     6328        3    92.8%           96       3760
  124184      513   276834    99.6%          117       5310
  128441     1135   286226    99.1%          125       7347
  115751        0   292147   100.0%          133       9342
  128195     1095   282919    99.2%          141      11288
  122338     1036   269499    99.2%          149      13253
  110489        0   284198   100.0%          157      15140
   32443      304    41414    99.1%           93      16248
    2331       17        4    99.3%           93      16250
   26153        0     8030   100.0%           96      16160
   51855        0       12   100.0%           96      16160
   53413      270        4    99.5%           96      16161
   53761        0        4   100.0%           97      16161
   52966        0        2   100.0%           97      16161
   55564       18       19   100.0%           97      16161
   52592        0        2   100.0%           97      16161
   50304        0     3177   100.0%           97      16161
   53407        3        2   100.0%           97      16161
   55489        2        6   100.0%           97      16161
   51346        0     2975   100.0%           97      16161
   52447       11        4   100.0%           97      16161
   52574        0       16   100.0%           97      16161
   53291       18        2   100.0%           97      16161
   46736        0     3195   100.0%           97      16162
    4997      104        8    98.0%           52      13494
    1614        0        6   100.0%           52      10658
    2770        0        4   100.0%           52       7815
    1638        0       19   100.0%           52       4999
    1641        1        2    99.9%           52       3746
   19969    51200     7550    28.1%           56       3932
   78869   255265    37867    23.6%           67       5826
   79061   255979    38330    23.6%           77       7701
   79566   244571    45778    24.5%           87       9540
  114518   242299    45492    32.1%           98      11486
  285852   185647    81803    60.6%           98      13183
  272455   177830    91133    60.5%           98      14833
  506593   116283    97553    81.3%           98      16191
  524480   106362    97768    83.1%           98      17488
  655503    65039   118046    91.0%           99      18475
  796734    36765   114859    95.6%           99      19393
  827588    32947   116876    96.2%           99      20213
  905557    19594   121564    97.9%           99      20913
  640592     6930    80619    98.9%           99      21501
  125179      338        3    99.7%           99      21501
    2445      161        7    93.8%           50      17506
   -5287        0     7032   100.0%           50      13486
    1607        0        2   100.0%           50       9271
   10309      798        8    92.8%           53       5517
   32953        0        2   100.0%           53       5517
   41085        1        3   100.0%           53       5518
   40611        0        2   100.0%           53       5519
   38956        0        2   100.0%           53       5519
   41251        9     3903   100.0%           54       5519
   31004        0       10   100.0%           54       5519
   28388        1        2   100.0%           54       5519
   35820        0     4553   100.0%           54       5519
   51270        5        2   100.0%           54       5519
   46284        1        8   100.0%           54       5519
   41538       30        7    99.9%           54       5519
    1532       78        3    95.2%           50       4468
    1606        0        3   100.0%           50       2525
    1601       11        3    99.3%           50        567
   46535     1081       20    97.7%           54        106
  126806      324        3    99.7%           57        106
  128774      303        3    99.8%           60        105
  127213      704        3    99.4%           64        105
  128221      579        2    99.6%           67        106
  129355      262        2    99.8%           70        106
  128043      335        3    99.7%           74        106
  142035        0     4020   100.0%           76        106
  134925      256        8    99.8%           80        105
  132061      282        2    99.8%           83        105
  131283      279        2    99.8%           86        105
  129303      266        3    99.8%           88        105
  129345      250       10    99.8%           91        104
  128563      271        2    99.8%           94        104
  162038        0     6179   100.0%           97        105
  121385      466        2    99.6%          108        105
  119762     1711        7    98.6%          119        105
  140417        0     7641   100.0%          128        105
  118730     1028        2    99.1%          134        105
  119702      297        2    99.8%          137        105
  121568      333        6    99.7%          146        106
  141202        0     6133   100.0%          150        105
  121175      343        3    99.7%          159        105
  118215     1458        2    98.8%          166        106
  133600        0     4735   100.0%          173        106
  121032      318        3    99.7%          181        105
  117230     1666        2    98.6%          189        105
  119832      331        2    99.7%          192        106
    1617        0       10   100.0%          193        106

Ending tracing...
