Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -500476       84   503239   100.0%            5       2805
  -84705        9    86568   100.0%            5       3098
  -84419        0    86285   100.0%            5       3673
    2231       86       27    96.3%            3       3704
    3339       23        3    99.3%            3       3704
    2015       12        2    99.4%            3       3705
    4603       16       45    99.7%            1       3704
    3905      148   307833    96.3%            4       6923
    3714       22   288826    99.4%            4      10811
    2472       20        2    99.2%            4      10872
    4336        0       89   100.0%            1      10272
    1606        0        3   100.0%            1       7675
    4215      811        7    83.9%            4       5005
    6775        0    78933   100.0%            4       5299
    2346        0   179544   100.0%            4       8390
    1512       92        3    94.3%            1       9100
    2744       84       26    97.0%            4       7799
    2465       14        2    99.4%            4       7800
    4737        0       48   100.0%            4       7800
    1563       42        2    97.4%            1       4965
    8494     1080       86    88.7%            4       3705
  947341   371389    40887    71.8%            4       5206
  970029   380096    43168    71.8%            4       8465
12565058        0    43494   100.0%            4       9317
12209629       24    42289   100.0%            4       9933
12276153        0    43320   100.0%            4      10542
12150438        0    42562   100.0%            4      11415
12298406        6    42636   100.0%            4      12027
12184693        0    42635   100.0%            4      12649
12171194        0    42602   100.0%            4      13310
12222695        0    42271   100.0%            4      13964
12328711        0    42355   100.0%            4      14668
12535723        0    42157   100.0%            4      14288
12370903        0    41512   100.0%            4      14920
12423583        0    42798   100.0%            4      14575
12410657        0     2331   100.0%            4      13950
12409192       13    42458   100.0%            4      14562
12441782        0    42917   100.0%            4      14155
12347703        0    42727   100.0%            4      14802
12416999        0    41990   100.0%            4      14251
12307693       26    42543   100.0%            5      14961
12433318        9    42866   100.0%            5      14408
12512718        0    28497   100.0%            5      14715
12380599        0    41721   100.0%            5      14478
12337973        0    36291   100.0%            5      14079
 8695412        0    42859   100.0%            5      14819
  364494        0       15   100.0%            5      14969
    2466      119        6    95.4%            1      11367
    1674        0       48   100.0%            1       8308
    4821      850       12    85.0%            4       5225
    2452       16        2    99.4%            4       5225
    2434       18        3    99.3%            4       5225
    5033        5       69    99.9%            1       5196
    1607        0        2   100.0%            1       2860
   12685     1088       27    92.1%            4        102

Ending tracing...
