Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -937835      102   939662   100.0%            4       2790
 -350039     1467   358602   100.4%            4       3703
    3724       55        1    98.5%            4       3703
   20470     1623  1372901    92.7%            4       9053
    3482       46     4463    98.7%            4      10871
    3180       36        1    98.9%            4      10871
    7544      792       95    90.5%            4       4782
    8338       92  1048621    98.9%            1       8877
    5999      875        7    87.3%            4       7799
    3548       45        3    98.7%            4       7799
    8387     1187       89    87.6%            4       3703
   13094    11019   262176    54.3%            4       4768
   26749     5116        2    83.9%            4       4788
   24302     7676        4    76.0%            4       4818
   24225     7678        2    75.9%            4       4848
   22452    10214       13    68.7%            4       4887
   24233     7676        2    75.9%            4       4917
   26827     5116        2    84.0%            4       4938
   26824     5117        2    84.0%            4       4968
   21710    10237        3    68.0%            4       5011
   21742    10221        5    68.0%            4       5051
   26964     5140   262163    84.0%            4       6095
   24310     7675        3    76.0%            4       6125
   24229     7676        3    75.9%            4       6156
   22054    10238        2    68.3%            4       6196
   24231     7681        5    75.9%            4       6225
   26843     5102        2    84.0%            4       6245
   26829     5118        2    84.0%            4       6276
   21710    10237        2    68.0%            4       6315
   21693    10238        2    67.9%            4       6355
   19266        0        5   100.0%            4       6355
  927628      124       14   100.0%            1       2302
    9406      438       86    95.6%            2       1910
   13152      958       27    93.2%            4        101

Ending tracing...
