Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 -941460       77   943312   100.0%            4       2862
 -298512     1494   307268   100.5%            4       3704
    3739       55        3    98.6%            4       3704
   20464     1645  1511104    92.6%            3       9592
    3533       48        2    98.7%            4      10872
    3300       37        3    98.9%            4      10872
    7561      740       87    91.1%            4       4731
    8439      121  1048619    98.6%            1       8826
    5923      874       12    87.1%            3       7798
    3591       47        4    98.7%            4       7799
   10804     1010      131    91.5%            4       3702
 1095521   390177   239625    73.7%            4       6131
 5085133   508063   441016    90.9%            4      10951
12446705       20   419129   100.0%            4      12903
12443762        0   402289   100.0%            4      14519
12479063        0   374773   100.0%            4      14805
12475740        0   378496   100.0%            4      14524
12490553        0   375514   100.0%            4      14383
12500125        0   342091   100.0%            4      14251
12481423        0   330728   100.0%            4      14102
12495548        0   351898   100.0%            4      14263
12469169       12   380062   100.0%            4      14837
12464188        0   374646   100.0%            4      14531
12489337        0   332970   100.0%            4      14216
12484474        0   338208   100.0%            4      14096
12463654        0   363305   100.0%            4      14570
12466761        0   374485   100.0%            4      14821
12457945        0   373381   100.0%            4      14630
12487948        0   357275   100.0%            4      14311
12497031        0   338559   100.0%            4      14203
12503756        0   329118   100.0%            4      13978
12454383        0   368424   100.0%            4      14846
12475869        0   380644   100.0%            4      14847
12454471        0   379597   100.0%            4      14566
12469099        0   372145   100.0%            4      14382
12487137        0   341772   100.0%            4      14254
12491854        0   341090   100.0%            4      14152
12502580        0   335317   100.0%            4      14025
12462841        0   366859   100.0%            4      14828
12464798        0   380191   100.0%            4      14841
12453080        0   379388   100.0%            4      14703
12466154        0   373509   100.0%            4      14539
 2108313        0   262147   100.0%            4      14969
  927501      134        8   100.0%            1       8254
    6235      905       10    87.3%            4       7272
    3660       51        3    98.6%            4       7271
    3726        0       79   100.0%            4       7271
    5087      145       56    97.2%            2        197
 -500726       85   502033   100.0%            5       1778

Ending tracing...
